Entity,Code,Year, (% of GDP)
Brazil,BRA,2015,0.4
Chile,CHL,2015,1.4
China,CHN,2015,0.9
Germany,DEU,2015,0.3
India,IND,2015,0.5
Japan,JPN,2015,0.8
Mexico,MEX,2015,0.3
South Africa,ZAF,2015,1.4
UK,,2015,0.8
United States,USA,2015,0.2
