Entity,Code,Year,Percentage reduction in Gini (OECD (2019)) (%)
Iceland,ISL,2013,27.05616466
Iceland,ISL,2015,27.05616466
Ireland,IRL,2005,30.22690322
Ireland,IRL,2006,32.86288439
Ireland,IRL,2007,36.40615946
Ireland,IRL,2008,40.09575986
Ireland,IRL,2009,40.731175
Ireland,IRL,2010,43.64187921
Ireland,IRL,2011,42.33020345
Ireland,IRL,2012,43.02179824
Ireland,IRL,2013,40.5922331
Ireland,IRL,2015,40.5922331
Israel,ISR,2005,25.8924908
Israel,ISR,2007,25.24756106
Israel,ISR,2008,25.24756106
Israel,ISR,2009,23.72496366
Israel,ISR,2010,23.94346958
Israel,ISR,2011,22.80625354
Israel,ISR,2012,21.49707038
Israel,ISR,2013,19.66926942
Israel,ISR,2014,19.40102365
Israel,ISR,2015,19.40102365
Italy,ITA,2005,20.02731638
Italy,ITA,2006,25.50608706
Italy,ITA,2007,26.11726869
Italy,ITA,2008,25.74791351
Italy,ITA,2009,26.25985522
Italy,ITA,2010,26.2316311
Italy,ITA,2011,25.46690641
Italy,ITA,2012,25.15015479
Italy,ITA,2013,25.99104247
Italy,ITA,2015,25.99104247
Japan,JPN,2006,17.40059979
Japan,JPN,2007,17.40059979
Japan,JPN,2009,18.87352315
Japan,JPN,2010,18.87352315
Japan,JPN,2012,14.89361702
Japan,JPN,2013,14.89361702
Japan,JPN,2015,14.89361702
Latvia,LVA,2005,15.95493214
Latvia,LVA,2006,17.01890142
Latvia,LVA,2007,14.43292617
Latvia,LVA,2008,16.08656563
Latvia,LVA,2009,21.77938771
Latvia,LVA,2010,24.23769443
Latvia,LVA,2011,22.59271115
Latvia,LVA,2012,22.61858825
Latvia,LVA,2013,20.2667549
Latvia,LVA,2015,20.2667549
Luxembourg,LUX,2005,31.14908466
Luxembourg,LUX,2006,31.49741648
Luxembourg,LUX,2007,30.39239178
Luxembourg,LUX,2008,32.82032645
Luxembourg,LUX,2009,34.87084951
Luxembourg,LUX,2010,35.34481315
Luxembourg,LUX,2011,36.10016211
Luxembourg,LUX,2012,34.25577076
Luxembourg,LUX,2013,34.57557091
Luxembourg,LUX,2015,34.57557091
Mexico,MEX,2007,1.9
Mexico,MEX,2010,2.8
Mexico,MEX,2012,2.445939164
Mexico,MEX,2013,2.643245308
Mexico,MEX,2014,2.840551452
Mexico,MEX,2015,2.840551452
Netherlands,NLD,2005,27.09985044
Netherlands,NLD,2006,26.61056854
Netherlands,NLD,2007,23.9675663
Netherlands,NLD,2008,23.75450745
Netherlands,NLD,2009,24.47984507
Netherlands,NLD,2010,25.26041667
Netherlands,NLD,2011,25.38860104
Netherlands,NLD,2012,26.28865979
Netherlands,NLD,2013,28.28282828
Netherlands,NLD,2014,29.31034483
Netherlands,NLD,2015,29.31034483
New Zealand,NZL,2007,20.05300758
New Zealand,NZL,2008,20.05300758
New Zealand,NZL,2009,21.66246851
New Zealand,NZL,2010,21.41057935
New Zealand,NZL,2011,21.15869018
New Zealand,NZL,2012,20.67307692
New Zealand,NZL,2013,20.67307692
New Zealand,NZL,2015,20.67307692
Norway,NOR,2007,30.15327551
Norway,NOR,2008,30.15327551
Norway,NOR,2009,31.0626703
Norway,NOR,2010,31.39857158
Norway,NOR,2011,30.98505723
Norway,NOR,2012,30.06978219
Norway,NOR,2013,30.41793817
Norway,NOR,2015,30.41793817
OECD,,2007,25.5
OECD,,2010,27.7
OECD,,2015,27
Poland,POL,2005,31.73994059
Poland,POL,2006,30.45252676
Poland,POL,2007,28.59214641
Poland,POL,2008,28.15621882
Poland,POL,2009,28.40251485
Poland,POL,2010,27.83780179
Poland,POL,2011,28.18476994
Poland,POL,2012,28.76280556
Poland,POL,2013,28.05987008
Poland,POL,2015,28.05987008
Portugal,PRT,2005,17.03862187
Portugal,PRT,2006,23.17923155
Portugal,PRT,2007,22.9764593
Portugal,PRT,2008,23.95777677
Portugal,PRT,2009,27.04770427
Portugal,PRT,2010,26.47675857
Portugal,PRT,2011,29.13939634
Portugal,PRT,2012,29.43317275
Portugal,PRT,2013,30.56639779
Portugal,PRT,2015,30.56639779
Slovakia,SVK,2005,30.10465536
Slovakia,SVK,2006,33.69242913
Slovakia,SVK,2007,33.64025031
Slovakia,SVK,2008,29.9865251
Slovakia,SVK,2009,31.07746934
Slovakia,SVK,2010,31.37990611
Slovakia,SVK,2011,29.16936855
Slovakia,SVK,2012,31.39540604
Slovakia,SVK,2013,27.50158683
Slovakia,SVK,2015,27.50158683
Slovenia,SVN,2005,40.12520559
Slovenia,SVN,2006,40.06812736
Slovenia,SVN,2007,38.05077323
Slovenia,SVN,2008,37.99533667
Slovenia,SVN,2009,38.46809111
Slovenia,SVN,2010,38.99543941
Slovenia,SVN,2011,39.84505321
Slovenia,SVN,2012,40.18965265
Slovenia,SVN,2013,38.84431288
Slovenia,SVN,2015,38.84431288
South Korea,KOR,2006,6.050985334
South Korea,KOR,2007,6.853611572
South Korea,KOR,2008,7.407435985
South Korea,KOR,2009,7.120743034
South Korea,KOR,2010,7.476635514
South Korea,KOR,2011,6.962025316
South Korea,KOR,2012,7.1197411
South Korea,KOR,2013,8.196721311
South Korea,KOR,2014,8.38058257
South Korea,KOR,2015,8.38058257
Spain,ESP,2005,22.44450084
Spain,ESP,2006,21.94618829
Spain,ESP,2007,21.2856731
Spain,ESP,2008,22.53102596
Spain,ESP,2009,25.03851376
Spain,ESP,2010,26.41890755
Spain,ESP,2011,25.50998272
Spain,ESP,2012,27.02983941
Spain,ESP,2013,26.54097676
Spain,ESP,2015,26.54097676
Sweden,SWE,2007,29.29871068
Sweden,SWE,2008,29.29871068
Sweden,SWE,2009,29.59909046
Sweden,SWE,2010,29.38286727
Sweden,SWE,2011,27.40926802
Sweden,SWE,2012,26.82215272
Sweden,SWE,2013,26.52419517
Sweden,SWE,2015,26.52419517
Switzerland,CHE,2009,11.33258158
Switzerland,CHE,2013,15.72346155
Switzerland,CHE,2015,15.72346155
Turkey,TUR,2010,4.128942657
Turkey,TUR,2011,4.784688995
Turkey,TUR,2012,4.622871046
Turkey,TUR,2013,5.210918114
Turkey,TUR,2015,5.210918114
United Kingdom,GBR,2005,21.90165781
United Kingdom,GBR,2006,21.38788551
United Kingdom,GBR,2007,21.06392246
United Kingdom,GBR,2008,21.77176052
United Kingdom,GBR,2009,23.20973605
United Kingdom,GBR,2010,25.59258689
United Kingdom,GBR,2011,25.60892573
United Kingdom,GBR,2012,25.8450946
United Kingdom,GBR,2013,25.05307856
United Kingdom,GBR,2015,25.05307856
United States,USA,2005,19.77239643
United States,USA,2007,20.39818342
United States,USA,2008,20.39818342
United States,USA,2009,21.99331237
United States,USA,2010,21.83430913
United States,USA,2011,21.25558973
United States,USA,2012,21.04926159
United States,USA,2013,18.03551432
United States,USA,2014,17.72276817
United States,USA,2015,17.72276817
