Entity,Code,Year,Percentage reduction in Gini (OECD (2019)) (%)
Australia,AUS,2007,22.60137356
Australia,AUS,2008,22.60137356
Australia,AUS,2010,23.18392122
Australia,AUS,2012,23.8694075
Australia,AUS,2014,24.65437788
Australia,AUS,2015,24.65437788
Austria,AUT,2005,36.52189378
Austria,AUT,2006,37.28137612
Austria,AUT,2007,33.37824988
Austria,AUT,2008,34.28824698
Austria,AUT,2009,35.07030182
Austria,AUT,2010,35.24600662
Austria,AUT,2011,34.07108561
Austria,AUT,2012,35.4334851
Austria,AUT,2013,33.99318403
Austria,AUT,2015,33.99318403
Belgium,BEL,2005,35.64519243
Belgium,BEL,2006,36.68568016
Belgium,BEL,2007,32.78310407
Belgium,BEL,2008,35.64816594
Belgium,BEL,2009,35.17796959
Belgium,BEL,2010,36.57162225
Belgium,BEL,2011,36.46121085
Belgium,BEL,2012,36.58375075
Belgium,BEL,2013,37.60251438
Belgium,BEL,2015,37.60251438
Canada,CAN,2005,21.66770855
Canada,CAN,2006,21.31093676
Canada,CAN,2007,21.4213727
Canada,CAN,2008,21.00316237
Canada,CAN,2009,22.24936588
Canada,CAN,2010,22.97209402
Canada,CAN,2011,22.17346127
Canada,CAN,2012,20.97031149
Canada,CAN,2013,20.87810758
Canada,CAN,2015,20.87810758
Chile,CHL,2006,4.600704991
Chile,CHL,2007,4.600704991
Chile,CHL,2009,4.724409449
Chile,CHL,2010,4.786447149
Chile,CHL,2011,4.848484848
Chile,CHL,2013,5.081300813
Chile,CHL,2015,5.081300813
Czech Republic,CZE,2005,36.4694151
Czech Republic,CZE,2006,35.88930288
Czech Republic,CZE,2007,35.26510563
Czech Republic,CZE,2008,32.80726166
Czech Republic,CZE,2009,34.18699787
Czech Republic,CZE,2010,33.68550948
Czech Republic,CZE,2011,34.21314416
Czech Republic,CZE,2012,34.12930941
Czech Republic,CZE,2013,33.17642697
Czech Republic,CZE,2015,33.17642697
Denmark,DNK,2005,39.8190398
Denmark,DNK,2006,38.01519485
Denmark,DNK,2007,36.23765898
Denmark,DNK,2008,35.68705538
Denmark,DNK,2009,37.12946253
Denmark,DNK,2010,36.72268237
Denmark,DNK,2011,36.65308202
Denmark,DNK,2012,37.12771328
Denmark,DNK,2013,36.53366584
Denmark,DNK,2015,36.53366584
Estonia,EST,2005,21.58339925
Estonia,EST,2006,20.11047967
Estonia,EST,2007,20.16087779
Estonia,EST,2008,20.85215831
Estonia,EST,2009,23.55754695
Estonia,EST,2010,23.20718509
Estonia,EST,2011,22.04867247
Estonia,EST,2012,21.55060435
Estonia,EST,2013,20.65869401
Estonia,EST,2015,20.65869401
Finland,FIN,2005,37.31753112
Finland,FIN,2006,37.08994657
Finland,FIN,2007,34.86311142
Finland,FIN,2008,35.56870842
Finland,FIN,2009,37.4228654
Finland,FIN,2010,36.81769014
Finland,FIN,2011,36.83419445
Finland,FIN,2012,37.85370134
Finland,FIN,2013,37.85936056
Finland,FIN,2014,38.12691673
Finland,FIN,2015,38.12691673
France,FRA,2005,32.66154876
France,FRA,2007,31.88468974
France,FRA,2008,31.88468974
France,FRA,2009,33.35239075
France,FRA,2010,32.60008489
France,FRA,2011,32.24474026
France,FRA,2012,32.9004329
France,FRA,2013,33.93258427
France,FRA,2015,33.93258427
Germany,DEU,2007,29.38940657
Germany,DEU,2008,29.38940657
Germany,DEU,2009,29.52712527
Germany,DEU,2010,29.75630998
Germany,DEU,2011,29.70252261
Germany,DEU,2012,28.79415347
Germany,DEU,2013,28.7659473
Germany,DEU,2015,28.7659473
Greece,GRC,2005,18.66685335
Greece,GRC,2006,25.58112385
Greece,GRC,2007,26.22602576
Greece,GRC,2008,25.93352557
Greece,GRC,2009,25.94877145
Greece,GRC,2010,28.74941307
Greece,GRC,2011,31.53950365
Greece,GRC,2012,31.54870857
Greece,GRC,2013,31.08687473
Greece,GRC,2015,31.08687473
Hungary,HUN,2007,34.3
Hungary,HUN,2010,35.8
Hungary,HUN,2012,31.59702616
Hungary,HUN,2014,28.77761265
Hungary,HUN,2015,28.77761265
Iceland,ISL,2005,17.16017146
Iceland,ISL,2006,15.23311984
Iceland,ISL,2007,14.74469655
Iceland,ISL,2008,12.74128074
Iceland,ISL,2009,21.92014147
Iceland,ISL,2010,28.54139062
Iceland,ISL,2011,28.51481444
Iceland,ISL,2012,26.40892254
