Entity,Code,Year, (barrels per year), (barrels per year)
United States,USA,1910,209557000,
United States,USA,1911,220449000,200158958
United States,USA,1912,222935000,213834803.7
United States,USA,1913,248446000,228406784.8
United States,USA,1914,265763000,243928136.8
United States,USA,1915,281104000,260454464.7
United States,USA,1916,300767000,278043727.6
United States,USA,1917,335316000,296756200.5
United States,USA,1918,355928000,316654409.7
United States,USA,1919,378367000,337803035.9
United States,USA,1920,442929000,360268782.5
United States,USA,1921,472183000,384120202.3
United States,USA,1922,557531000,409427478
United States,USA,1923,732407000,436262150.2
United States,USA,1924,713940000,464696786.4
United States,USA,1925,620373000,494804585.2
United States,USA,1926,770874000,526658907.5
United States,USA,1927,901129000,560332728.8
United States,USA,1928,901474000,595898005
United States,USA,1929,1007323000,633424944.4
United States,USA,1930,898011000,672981179.4
United States,USA,1931,851081000,714630832.9
United States,USA,1932,785159000,758433471.8
United States,USA,1933,905656000,804442945.5
United States,USA,1934,908065000,852706106.1
United States,USA,1935,993942000,903261410.2
United States,USA,1936,1098513000,956137403.8
United States,USA,1937,1277653000,1011351096
United States,USA,1938,1213254000,1068906230
United States,USA,1939,1264256000,1128791466
United States,USA,1940,1503176000,1190978489
United States,USA,1941,1404182000,1255420072
United States,USA,1942,1385479000,1322048123
United States,USA,1943,1505613000,1390771740
United States,USA,1944,1677904000,1461475331
United States,USA,1945,1713655000,1534016846
United States,USA,1946,1733424000,1608226163
United States,USA,1947,1856987000,1683903703
United States,USA,1948,2020185000,1760819340
United States,USA,1949,1841940000,1838711659
United States,USA,1950,1973574000,1917287658
United States,USA,1951,2247711000,1996222947
United States,USA,1952,2289836000,2075162511
United States,USA,1953,2357082000,2153722120
United States,USA,1954,2314988000,2231490404
United States,USA,1955,2484428000,2308031664
United States,USA,1956,2617283000,2382889415
United States,USA,1957,2616901000,2455590677
United States,USA,1958,2448987000,2525650982
United States,USA,1959,2574590000,2592580053
United States,USA,1960,2574933000,2655888067
United States,USA,1961,2621758000,2715092410
United States,USA,1962,2676189000,2769724784
United States,USA,1963,2752723000,2819338505
United States,USA,1964,2786822000,2863515829
United States,USA,1965,2848514000,2901875093
United States,USA,1966,3027763000,2934077498
United States,USA,1967,3215742000,2959833309
United States,USA,1968,3329042000,2978907304
United States,USA,1969,3371751000,2991123285
United States,USA,1970,3517450000,2996367512
United States,USA,1971,3453914000,2994590945
United States,USA,1972,3455368000,2985810210
United States,USA,1973,3360903000,2970107276
United States,USA,1974,3202585000,2947627830
United States,USA,1975,3056779000,2918578425
United States,USA,1976,2976180000,2883222482
United States,USA,1977,3009265000,2841875283
United States,USA,1978,3178216000,2794898125
United States,USA,1979,3121310000,2742691795
United States,USA,1980,3146365000,2685689583
United States,USA,1981,3128624000,2624350025
United States,USA,1982,3156715000,2559149563
United States,USA,1983,3170999000,2490575327
United States,USA,1984,3249696000,2419118185
United States,USA,1985,3274553000,2345266226
United States,USA,1986,3168252000,2269498775
United States,USA,1987,3047378000,2192281051
United States,USA,1988,2979123000,2114059515
United States,USA,1989,2778773000,2035257957
United States,USA,1990,2684687000,1956274325
United States,USA,1991,2707039000,1877478289
United States,USA,1992,2624632000,1799209507
United States,USA,1993,2499033000,1721776552
United States,USA,1994,2431476000,1645456442
United States,USA,1995,2394268000,1570494698
United States,USA,1996,2366017000,1497105882
United States,USA,1997,2354831000,1425474514
United States,USA,1998,2281919000,1355756331
United States,USA,1999,2146732000,1288079787
United States,USA,2000,2130707000,1222547756
United States,USA,2001,2117511000,1159239363
United States,USA,2002,2096588000,1098211904
United States,USA,2003,2061995000,1039502794
United States,USA,2004,1991394000,983131522.8
United States,USA,2005,1892095000,929101569.6
United States,USA,2006,1856340000,877402259.2
United States,USA,2007,1852990000,828010537.2
United States,USA,2008,1829985000,780892648.5
United States,USA,2009,1953858000,736005707.9
United States,USA,2010,1998452000,693299156.8
United States,USA,2011,2060744000,652716101.4
United States,USA,2012,2374136000,614194532.6
United States,USA,2013,2725665000,577668428.7
United States,USA,2014,3198694000,543068744.5
United States,USA,2015,3436515000,510324290.7
United States,USA,2016,3248117000,479362510.8
United States,USA,2017,,450110160.6
United States,USA,2018,,422493898.1
United States,USA,2019,,396440789.9
United States,USA,2020,,371878742.7
United States,USA,2021,,348736865.3
United States,USA,2022,,326945768.7
United States,USA,2023,,306437811.3
United States,USA,2024,,287147293.6
United States,USA,2025,,269010610.6
United States,USA,2026,,251966364.7
United States,USA,2027,,235955445.8
United States,USA,2028,,220921082.5
United States,USA,2029,,206808867.5
United States,USA,2030,,193566763.2
