Entity,Code,Year,Fatal accidents per million commercial flights (ASN) (fatal accidents per million flights)
World,OWID_WRL,1970,6.35
World,OWID_WRL,1971,4.84
World,OWID_WRL,1973,6.14
World,OWID_WRL,1974,6.27
World,OWID_WRL,1975,4.65
World,OWID_WRL,1976,5.33
World,OWID_WRL,1977,5.14
World,OWID_WRL,1978,4.03
World,OWID_WRL,1979,5.16
World,OWID_WRL,1980,3.08
World,OWID_WRL,1981,3.6
World,OWID_WRL,1982,3
World,OWID_WRL,1983,2.97
World,OWID_WRL,1984,2.63
World,OWID_WRL,1985,3.28
World,OWID_WRL,1986,2.92
World,OWID_WRL,1987,3.25
World,OWID_WRL,1988,3.89
World,OWID_WRL,1989,3.85
World,OWID_WRL,1990,2.95
World,OWID_WRL,1991,3.41
World,OWID_WRL,1992,3.22
World,OWID_WRL,1993,2.81
World,OWID_WRL,1994,2.85
World,OWID_WRL,1995,2.67
World,OWID_WRL,1996,2.59
World,OWID_WRL,1997,1.89
World,OWID_WRL,1998,2.39
World,OWID_WRL,1999,2.07
World,OWID_WRL,2000,1.68
World,OWID_WRL,2001,1.62
World,OWID_WRL,2002,1.59
World,OWID_WRL,2003,1.13
World,OWID_WRL,2004,1.35
World,OWID_WRL,2005,1.4
World,OWID_WRL,2006,0.97
World,OWID_WRL,2007,1.11
World,OWID_WRL,2008,1.02
World,OWID_WRL,2009,0.88
World,OWID_WRL,2010,0.91
World,OWID_WRL,2011,1.05
World,OWID_WRL,2012,0.58
World,OWID_WRL,2013,0.74
World,OWID_WRL,2014,0.56
World,OWID_WRL,2015,0.3
World,OWID_WRL,2016,0.46
World,OWID_WRL,2017,0.27
