Entity,Code,Year,Hepatitis B3,"Diphteria, pertussis and tetanus",Measles,Polio,Total number of one-year-olds
World,OWID_WRL,1990,1317622.1,100139280,96186408,98821656,131762208
World,OWID_WRL,1991,1332206.6,95918880,91922256,95918880,133220664
World,OWID_WRL,1992,3871316.8,90330720,89040280,90330720,129043888
World,OWID_WRL,1993,5067101.5,88674272,88674272,89941048,126677536
World,OWID_WRL,1994,9951156,90804304,89560408,90804304,124389456
World,OWID_WRL,1995,13493161,89545528,89545528,90772176,122665104
World,OWID_WRL,1996,16644004,85597736,86786592,87975448,118885744
World,OWID_WRL,1997,18226676,86272936,86272936,88703160,121511176
World,OWID_WRL,1998,19471796,87623080,86406088,88840064,121698720
World,OWID_WRL,1999,23208774,87949040,86727520,89170552,122151440
World,OWID_WRL,2000,35580496,88337776,88337776,89564696,122691360
World,OWID_WRL,2001,39761572,90706088,90706088,91948632,124254912
World,OWID_WRL,2002,47054172,90393544,89155272,92870080,123826768
World,OWID_WRL,2003,54819892,93443000,92197088,93443000,124590664
World,OWID_WRL,2004,60225168,95356520,95356520,95356520,125469104
World,OWID_WRL,2005,68285088,98634024,98634024,99898560,126453872
World,OWID_WRL,2006,74472024,101436040,101436040,102720040,128400048
World,OWID_WRL,2007,82305312,102881640,102881640,104167656,128602048
World,OWID_WRL,2008,89529568,106397456,105099928,107694992,129753000
World,OWID_WRL,2009,96855008,109943520,109943520,109943520,130885144
World,OWID_WRL,2010,97647792,112163008,112163008,112163008,131956480
World,OWID_WRL,2011,99942168,113267792,113267792,113267792,133256224
World,OWID_WRL,2012,107047536,113738008,112399920,113738008,133809424
World,OWID_WRL,2013,107677416,114407256,113061288,114407256,134596768
World,OWID_WRL,2014,110897296,114954520,113602112,114954520,135240608
World,OWID_WRL,2015,114005664,116720080,115362872,116720080,135721024
World,OWID_WRL,1980,,23227402,18803134,24333468,110606672
World,OWID_WRL,1981,,26697536,22247948,26697536,111239736
World,OWID_WRL,1982,,29701842,23989950,46837520,114237856
World,OWID_WRL,1983,,45535164,43200028,51373008,116756832
World,OWID_WRL,1984,,53768760,50184176,57353344,119486136
World,OWID_WRL,1985,,59891044,58668780,63557844,122226624
World,OWID_WRL,1986,,65655756,59342704,64393148,126261072
World,OWID_WRL,1987,,71374080,68825008,72648616,127453712
World,OWID_WRL,1988,,83044120,81746552,84341680,129756432
World,OWID_WRL,1989,,89272248,89272248,93210728,131282720
