Entity,Code,Year,Urban,Rural
Mediterranean region,,1600,3055100,19244900
Mediterranean region,,1650,2450000,17150000
Mediterranean region,,1700,2667600,20132400
Mediterranean region,,1750,3127000,23373000
Mediterranean region,,1800,4024800,27175200
Mediterranean region,,1850,7960800,34839200
Mediterranean region,,1890,11810400,41389600
Mediterranean region,,1980,30576000,73424000
Netherlands,NLD,1500,150100,799900
Netherlands,NLD,1550,191250,1058750
Netherlands,NLD,1600,364500,1135500
Netherlands,NLD,1650,602300,1297700
Netherlands,NLD,1700,638400,1261600
Netherlands,NLD,1750,579500,1320500
Netherlands,NLD,1800,604800,1495199.9
Netherlands,NLD,1850,885000,2115000
Netherlands,NLD,1890,1503000,2997000
Netherlands,NLD,1980,6538000,7462000
North and west region,,1500,547800,7752200
North and west region,,1550,705600,9094400
North and west region,,1600,975800,10924200
North and west region,,1650,1624100,13275900
North and west region,,1700,2096000,13904000
North and west region,,1750,2488800,15811200
North and west region,,1800,3888900,22211100
North and west region,,1850,11144700,31555300
North and west region,,1890,25953200,33846800
North and west region,,1980,44268000,61132000
Northern Italy,,1550,709700,3990300
Northern Italy,,1600,896400,4503600
Northern Italy,,1650,614900,3685099.8
Northern Italy,,1700,775200,4924800
Northern Italy,,1750,923000,5577000
Northern Italy,,1800,1029600,6170400
Poland,POL,1500,0,2500000
Poland,POL,1550,9000,2991000
Poland,POL,1600,13600,3386400
Poland,POL,1650,21000,2979000
Poland,POL,1700,14000,2786000
Poland,POL,1750,37000,3663000
Poland,POL,1800,107500,4192500
Poland,POL,1850,558000,5442000
Poland,POL,1890,1314000,7686000
Poland,POL,1980,9504000,25696000
Portugal,PRT,1500,30000,970000
Portugal,PRT,1550,138000,1062000
Portugal,PRT,1600,155100,944900
Portugal,PRT,1650,199200,1000800
Portugal,PRT,1700,230000,1770000
Portugal,PRT,1750,209300,2090700
Portugal,PRT,1800,252300,2647700
Portugal,PRT,1850,501600,3298400
Portugal,PRT,1890,647700,4452300
Portugal,PRT,1980,1059300,8840700
Scandinavia,,1500,13500,1486500
Scandinavia,,1550,13600,1686400
Scandinavia,,1600,28000,1972000
Scandinavia,,1650,62400,2537600
Scandinavia,,1700,116000,2784000
Scandinavia,,1750,165600,3434400
Scandinavia,,1800,230000,4770000
Scandinavia,,1850,458200,7441800
Scandinavia,,1890,1504800,9895200
Scandinavia,,1980,7336700,14963300
Scotland,,1500,12800,787200
Scotland,,1550,12600,887400
Scotland,,1600,30000,970000
Scotland,,1650,35000,965000
Scotland,,1700,53000,947000
Scotland,,1750,119600,1180400
Scotland,,1800,276800,1323200
Scotland,,1850,928000,1972000
