Entity,Code,Year,Excess female deaths (excess deaths),Missing female births (missing births)
China,CHN,1975,320000,0
China,CHN,1980,420000,0
China,CHN,1985,500000,170000
China,CHN,1990,570000,470000
China,CHN,1995,540000,680000
China,CHN,2000,450000,660000
China,CHN,2005,590000,750000
China,CHN,2010,590000,890000
China,CHN,2015,590000,870000
China,CHN,2020,620000,730000
China,CHN,2025,670000,590000
China,CHN,2030,740000,490000
China,CHN,2035,820000,420000
China,CHN,2040,900000,360000
China,CHN,2045,970000,290000
China,CHN,2050,1020000,220000
India,IND,1975,1010000,0
India,IND,1980,900000,0
India,IND,1985,950000,130000
India,IND,1990,960000,200000
India,IND,1995,820000,440000
India,IND,2000,720000,550000
India,IND,2005,590000,620000
India,IND,2010,430000,630000
India,IND,2015,380000,630000
India,IND,2020,360000,590000
India,IND,2025,340000,540000
India,IND,2030,320000,470000
India,IND,2035,290000,390000
India,IND,2040,280000,320000
India,IND,2045,300000,260000
India,IND,2050,280000,250000
Rest of World,,1975,460000,0
Rest of World,,1980,540000,0
Rest of World,,1985,450000,70000
Rest of World,,1990,440000,90000
Rest of World,,1995,570000,110000
Rest of World,,2000,550000,150000
Rest of World,,2005,590000,180000
Rest of World,,2010,640000,190000
Rest of World,,2015,670000,190000
Rest of World,,2020,720000,170000
Rest of World,,2025,790000,160000
Rest of World,,2030,860000,140000
Rest of World,,2035,950000,140000
Rest of World,,2040,1040000,140000
Rest of World,,2045,1130000,130000
Rest of World,,2050,1210000,130000
World,OWID_WRL,1975,1790000,0
World,OWID_WRL,1980,1860000,0
World,OWID_WRL,1985,1900000,370000
World,OWID_WRL,1990,1970000,760000
World,OWID_WRL,1995,1930000,1230000
World,OWID_WRL,2000,1710000,1360000
World,OWID_WRL,2005,1780000,1550000
World,OWID_WRL,2010,1660000,1710000
World,OWID_WRL,2015,1650000,1690000
World,OWID_WRL,2020,1710000,1500000
World,OWID_WRL,2025,1800000,1280000
World,OWID_WRL,2030,1920000,1090000
World,OWID_WRL,2035,2060000,950000
World,OWID_WRL,2040,2210000,810000
World,OWID_WRL,2045,2390000,680000
World,OWID_WRL,2050,2520000,600000
