Entity,Code,Year,Terrain Ruggedness Index 100m (Nunn and Puga 2012) (metres of elevation difference)
Afghanistan,AFG,1996,251.79999999999998
Albania,ALB,1996,342.7
Algeria,DZA,1996,51
American Samoa,ASM,1996,264.7
Andorra,AND,1996,571.6999999999999
Angola,AGO,1996,85.8
Anguilla,AIA,1996,1.3
Antigua and Barbuda,ATG,1996,0.6
Argentina,ARG,1996,77.5
Armenia,ARM,1996,268.8
Aruba,ABW,1996,46.2
Australia,AUS,1996,14.299999999999999
Austria,AUT,1996,351.3
Azerbaijan,AZE,1996,167.2
Bahamas,BHS,1996,5.5
Bahrain,BHR,1996,23.1
Bangladesh,BGD,1996,18.6
Barbados,BRB,1996,96.3
Belarus,BLR,1996,16.400000000000002
Belgium,BEL,1996,38.800000000000004
Belize,BLZ,1996,60.699999999999996
Benin,BEN,1996,14.099999999999998
Bermuda,BMU,1996,1.5
Bhutan,BTN,1996,674
Bolivia,BOL,1996,85.3
Bosnia and Herzegovina,BIH,1996,231.1
Botswana,BWA,1996,18.099999999999998
Brazil,BRA,1996,24
British Indian Ocean Territory,IOT,1996,1.7999999999999998
British Virgin Islands,VGB,1996,125.69999999999999
Brunei,BRN,1996,52
Bulgaria,BGR,1996,147.9
Burkina Faso,BFA,1996,23.599999999999998
Burundi,BDI,1996,178
Cambodia,KHM,1996,54
Cameroon,CMR,1996,51.5
Canada,CAN,1996,77.5
Cape Verde,CPV,1996,236.7
Cayman Islands,CYM,1996,9.6
Central African Republic,CAF,1996,19.7
Chad,TCD,1996,41.9
Chile,CHL,1996,248.1
China,CHN,1996,187.79999999999998
Christmas Island,CXR,1996,132.1
Cocos Islands,CCK,1996,1.5
Colombia,COL,1996,88.5
Comoros,COM,1996,332.8
Congo,COG,1996,15.2
Cook Islands,COK,1996,96
Costa Rica,CRI,1996,211.20000000000002
Cote d'Ivoire,CIV,1996,22.400000000000002
Croatia,HRV,1996,126.69999999999999
Cuba,CUB,1996,52.800000000000004
Cyprus,CYP,1996,271.8
Czech Republic,CZE,1996,88.4
Democratic Republic of Congo,COD,1996,44.3
Denmark,DNK,1996,18.9
Djibouti,DJI,1996,243.2
Dominica,DMA,1996,0.3
Dominican Republic,DOM,1996,164.1
Ecuador,ECU,1996,127.8
Egypt,EGY,1996,72.3
El Salvador,SLV,1996,175
Equatorial Guinea,GNQ,1996,55.900000000000006
Eritrea,ERI,1996,248.1
Estonia,EST,1996,12.3
Ethiopia,ETH,1996,157
Faeroe Islands,FRO,1996,225.3
Falkland Islands,FLK,1996,26.400000000000002
Fiji,FJI,1996,139.6
Finland,FIN,1996,32.800000000000004
France,FRA,1996,109.80000000000001
French Guiana,GUF,1996,20.5
French Polynesia,PYF,1996,207.20000000000002
Gabon,GAB,1996,21.8
Gambia,GMB,1996,35.3
Georgia,GEO,1996,365.9
Germany,DEU,1996,59.699999999999996
Ghana,GHA,1996,22.8
Gibraltar,GIB,1996,781.1
Greece,GRC,1996,310.3
Greenland,GRL,1996,41
Grenada,GRD,1996,208.8
Guadeloupe,GLP,1996,118.8
Guam,GUM,1996,66.60000000000001
Guatemala,GTM,1996,180.7
Guinea,GIN,1996,74
Guinea-Bissau,GNB,1996,49.1
Guyana,GUY,1996,27.3
Haiti,HTI,1996,236.20000000000002
Honduras,HND,1996,215
Hong Kong,HKG,1996,250.1
Hungary,HUN,1996,34.599999999999994
Iceland,ISL,1996,147.2
India,IND,1996,101.29999999999998
Indonesia,IDN,1996,96.7
Iran,IRN,1996,244.49999999999997
Iraq,IRQ,1996,67
Ireland,IRL,1996,51.300000000000004
Israel,ISR,1996,170.5
Italy,ITA,1996,245.8
Jamaica,JAM,1996,178.8
Japan,JPN,1996,213.20000000000002
Jordan,JOR,1996,109.7
Kazakhstan,KAZ,1996,37.2
Kenya,KEN,1996,66.9
Kiribati,KIR,1996,1
Kuwait,KWT,1996,24.5
Kyrgyzstan,KGZ,1996,428.7
Laos,LAO,1996,255.29999999999998
Latvia,LVA,1996,15.4
Lebanon,LBN,1996,419.7
Lesotho,LSO,1996,620.2
Liberia,LBR,1996,26.3
Libya,LBY,1996,40.300000000000004
Liechtenstein,LIE,1996,532.8000000000001
Lithuania,LTU,1996,17.5
Luxembourg,LUX,1996,88.1
Macao,MAC,1996,73.2
Macedonia,MKD,1996,266.5
Madagascar,MDG,1996,116.9
Malawi,MWI,1996,102.69999999999999
Malaysia,MYS,1996,100.89999999999999
Maldives,MDV,1996,1.2
Mali,MLI,1996,14.7
Malta,MLT,1996,152.7
Marshall Islands,MHL,1996,1.4000000000000001
Martinique,MTQ,1996,120.6
Mauritania,MRT,1996,11.5
Mauritius,MUS,1996,94.89999999999999
Mayotte,MYT,1996,267.3
Mexico,MEX,1996,173.2
Micronesia (country),FSM,1996,135.3
Moldova,MDA,1996,79.9
Monaco,MCO,1996,661.2
Mongolia,MNG,1996,105.69999999999999
Montserrat,MSR,1996,339.5
Morocco,MAR,1996,241.29999999999998
Mozambique,MOZ,1996,61.199999999999996
Myanmar,MMR,1996,198.8
Namibia,NAM,1996,91.3
Nauru,NRU,1996,31.1
Nepal,NPL,1996,504.3
Netherlands,NLD,1996,3.6999999999999997
Netherlands Antilles,ANT,1996,25.5
New Caledonia,NCL,1996,158.6
New Zealand,NZL,1996,203.79999999999998
Nicaragua,NIC,1996,99.2
Niger,NER,1996,17.8
Nigeria,NGA,1996,31.2
Niue,NIU,1996,17.7
Norfolk Island,NFK,1996,115.39999999999999
North Korea,PRK,1996,252.1
Northern Mariana Islands,MNP,1996,170
Norway,NOR,1996,240.89999999999998
Oman,OMN,1996,110.9
Pakistan,PAK,1996,194.9
Palau,PLW,1996,47.5
Palestine,PSE,1996,277.5
Panama,PAN,1996,154
Papua New Guinea,PNG,1996,158.9
Paraguay,PRY,1996,24.5
Peru,PER,1996,134.7
Philippines,PHL,1996,202.8
Pitcairn,PCN,1996,40.400000000000006
Poland,POL,1996,29.7
Portugal,PRT,1996,130.4
Puerto Rico,PRI,1996,144.70000000000002
Qatar,QAT,1996,18.099999999999998
Reunion,REU,1996,387.3
Romania,ROU,1996,126.69999999999999
Russia,RUS,1996,94
Rwanda,RWA,1996,330.90000000000003
Saint Helena,SHN,1996,386.3
Saint Kitts and Nevis,KNA,1996,0.6
Saint Lucia,LCA,1996,214.7
Saint Pierre and Miquelon,SPM,1996,83.3
Saint Vincent and the Grenadines,VCT,1996,307.1
Samoa,WSM,1996,167.70000000000002
San Marino,SMR,1996,180.20000000000002
Sao Tome and Principe,STP,1996,234.7
Saudi Arabia,SAU,1996,91.4
Senegal,SEN,1996,24.4
Serbia,SRB,1996,167.3
Seychelles,SYC,1996,488.5
Sierra Leone,SLE,1996,49.8
Singapore,SGP,1996,1.6
Slovakia,SVK,1996,156
Slovenia,SVN,1996,249.6
Solomon Islands,SLB,1996,154
Somalia,SOM,1996,65
South Africa,ZAF,1996,176.1
South Korea,KOR,1996,196
Spain,ESP,1996,168.9
Sri Lanka,LKA,1996,65
Sudan,SDN,1996,44.2
Suriname,SUR,1996,30.7
Svalbard and Jan Mayen,SJM,1996,162.3
Swaziland,SWZ,1996,306.3
Sweden,SWE,1996,71.5
Switzerland,CHE,1996,476.1
Syria,SYR,1996,75.6
Taiwan,TWN,1996,349
Tajikistan,TJK,1996,530.1
Tanzania,TZA,1996,67.7
Thailand,THA,1996,105.1
Timor,TLS,1996,185
Togo,TGO,1996,28.000000000000004
Tokelau,TKL,1996,0
Tonga,TON,1996,77.3
Trinidad and Tobago,TTO,1996,60.3
Tunisia,TUN,1996,72.6
Turkey,TUR,1996,262
Turkmenistan,TKM,1996,28.4
Turks and Caicos Islands,TCA,1996,0.7000000000000001
Tuvalu,TUV,1996,2.5
Uganda,UGA,1996,91.3
Ukraine,UKR,1996,41.6
United Arab Emirates,ARE,1996,76.9
United Kingdom,GBR,1996,56.8
United States,USA,1996,107.3
United States Minor Outlying Islands,UMI,1996,0.5
United States Virgin Islands,VIR,1996,140.39999999999998
Uruguay,URY,1996,43.5
Uzbekistan,UZB,1996,52.6
Vanuatu,VUT,1996,172.9
Vatican,VAT,1996,43.8
Venezuela,VEN,1996,63.4
Vietnam,VNM,1996,205.39999999999998
Wallis and Futuna,WLF,1996,130.6
Western Sahara,ESH,1996,20.3
Yemen,YEM,1996,232.29999999999998
Zambia,ZMB,1996,53.300000000000004
Zimbabwe,ZWE,1996,119.39999999999999
