Entity,Code,Year,Share of people who trust their national government (%)
Afghanistan,AFG,2018,45.19529051
Albania,ALB,2018,46.44411407
Algeria,DZA,2018,38.0593098
Argentina,ARG,2018,31.92407072
Armenia,ARM,2018,79.74244434
Australia,AUS,2018,46.97923889
Austria,AUT,2018,59.51411089
Azerbaijan,AZE,2018,88.28027359
Bangladesh,BGD,2018,85.59957425
Belarus,BLR,2018,47.39126444
Belgium,BEL,2018,53.4546556
Benin,BEN,2018,42.41171592
Bolivia,BOL,2018,49.87210383
Bosnia and Herzegovina,BIH,2018,21.09446821
Botswana,BWA,2018,55.09423348
Brazil,BRA,2018,14.50147619
Bulgaria,BGR,2018,31.87849326
Burkina Faso,BFA,2018,54.6611032
Burundi,BDI,2018,60.46061558
Cameroon,CMR,2018,51.24509231
Canada,CAN,2018,65.08738358
Chad,TCD,2018,45.42210117
Chile,CHL,2018,43.26279147
Colombia,COL,2018,30.40162995
Comoros,COM,2018,25.42073101
Congo,COG,2018,34.56901758
Costa Rica,CRI,2018,59.62428331
Cote d'Ivoire,CIV,2018,35.647216
Croatia,HRV,2018,34.69689441
Cyprus,CYP,2018,47.36977797
Czech Republic,CZE,2018,46.50968547
Denmark,DNK,2018,70.04632757
Dominican Republic,DOM,2018,54.97629988
Ecuador,ECU,2018,49.38321131
El Salvador,SLV,2018,35.31609361
Estonia,EST,2018,52.50994431
Ethiopia,ETH,2018,92.34129794
Finland,FIN,2018,61.45293997
France,FRA,2018,45.88092327
Gabon,GAB,2018,21.23467484
Gambia,GMB,2018,71.55132418
Georgia,GEO,2018,41.2450577
Germany,DEU,2018,53.56518787
Ghana,GHA,2018,65.84309869
Greece,GRC,2018,17.22110334
Guatemala,GTM,2018,38.16972694
Guinea,GIN,2018,49.88572346
Haiti,HTI,2018,46.01675053
Honduras,HND,2018,45.05411814
Hungary,HUN,2018,46.69851879
Iceland,ISL,2018,58.42020747
India,IND,2018,77.15111196
Indonesia,IDN,2018,72.54421597
Iran,IRN,2018,66.51466643
Iraq,IRQ,2018,29.39124246
Ireland,IRL,2018,67.14663918
Israel,ISR,2018,60.63011702
Italy,ITA,2018,33.775582
Japan,JPN,2018,50.94904625
Jordan,JOR,2018,58.89529884
Kazakhstan,KAZ,2018,71.38929898
Kenya,KEN,2018,64.53676556
Kosovo,OWID_KOS,2018,37.0466569
Kyrgyzstan,KGZ,2018,63.34180174
Latvia,LVA,2018,29.5952816
Lebanon,LBN,2018,30.62251417
Liberia,LBR,2018,68.71309598
Libya,LBY,2018,37.76555148
Lithuania,LTU,2018,40.29961181
Luxembourg,LUX,2018,80.01320748
Macedonia,MKD,2018,39.31121464
Madagascar,MDG,2018,33.57194173
Malawi,MWI,2018,58.1345415
Malaysia,MYS,2018,75.1715793
Mali,MLI,2018,48.78180181
Malta,MLT,2018,71.51763465
Mauritania,MRT,2018,30.7528839
Mauritius,MUS,2018,51.61487569
Mexico,MEX,2018,37.08061673
Moldova,MDA,2018,26.46578073
Mongolia,MNG,2018,48.7756212
Montenegro,MNE,2018,43.14891107
Morocco,MAR,2018,35.86514548
Mozambique,MOZ,2018,72.45270828
Myanmar,MMR,2018,88.30477116
Namibia,NAM,2018,58.01564363
Nepal,NPL,2018,71.98113305
Netherlands,NLD,2018,57.11289268
New Zealand,NZL,2018,75.06291233
Nicaragua,NIC,2018,39.03023926
Niger,NER,2018,67.54100784
Nigeria,NGA,2018,45.24078251
Northern Cyprus,OWID_CYN,2018,48.80483432
Norway,NOR,2018,89.08573629
Pakistan,PAK,2018,57.68036352
Palestine,PSE,2018,50.57273003
Panama,PAN,2018,30.22555119
Paraguay,PRY,2018,49.85533886
Peru,PER,2018,33.74644658
Philippines,PHL,2018,72.54271245
Poland,POL,2018,55.94255452
Portugal,PRT,2018,48.70432302
Romania,ROU,2018,22.58985207
Russia,RUS,2018,53.1311915
Rwanda,RWA,2018,95.89997462
Senegal,SEN,2018,54.95457211
Serbia,SRB,2018,51.43361989
Sierra Leone,SLE,2018,63.84384659
Singapore,SGP,2018,73.57871558
Slovakia,SVK,2018,48.96845244
Slovenia,SVN,2018,30.35193868
South Africa,ZAF,2018,42.21310176
South Korea,KOR,2018,62.70989972
Spain,ESP,2018,32.31604684
Sri Lanka,LKA,2018,60.8498355
Swaziland,SWZ,2018,65.06173663
Sweden,SWE,2018,65.63389544
Switzerland,CHE,2018,81.46982065
Taiwan,TWN,2018,34.92992873
Tanzania,TZA,2018,87.61743955
Thailand,THA,2018,81.60090625
Togo,TGO,2018,17.61994646
Tunisia,TUN,2018,42.41596867
Turkey,TUR,2018,56.5824679
Uganda,UGA,2018,55.48746856
Ukraine,UKR,2018,10.94897182
United Kingdom,GBR,2018,51.02283254
United States,USA,2018,47.42665101
Uruguay,URY,2018,44.51229883
Uzbekistan,UZB,2018,99.21937623
Venezuela,VEN,2018,35.70427041
Yemen,YEM,2018,35.10736215
Zambia,ZMB,2018,56.70300313
Zimbabwe,ZWE,2018,52.91058264
