Entity,Code,Year,10.a.1 - Proportion of tariff lines applied to imports with zero-tariff (%) - TM_TRF_ZERO - All products (%)
Afghanistan,AFG,2005,36.12121
Afghanistan,AFG,2010,44.73563
Afghanistan,AFG,2015,54.11406
Afghanistan,AFG,2016,51.49802
Afghanistan,AFG,2017,61.85567
Africa,,2005,51.19948
Africa,,2010,54.16686
Africa,,2015,63.5042
Africa,,2016,61.25991
Africa,,2017,64.1132
Albania,ALB,2005,57.40229
Albania,ALB,2010,61.55446
Albania,ALB,2015,61.68147
Albania,ALB,2016,46.14451
Albania,ALB,2017,59.64934
Algeria,DZA,2005,63.70403
Algeria,DZA,2010,50.47204
Algeria,DZA,2015,64.94645
Algeria,DZA,2016,45.40816
Algeria,DZA,2017,63.79007
American Samoa,ASM,2005,22.22222
American Samoa,ASM,2010,8.95522
American Samoa,ASM,2015,11.9171
American Samoa,ASM,2016,22.44898
American Samoa,ASM,2017,26.4993
Americas,,2005,44.82861
Americas,,2010,48.54232
Americas,,2015,52.55411
Americas,,2016,51.95767
Americas,,2017,52.87827
Andorra,AND,2005,59.38844
Andorra,AND,2010,54.53668
Andorra,AND,2015,67.9646
Andorra,AND,2016,32.7304
Andorra,AND,2017,57.93839
Angola,AGO,2005,55.27066
Angola,AGO,2010,61.62791
Angola,AGO,2015,65.25278
Angola,AGO,2016,42.86417
Angola,AGO,2017,46.04801
Anguilla,AIA,2005,38.63636
Anguilla,AIA,2010,20.7024
Anguilla,AIA,2015,52.47934
Anguilla,AIA,2016,49.26829
Anguilla,AIA,2017,49.30876
Antigua and Barbuda,ATG,2005,59.55882
Antigua and Barbuda,ATG,2010,33.60898
Antigua and Barbuda,ATG,2015,73.02032
Antigua and Barbuda,ATG,2016,80.34783
Antigua and Barbuda,ATG,2017,68.12865
Argentina,ARG,2005,54.47225
Argentina,ARG,2010,60.00432
Argentina,ARG,2015,66.98355
Argentina,ARG,2016,67.65577
Argentina,ARG,2017,64.39792
Armenia,ARM,2005,70.1737
Armenia,ARM,2010,74.39024
Armenia,ARM,2015,74.02113
Armenia,ARM,2016,70.87379
Armenia,ARM,2017,75.29748
Aruba,ABW,2005,30.0158
Aruba,ABW,2010,21.01944
Aruba,ABW,2015,54.18886
Aruba,ABW,2016,25.06868
Aruba,ABW,2017,32.58749
Asia,,2005,34.20339
Asia,,2010,38.11493
Asia,,2015,43.43915
Asia,,2016,42.94028
Asia,,2017,46.11349
"Asia, Central",,2005,69.93892
"Asia, Central",,2010,73.71878
"Asia, Central",,2015,72.85447
"Asia, Central",,2016,76.11005
"Asia, Central",,2017,75.27499
Australia,AUS,2005,39.61463
Australia,AUS,2010,40.68212
Australia,AUS,2015,46.77182
Australia,AUS,2016,46.37941
Australia,AUS,2017,50.6607
Australia and New Zealand,,2005,39.76426
Australia and New Zealand,,2010,40.9335
Australia and New Zealand,,2015,47.58879
Australia and New Zealand,,2016,45.61437
Australia and New Zealand,,2017,49.71429
Austria,AUT,2005,43.7094
Austria,AUT,2010,51.47033
Austria,AUT,2015,58.07527
Austria,AUT,2017,62.14604
Azerbaijan,AZE,2005,79.78094
Azerbaijan,AZE,2010,82.27688
Azerbaijan,AZE,2015,70.76044
Azerbaijan,AZE,2016,76.26542
Azerbaijan,AZE,2017,69.80073
Bahamas,BHS,2005,54.0783
Bahamas,BHS,2010,50.20048
Bahamas,BHS,2015,62.93593
Bahamas,BHS,2016,49.45175
Bahamas,BHS,2017,56.96498
Bahrain,BHR,2005,69.81936
Bahrain,BHR,2010,69.39186
Bahrain,BHR,2015,64.64615
Bahrain,BHR,2016,73.84112
Bahrain,BHR,2017,66.65122
Bangladesh,BGD,2005,43.9939
Bangladesh,BGD,2010,40.28527
Bangladesh,BGD,2015,39.69648
Bangladesh,BGD,2016,37.21668
Bangladesh,BGD,2017,44.83225
Barbados,BRB,2005,82.18727
Barbados,BRB,2010,65.15273
Barbados,BRB,2015,78.62758
Barbados,BRB,2016,85.69046
Barbados,BRB,2017,81.46259
Belarus,BLR,2005,68.92137
Belarus,BLR,2010,60.97317
Belarus,BLR,2015,66.41405
Belarus,BLR,2016,80.84416
Belarus,BLR,2017,73.34157
Belgium,BEL,2005,37.07863
Belgium,BEL,2010,42.45413
Belgium,BEL,2015,47.68479
Belgium,BEL,2017,52.06669
Belize,BLZ,2005,50.56338
Belize,BLZ,2010,51.9437
Belize,BLZ,2015,58.2879
Belize,BLZ,2016,62.80624
Belize,BLZ,2017,62.87279
Benin,BEN,2005,42.89912
Benin,BEN,2010,39.04682
Benin,BEN,2015,75.41857
Benin,BEN,2016,78.42357
Benin,BEN,2017,79.97609
Bermuda,BMU,2005,52.69978
Bermuda,BMU,2010,57.71028
Bermuda,BMU,2015,50.67265
Bermuda,BMU,2016,52.17391
Bermuda,BMU,2017,39.72414
Bhutan,BTN,2005,35.27697
Bhutan,BTN,2010,57.19557
Bhutan,BTN,2015,79.20228
Bhutan,BTN,2016,79.19463
Bhutan,BTN,2017,76.07656
Bolivia,BOL,2005,67.68793
