Entity,Code,Year,Change in male height (%) (%)
Afghanistan,AFG,1996,2.5388815
Albania,ALB,1996,6.161767729
Algeria,DZA,1996,6.03768192
American Samoa,ASM,1996,3.729419757
Andorra,AND,1996,7.756080189
Angola,AGO,1996,3.169231747
Antigua and Barbuda,ATG,1996,6.799158327
Argentina,ARG,1996,7.563547809
Armenia,ARM,1996,6.267713884
Australia,AUS,1996,6.071333588
Austria,AUT,1996,5.583538531
Azerbaijan,AZE,1996,4.997569074
Bahamas,BHS,1996,6.813063408
Bahrain,BHR,1996,7.039579887
Bangladesh,BGD,1996,3.295071358
Barbados,BRB,1996,6.712062355
Belarus,BLR,1996,6.382938941
Belgium,BEL,1996,8.671206751
Belize,BLZ,1996,6.7032663
Benin,BEN,1996,2.795829113
Bermuda,BMU,1996,6.763113416
Bhutan,BTN,1996,2.504867163
Bolivia,BOL,1996,6.735351769
Bosnia and Herzegovina,BIH,1996,7.389369557
Botswana,BWA,1996,3.274247957
Brazil,BRA,1996,6.333814394
Brunei,BRN,1996,5.918493461
Bulgaria,BGR,1996,7.078215606
Burkina Faso,BFA,1996,3.568803356
Burundi,BDI,1996,3.122928737
Cambodia,KHM,1996,5.457737829
Cameroon,CMR,1996,2.639914389
Canada,CAN,1996,4.314917104
Cape Verde,CPV,1996,5.073893553
Central African Republic,CAF,1996,3.290652917
Chad,TCD,1996,3.362093562
Chile,CHL,1996,6.91822896
China,CHN,1996,6.743218138
Colombia,COL,1996,7.752047543
Comoros,COM,1996,4.051920522
Congo,COG,1996,3.43670787
Cook Islands,COK,1996,3.136157694
Costa Rica,CRI,1996,7.133529805
Cote d'Ivoire,CIV,1996,2.395401466
Croatia,HRV,1996,7.526335438
Cuba,CUB,1996,7.579500499
Cyprus,CYP,1996,7.533781631
Czech Republic,CZE,1996,7.204648743
Democratic Republic of Congo,COD,1996,3.064540393
Denmark,DNK,1996,6.718703731
Djibouti,DJI,1996,3.136774836
Dominica,DMA,1996,7.203924819
Dominican Republic,DOM,1996,7.789950061
East Asia and Pacific,,1996,4.831937849
Ecuador,ECU,1996,7.355929162
Egypt,EGY,1996,5.073493665
El Salvador,SLV,1996,7.128947513
Equatorial Guinea,GNQ,1996,3.232618325
Eritrea,ERI,1996,2.785247869
Estonia,EST,1996,6.272741395
Ethiopia,ETH,1996,3.071285626
Europe and Central Asia,,1996,6.935174475
Fiji,FJI,1996,3.143108634
Finland,FIN,1996,7.062209917
France,FRA,1996,8.007574189
French Polynesia,PYF,1996,4.336903424
Gabon,GAB,1996,3.228129559
Gambia,GMB,1996,2.917815794
Georgia,GEO,1996,6.041491174
Germany,DEU,1996,7.611707381
Ghana,GHA,1996,3.988373224
Greece,GRC,1996,9.106003699
Greenland,GRL,1996,9.658410591
Grenada,GRD,1996,7.564128585
Guatemala,GTM,1996,6.189952027
Guinea,GIN,1996,2.564398863
Guinea-Bissau,GNB,1996,3.101913492
Guyana,GUY,1996,6.442242883
Haiti,HTI,1996,6.768932019
Honduras,HND,1996,5.063973546
Hong Kong,HKG,1996,8.702671719
Hungary,HUN,1996,6.586304287
Iceland,ISL,1996,5.83546924
India,IND,1996,1.843145791
Indonesia,IDN,1996,5.75893575
Iran,IRN,1996,10.51389269
Iraq,IRQ,1996,7.015829297
Ireland,IRL,1996,7.550032089
Israel,ISR,1996,8.234727349
Italy,ITA,1996,7.927038915
Jamaica,JAM,1996,7.033841194
Japan,JPN,1996,9.381432197
Jordan,JOR,1996,7.642032402
Kazakhstan,KAZ,1996,6.147221469
Kenya,KEN,1996,2.365446599
Kiribati,KIR,1996,1.415526212
Kuwait,KWT,1996,7.203662849
Kyrgyzstan,KGZ,1996,6.857576162
Laos,LAO,1996,4.99354944
Latin America and Caribbean,,1996,6.823894306
Latvia,LVA,1996,7.109351282
Lebanon,LBN,1996,8.508812893
Lesotho,LSO,1996,2.646940354
Liberia,LBR,1996,3.144350288
Libya,LBY,1996,7.604828633
Lithuania,LTU,1996,5.978523493
Luxembourg,LUX,1996,6.294523321
Macedonia,MKD,1996,7.099502656
Madagascar,MDG,1996,1.805660011
Malawi,MWI,1996,1.897765474
Malaysia,MYS,1996,6.545428218
Maldives,MDV,1996,7.604368172
Mali,MLI,1996,3.653202308
Malta,MLT,1996,7.060985445
Marshall Islands,MHL,1996,0.317504743
Mauritania,MRT,1996,1.091714019
Mauritius,MUS,1996,6.14208931
Mexico,MEX,1996,7.823040258
Micronesia (country),FSM,1996,2.341145561
Middle East and North Africa,,1996,6.872719341
Moldova,MDA,1996,6.594648956
Mongolia,MNG,1996,6.26638035
Montenegro,MNE,1996,7.100693809
Morocco,MAR,1996,7.030127554
Mozambique,MOZ,1996,3.566792632
Myanmar,MMR,1996,4.67883691
Namibia,NAM,1996,1.685868072
Nauru,NRU,1996,1.835139581
Nepal,NPL,1996,3.025302493
Netherlands,NLD,1996,7.733760103
New Zealand,NZL,1996,6.121175886
Nicaragua,NIC,1996,6.057192231
Niger,NER,1996,2.306424015
Nigeria,NGA,1996,3.017823946
Niue,NIU,1996,4.29002336
North America,,1996,4.836980029
North Korea,PRK,1996,7.110137242
Norway,NOR,1996,4.96672341
Oman,OMN,1996,8.60527803
Pakistan,PAK,1996,0.76796152
Palau,PLW,1996,2.162248723
Palestine,PSE,1996,6.980821554
Panama,PAN,1996,7.330728255
Papua New Guinea,PNG,1996,2.686556549
Paraguay,PRY,1996,6.659870333
Peru,PER,1996,6.651447307
Philippines,PHL,1996,5.493983071
Poland,POL,1996,8.348108054
Portugal,PRT,1996,8.791023739
Puerto Rico,PRI,1996,7.220016581
Qatar,QAT,1996,7.069369586
Romania,ROU,1996,6.666792472
Russia,RUS,1996,5.684527431
Rwanda,RWA,1996,1.708918432
Saint Kitts and Nevis,KNA,1996,5.814966209
Saint Lucia,LCA,1996,6.134838345
Saint Vincent and the Grenadines,VCT,1996,6.805518958
Samoa,WSM,1996,3.096132147
Sao Tome and Principe,STP,1996,3.202107943
Saudi Arabia,SAU,1996,6.032375062
Senegal,SEN,1996,3.88126436
Serbia,SRB,1996,7.837834285
Seychelles,SYC,1996,5.281520834
Sierra Leone,SLE,1996,2.39656098
Singapore,SGP,1996,5.960740722
Slovakia,SVK,1996,6.630544183
Slovenia,SVN,1996,7.423090693
Solomon Islands,SLB,1996,2.048782662
Somalia,SOM,1996,3.192352354
South Africa,ZAF,1996,0.858002116
South Asia,,1996,3.36179606
South Korea,KOR,1996,9.494622809
Spain,ESP,1996,8.813595999
Sri Lanka,LKA,1996,5.58587997
Sub-Saharan Africa,,1996,3.004601531
Sudan,SDN,1996,3.174162424
Suriname,SUR,1996,6.805907613
Swaziland,SWZ,1996,3.009054
Sweden,SWE,1996,4.561289466
Switzerland,CHE,1996,6.501636615
Syria,SYR,1996,7.028102802
Taiwan,TWN,1996,8.187322288
Tajikistan,TJK,1996,6.116190783
Tanzania,TZA,1996,2.496304703
Thailand,THA,1996,6.756448167
Timor,TLS,1996,4.417030428
Togo,TGO,1996,3.405548632
Tokelau,TKL,1996,4.228481936
Tonga,TON,1996,3.723897275
Trinidad and Tobago,TTO,1996,6.000631169
Tunisia,TUN,1996,6.022237594
Turkey,TUR,1996,8.66224751
Turkmenistan,TKM,1996,6.351358131
Tuvalu,TUV,1996,2.590982493
Uganda,UGA,1996,2.125236507
Ukraine,UKR,1996,6.413829643
United Arab Emirates,ARE,1996,6.99985363
United Kingdom,GBR,1996,6.362891563
United States,USA,1996,3.537029078
Uruguay,URY,1996,5.874468619
Uzbekistan,UZB,1996,5.15193499
Vanuatu,VUT,1996,2.754328143
Venezuela,VEN,1996,7.27198928
Vietnam,VNM,1996,5.890434206
World,OWID_WRL,1996,5.41468396
Yemen,YEM,1996,3.483763908
Zambia,ZMB,1996,2.656600312
Zimbabwe,ZWE,1996,2.311613368
