Entity,Code,Year,Share of people who neither agree nor disagree vaccines are effective (%)
Afghanistan,AFG,2018,1.844363739
Albania,ALB,2018,13.5463218
Algeria,DZA,2018,17.95279449
Argentina,ARG,2018,6.848387324
Armenia,ARM,2018,19.76250286
Australia,AUS,2018,4.664296981
Australia/New Zealand,,2018,5
Austria,AUT,2018,20.14860466
Azerbaijan,AZE,2018,16.11645526
Bangladesh,BGD,2018,0.840340719
Belarus,BLR,2018,34.67939404
Belgium,BEL,2018,10.88920142
Benin,BEN,2018,2.554515672
Bolivia,BOL,2018,9.919754556
Bosnia and Herzegovina,BIH,2018,14.99876551
Botswana,BWA,2018,3.463433128
Brazil,BRA,2018,8.76524635
Bulgaria,BGR,2018,29.62278156
Burkina Faso,BFA,2018,3.958486986
Burundi,BDI,2018,0.201207558
Cambodia,KHM,2018,1.60626871
Cameroon,CMR,2018,4.350205018
Canada,CAN,2018,11.19557724
Central Africa,,2018,4
Central America and Mexico,,2018,4
Central Asia,,2018,11
Chad,TCD,2018,3.327396492
Chile,CHL,2018,14.45239435
China,CHN,2018,14.18706186
Colombia,COL,2018,8.617486645
Comoros,COM,2018,1.31128831
Costa Rica,CRI,2018,7.128013383
Croatia,HRV,2018,22.27728028
Cyprus,CYP,2018,21.49739447
Czech Republic,CZE,2018,15.23697981
Denmark,DNK,2018,10.46399782
Dominican Republic,DOM,2018,4.083057629
East Asia,,2018,16
Eastern Africa,,2018,3
Eastern Europe,,2018,20
Ecuador,ECU,2018,5.414094157
Egypt,EGY,2018,1.566401919
El Salvador,SLV,2018,7.354673422
Estonia,EST,2018,26.19031476
Ethiopia,ETH,2018,0.464418466
Finland,FIN,2018,12.18099112
France,FRA,2018,12.22386128
Gabon,GAB,2018,6.500866582
Georgia,GEO,2018,11.06131669
Germany,DEU,2018,12.69792555
Ghana,GHA,2018,4.3861781
Greece,GRC,2018,11.26375358
Guatemala,GTM,2018,3.112335465
Guinea,GIN,2018,1.293477028
Haiti,HTI,2018,2.689482127
Honduras,HND,2018,4.400805765
Hungary,HUN,2018,17.84996555
Iceland,ISL,2018,1.459296031
India,IND,2018,1.817715267
Indonesia,IDN,2018,13.39043628
Iran,IRN,2018,10.61483958
Iraq,IRQ,2018,3.420518286
Ireland,IRL,2018,8.01285883
Israel,ISR,2018,8.899407034
Italy,ITA,2018,8.90256584
Japan,JPN,2018,32.19136738
Jordan,JOR,2018,2.682771871
Kazakhstan,KAZ,2018,29.25857768
Kenya,KEN,2018,3.636661532
Kosovo,OWID_KOS,2018,12.88779463
Kuwait,KWT,2018,5.695507911
Kyrgyzstan,KGZ,2018,10.53467242
Laos,LAO,2018,3.257092404
Latvia,LVA,2018,29.79456109
Lebanon,LBN,2018,10.88851741
Liberia,LBR,2018,2.711535577
Libya,LBY,2018,15.18198456
Lithuania,LTU,2018,24.53167531
Luxembourg,LUX,2018,11.62061525
Macedonia,MKD,2018,22.67185501
Madagascar,MDG,2018,1.238882816
Malawi,MWI,2018,3.773928487
Malaysia,MYS,2018,4.59199527
Mali,MLI,2018,1.801169754
Malta,MLT,2018,9.334207666
Mauritania,MRT,2018,2.292466885
Mauritius,MUS,2018,8.780981039
Mexico,MEX,2018,3.366149201
Middle East,,2018,8
Moldova,MDA,2018,31.73498131
Mongolia,MNG,2018,2.617230027
Montenegro,MNE,2018,31.98430414
Morocco,MAR,2018,5.059911376
Mozambique,MOZ,2018,2.5557614
Myanmar,MMR,2018,1.662453267
Namibia,NAM,2018,4.138934642
Nepal,NPL,2018,4.213435157
Netherlands,NLD,2018,11.63603854
New Zealand,NZL,2018,9.884011605
Nicaragua,NIC,2018,4.270258584
Niger,NER,2018,0.808715134
Nigeria,NGA,2018,2.254029926
North Africa,,2018,7
Northern America,,2018,9
Northern Cyprus,OWID_CYN,2018,6.635861778
Northern Europe,,2018,11
Norway,NOR,2018,4.043534672
Pakistan,PAK,2018,4.443402209
Palestine,PSE,2018,4.705640251
Panama,PAN,2018,8.058157208
Paraguay,PRY,2018,10.78032773
Peru,PER,2018,10.79989297
Philippines,PHL,2018,3.52984902
Poland,POL,2018,9.538509816
Portugal,PRT,2018,18.74709424
Romania,ROU,2018,12.19523592
Russia,RUS,2018,18.40804494
Rwanda,RWA,2018,0.119484928
Saudi Arabia,SAU,2018,11.60786857
Senegal,SEN,2018,5.154322707
Serbia,SRB,2018,15.01315502
