Entity,Code,Year,Education (minutes),Household work (minutes),Personal needs (minutes),Leisure (minutes),Income producing work (minutes),Other activities (minutes)
Norway,NOR,1970,17.023643,355.49374,636.88458,299.41586,116.16133,15.020863
Norway,NOR,1980,31.021542,286.19873,619.43011,356.24738,143.09937,4.0027795
Norway,NOR,1990,33,262,610,361,168,6
Norway,NOR,2000,27,236,611,380,179,7
Norway,NOR,2010,28.019457,230.15982,624.43359,371.25778,181.12578,5.0034742
