Entity,Code,Year,Not vaccinated (people),Vaccinated (people)
World,OWID_WRL,1980,3507309647,932322817.7
World,OWID_WRL,1981,3434137552,1084464490
World,OWID_WRL,1982,3403262497,1195740877
World,OWID_WRL,1983,2855538410,1825672098
World,OWID_WRL,1984,2621111659,2144545903
World,OWID_WRL,1985,2474795690,2377744879
World,OWID_WRL,1986,2372186937,2569869181
World,OWID_WRL,1987,2214874175,2818930769
World,OWID_WRL,1988,1845587770,3281044924
World,OWID_WRL,1989,1670072966,3548905053
World,OWID_WRL,1990,1274320248,4035347451
World,OWID_WRL,1991,1511532051,3886796702
World,OWID_WRL,1992,1645534583,3839580693
World,OWID_WRL,1993,1671013614,3899031766
World,OWID_WRL,1994,1526395291,4126920602
World,OWID_WRL,1995,1548483233,4186639851
World,OWID_WRL,1996,1628309845,4187082460
World,OWID_WRL,1997,1709304980,4184850125
World,OWID_WRL,1998,1672127191,4299755634
World,OWID_WRL,1999,1693777457,4355427746
World,OWID_WRL,2000,1715454194,4411167927
World,OWID_WRL,2001,1675163900,4529146839
World,OWID_WRL,2002,1696221477,4586080290
World,OWID_WRL,2003,1590191171,4770573513
World,OWID_WRL,2004,1545562178,4894280230
World,OWID_WRL,2005,1434319887,5085315963
World,OWID_WRL,2006,1386046252,5214173995
World,OWID_WRL,2007,1336321464,5345285856
World,OWID_WRL,2008,1217471918,5546260961
World,OWID_WRL,2009,1095436723,5751042798
World,OWID_WRL,2010,1039458756,5890266287
World,OWID_WRL,2011,1052014058,5961412994
World,OWID_WRL,2012,1064625068,6032875385
World,OWID_WRL,2013,1077257271,6104457868
World,OWID_WRL,2014,1089867892,6175918054
World,OWID_WRL,2015,1028926094,6320546005
