Entity,Code,Year,Difference in the value of goods exported to and imported by the US (DOTS (2017)) (Current US$ (in millions))
Afghanistan,AFG,2016,32207000
Albania,ALB,2016,111773450
Algeria,DZA,2016,-107715820
Angola,AGO,2016,1528326200
Anguilla,AIA,2016,-1952120
Antigua and Barbuda,ATG,2016,5668310
Argentina,ARG,2016,255967290
Armenia,ARM,2016,3970720
Aruba,ABW,2016,-2232410
Australia,AUS,2016,-2808134800
Austria,AUT,2016,1355224600
Azerbaijan,AZE,2016,61352140
Bahamas,BHS,2016,38823640
Bahrain,BHR,2016,-643786560
Bangladesh,BGD,2016,1958596400
Barbados,BRB,2016,-128236719.99999999
Belarus,BLR,2016,3295580
Belgium,BEL,2016,-6032867200
Belize,BLZ,2016,4060030.0000000005
Benin,BEN,2016,35310
Bermuda,BMU,2016,16957620
Bhutan,BTN,2016,2541770
Bolivia,BOL,2016,9967590
Bosnia and Herzegovina,BIH,2016,34801010
Botswana,BWA,2016,268116460.00000003
Brazil,BRA,2016,2875134800
Brunei,BRN,2016,3886930
Bulgaria,BGR,2016,211846220
Burkina Faso,BFA,2016,3119430
Burundi,BDI,2016,4261000
Cambodia,KHM,2016,665257080
Cameroon,CMR,2016,54092190
Canada,CAN,2016,-19522250000
Cape Verde,CPV,2016,3361950
Chad,TCD,2016,50868410
Chile,CHL,2016,349013670
China,CHN,2016,73098563000
Colombia,COL,2016,3436003900
Comoros,COM,2016,2444670
Congo,COG,2016,87013640
Costa Rica,CRI,2016,268344730.00000003
Cote d'Ivoire,CIV,2016,418329530
Croatia,HRV,2016,6959500
Curacao,CUW,2016,3492200
Cyprus,CYP,2016,-13264460
Czech Republic,CZE,2016,858220700
Democratic Republic of Congo,COD,2016,9845980
Denmark,DNK,2016,178295410
Djibouti,DJI,2016,14738640
Dominica,DMA,2016,288130
Dominican Republic,DOM,2016,113061040
Ecuador,ECU,2016,650440430
Egypt,EGY,2016,101573850
El Salvador,SLV,2016,-74480470
Equatorial Guinea,GNQ,2016,10938350
Eritrea,ERI,2016,271180
Estonia,EST,2016,650347350
Ethiopia,ETH,2016,75202060
Faeroe Islands,FRO,2016,45091830
Falkland Islands,FLK,2016,1119540
Fiji,FJI,2016,35923540
Finland,FIN,2016,182675290
France,FRA,2016,10291586000
French Polynesia,PYF,2016,14820630
Gabon,GAB,2016,-102209850
Gambia,GMB,2016,579950
Georgia,GEO,2016,26042310
Germany,DEU,2016,-4309414100
Ghana,GHA,2016,124241550
Gibraltar,GIB,2016,19800
Greece,GRC,2016,17776120
Greenland,GRL,2016,5897640
Grenada,GRD,2016,2169780
Guatemala,GTM,2016,495082030
Guinea,GIN,2016,32910
Guinea-Bissau,GNB,2016,171650
Guyana,GUY,2016,133150849.99999999
Haiti,HTI,2016,50870000
Honduras,HND,2016,3156308100
Hong Kong,HKG,2016,-34413844000
Hungary,HUN,2016,2383036100
Iceland,ISL,2016,23850190
India,IND,2016,4047894500
Indonesia,IDN,2016,3031393600
Iran,IRN,2016,4867820
Iraq,IRQ,2016,337644530
Ireland,IRL,2016,10351930000
Israel,ISR,2016,4608904300
Italy,ITA,2016,4397261700
Jamaica,JAM,2016,-189897310
Japan,JPN,2016,1773210900
Jordan,JOR,2016,191495850
Kazakhstan,KAZ,2016,129238769.99999999
Kenya,KEN,2016,141287870
Kiribati,KIR,2016,1322700
Kosovo,OWID_KOS,2016,164580
Kuwait,KWT,2016,187493650
Kyrgyzstan,KGZ,2016,2770930
Laos,LAO,2016,3111500
Latvia,LVA,2016,155713730
Lebanon,LBN,2016,53765010
Lesotho,LSO,2016,84021120
Liberia,LBR,2016,3628800
Libya,LBY,2016,118390420
Lithuania,LTU,2016,-103109010
Luxembourg,LUX,2016,74396700
Macao,MAC,2016,99826600
Macedonia,MKD,2016,179913700
Madagascar,MDG,2016,152570370
Malawi,MWI,2016,12002680
Malaysia,MYS,2016,17333414000
Maldives,MDV,2016,8044290
Mali,MLI,2016,-3696190
Malta,MLT,2016,471435120
Marshall Islands,MHL,2016,263820
Mauritania,MRT,2016,50068180
Mauritius,MUS,2016,85626770
Mexico,MEX,2016,-8424687500
Micronesia,,2016,-732900
Moldova,MDA,2016,20875350
Mongolia,MNG,2016,736180
Montenegro,MNE,2016,666400
Montserrat,MSR,2016,-978010
Morocco,MAR,2016,226830630
Mozambique,MOZ,2016,13043670
Myanmar,MMR,2016,51995160
Namibia,NAM,2016,-41849340
Nauru,NRU,2016,61330
Nepal,NPL,2016,15617600
Netherlands,NLD,2016,-4231183600.0000005
Netherlands Antilles,ANT,2016,252457960
New Caledonia,NCL,2016,1802890
New Zealand,NZL,2016,389123050
Nicaragua,NIC,2016,2321345700
Niger,NER,2016,-30144420
Nigeria,NGA,2016,634537600
Norway,NOR,2016,671624020
Oman,OMN,2016,316937070
Pakistan,PAK,2016,16353269.999999998
Palau,PLW,2016,-270550
Palestine,PSE,2016,-4035929.9999999995
Panama,PAN,2016,271734950
Papua New Guinea,PNG,2016,24889160
Paraguay,PRY,2016,13436720
Peru,PER,2016,16039549.999999998
Philippines,PHL,2016,1376329100
Poland,POL,2016,1174781700
Portugal,PRT,2016,477077150
Qatar,QAT,2016,477252140
Romania,ROU,2016,905118900
Russia,RUS,2016,5043909200
Rwanda,RWA,2016,6978320
Saint Kitts and Nevis,KNA,2016,24741100
Saint Lucia,LCA,2016,-37709620
Saint Vincent and the Grenadines,VCT,2016,-376920
Samoa,WSM,2016,1519520
San Marino,SMR,2016,14460
Saudi Arabia,SAU,2016,714731450
Senegal,SEN,2016,-8143039.999999999
Serbia,SRB,2016,65420760
Seychelles,SYC,2016,3256000
Sierra Leone,SLE,2016,-114233350
Singapore,SGP,2016,-4788289100
Slovakia,SVK,2016,680727780
Slovenia,SVN,2016,167898500
Solomon Islands,SLB,2016,247950
Somalia,SOM,2016,56070
South Africa,ZAF,2016,1227421900
South Korea,KOR,2016,3178429700
South Sudan,SSD,2016,7550
Spain,ESP,2016,892384770
Sri Lanka,LKA,2016,20933110
Sudan,SDN,2016,5524820
Suriname,SUR,2016,38488460
Swaziland,SWZ,2016,16868390
Sweden,SWE,2016,-480167970
Switzerland,CHE,2016,-333472660
Syria,SYR,2016,777270
Tajikistan,TJK,2016,727600
Tanzania,TZA,2016,92543490
Thailand,THA,2016,5158888700
Timor,TLS,2016,-4724780
Togo,TGO,2016,6018520
Tonga,TON,2016,274890
Trinidad and Tobago,TTO,2016,-99840330
Tunisia,TUN,2016,144701920
Turkey,TUR,2016,1440954100
Turkmenistan,TKM,2016,1009260
Tuvalu,TUV,2016,0
Uganda,UGA,2016,22767070
Ukraine,UKR,2016,150042450
United Arab Emirates,ARE,2016,189961910
United Kingdom,GBR,2016,-6359449200
Uruguay,URY,2016,90362950
Uzbekistan,UZB,2016,1740110
Vanuatu,VUT,2016,498760
Vatican,VAT,2016,3140
Venezuela,VEN,2016,1391959000
Vietnam,VNM,2016,3635984400
Yemen,YEM,2016,1799960
Zambia,ZMB,2016,44386640
Zimbabwe,ZWE,2016,13813440
