Entity,Code,Year,17th percentile (%),2.5th percentile (%),83rd percentile (%),97.5th percentile (%),Median (%)
Afghanistan,AFG,2,-0.249557048,-0.746839853,0.358699123,0.86736697,0.041819297
Albania,ALB,2,-0.29164057,-0.701524845,0.202313409,0.577274608,-0.020776501
Algeria,DZA,2,-0.93753393,-1.556940591,-0.173860116,0.058727121,-0.487855655
Angola,AGO,2,-1.375586748,-1.871534329,-0.643631581,-0.333922249,-0.976077167
Argentina,ARG,2,-0.625701041,-1.134521277,-0.050280724,0.127389355,-0.276465377
Armenia,ARM,2,0.253242029,-0.061983297,1.421228216,2.410370747,0.728426766
Australia,AUS,2,-0.486239562,-0.841837427,-0.049695049,0.126526362,-0.228401444
Austria,AUT,2,0.120976949,-0.317371061,1.356340704,2.389953793,0.623638696
Azerbaijan,AZE,2,-0.203626668,-0.670491313,0.368765,0.88339246,0.054623279
Bahamas,BHS,2,-1.453340958,-2.113067368,-0.585623174,-0.243370453,-0.993049624
Bangladesh,BGD,2,-2.428257481,-3.353736193,-1.094265159,-0.578773963,-1.692128423
Belarus,BLR,2,0.076641675,-0.682672262,1.823661185,3.299891557,0.797255815
Belgium,BEL,2,0.010537868,-0.287564552,0.810557421,1.602905809,0.305603587
Belize,BLZ,2,-1.766903388,-2.411247507,-0.815243696,-0.438917088,-1.245681127
Benin,BEN,2,-2.121950921,-2.880661102,-1.007811245,-0.544649859,-1.510270946
Bhutan,BTN,2,-0.22903976,-0.620092934,0.36005997,0.756158485,0.069183979
Bolivia,BOL,2,-0.81889851,-1.328874557,-0.160866372,0.088904773,-0.440636079
Bosnia and Herzegovina,BIH,2,0.028415815,-0.305114074,0.981327199,1.862269439,0.397793261
Botswana,BWA,2,-1.398125697,-2.15492412,-0.361197322,0.019389657,-0.820871486
Brazil,BRA,2,-1.638153249,-2.504233347,-0.513218395,-0.075920256,-1.000298304
Brunei,BRN,2,-1.795673587,-2.469386479,-0.757395923,-0.372615149,-1.226888049
Bulgaria,BGR,2,0.00131802,-0.303250984,0.821501474,1.586957768,0.312698956
Burkina Faso,BFA,2,-2.688126887,-3.80070593,-1.087764552,-0.477538725,-1.8107702
Burundi,BDI,2,-1.134128465,-1.653429662,-0.409050012,-0.143308403,-0.726794771
Cambodia,KHM,2,-2.539444862,-3.676377121,-0.941056132,-0.247080602,-1.648986562
Cameroon,CMR,2,-1.746759637,-2.322221991,-0.870968218,-0.514036358,-1.269355284
Canada,CAN,2,0.493206697,0.064565969,1.729793837,2.621420624,1.03742857
Cape Verde,CPV,2,-1.155923725,-1.96131373,-0.283526106,0.201131093,-0.663926792
Central African Republic,CAF,2,-1.951776563,-2.639454437,-0.920945733,-0.525552883,-1.389932456
Chad,TCD,2,-2.731592002,-3.833597094,-1.050487793,-0.385504893,-1.821765819
Chile,CHL,2,0.055513289,-0.130816939,0.639297859,1.112277834,0.300337115
China,CHN,2,-0.428021578,-0.870743557,0.166446324,0.542978311,-0.098572672
Colombia,COL,2,-1.424113574,-2.364660491,-0.321916691,0.147097207,-0.786266108
Comoros,COM,2,-1.228426516,-1.653367981,-0.593402478,-0.338174619,-0.882322206
Congo,COG,2,-1.806609621,-2.455334329,-0.843513897,-0.449288466,-1.280955572
Costa Rica,CRI,2,-1.603648722,-2.629478721,-0.461562418,0.089818145,-0.957332294
Cote d'Ivoire,CIV,2,-1.961948397,-2.651954224,-0.940262397,-0.543737482,-1.400331445
Croatia,HRV,2,-0.088625161,-0.534053348,0.574800361,1.292644271,0.144707859
Cuba,CUB,2,-1.646544515,-2.298161889,-0.71463853,-0.349147825,-1.135807099
Cyprus,CYP,2,-0.940493838,-1.399980738,-0.313212403,-0.082738325,-0.586620407
Czech Republic,CZE,2,0.087349188,-0.428476667,1.390673439,2.490855871,0.626174741
Democratic Republic of Congo,COD,2,-1.628367048,-2.231982817,-0.735705985,-0.375778481,-1.138865857
Denmark,DNK,2,0.181118793,-0.109997723,1.135078523,1.877259482,0.587696082
Djibouti,DJI,2,-2.967541787,-4.472178149,-0.816181724,0.163364891,-1.794268702
Dominican Republic,DOM,2,-1.609096415,-2.148397505,-0.807793403,-0.490050031,-1.168447958
Ecuador,ECU,2,-1.084244926,-1.996330123,-0.192291264,0.299300256,-0.565911652
Egypt,EGY,2,-1.582800896,-2.309330998,-0.597759184,-0.250224089,-1.027597835
El Salvador,SLV,2,-2.227803909,-3.644378982,-0.376196482,0.546450387,-1.1796875
Eritrea,ERI,2,-1.819948458,-2.748856484,-0.559854041,-0.094684309,-1.113453763
Estonia,EST,2,0.319207503,-0.358872332,2.255378614,3.913626435,1.087091254
Ethiopia,ETH,2,-1.019995698,-1.504522134,-0.365865826,-0.121902241,-0.650218213
Fiji,FJI,2,-1.010767957,-1.449298461,-0.366779323,-0.146175846,-0.661586964
Finland,FIN,2,0.505180754,-0.218035464,2.837868506,4.723730289,1.426354882
France,FRA,2,-0.005498115,-0.322120341,0.662988185,1.293469803,0.248105762
Gabon,GAB,2,-1.524683986,-1.979816296,-0.815039466,-0.518376878,-1.139388319
Gambia,GMB,2,-1.857129367,-2.615154691,-0.794222568,-0.349930567,-1.273863279
Georgia,GEO,2,-0.024119506,-0.410339995,0.685233211,1.345805427,0.261368602
Germany,DEU,2,0.064590734,-0.281063723,1.115729596,2.056902103,0.473540397
Greece,GRC,2,-0.517043143,-1.0595978,0.046044425,0.393370897,-0.154485764
Guatemala,GTM,2,-1.687098863,-2.560995119,-0.515190109,-0.015876319,-1.033985481
Guinea,GIN,2,-1.760742411,-2.368518476,-0.867554529,-0.509146854,-1.268874935
Guyana,GUY,2,-2.533202936,-4.021883009,-1.028685283,-0.368799377,-1.670506921
Honduras,HND,2,-2.101251652,-3.184714864,-0.645393811,-0.050747309,-1.284536835
Hungary,HUN,2,-0.031048208,-0.441172987,0.821314,1.671825679,0.282140851
Iceland,ISL,2,0.519622296,-0.101459582,2.425493192,4.118606848,1.268847323
India,IND,2,-2.171400328,-3.081345192,-0.905886076,-0.422514315,-1.468346892
Indonesia,IDN,2,-1.937945803,-2.657747058,-0.847641574,-0.480385193,-1.339178047
Iran,IRN,2,-0.669067687,-1.223654697,-0.002849599,0.346994098,-0.270454901
Iraq,IRQ,2,-2.09352121,-3.064563365,-0.731422677,-0.260980846,-1.334847029
Italy,ITA,2,-0.258925037,-0.717641197,0.279325298,0.729784569,0.010808222
Japan,JPN,2,-0.290036183,-0.643824409,0.184651373,0.508201782,-0.033216299
Jordan,JOR,2,-1.019107228,-1.613478977,-0.254574519,-0.00117013,-0.577867527
Kazakhstan,KAZ,2,0.499091572,-0.00110497,2.009814731,3.16354868,1.148539283
Kenya,KEN,2,-1.018766522,-1.496562727,-0.360579809,-0.138326056,-0.644401065
Kyrgyzstan,KGZ,2,0.412386244,0.019219119,1.707659806,2.67906113,0.973728549
Laos,LAO,2,-1.995360664,-2.975059609,-0.6609706,-0.140574435,-1.246055462
Latvia,LVA,2,0.167250391,-0.529909773,1.865750913,3.260984842,0.875916537
Lebanon,LBN,2,-0.358478291,-0.771439486,0.153729902,0.502964692,-0.071310111
Lesotho,LSO,2,-0.016405765,-0.287772472,0.470620202,0.921825249,0.172019362
Liberia,LBR,2,-1.655200745,-2.226954665,-0.824603675,-0.480440657,-1.207077659
Lithuania,LTU,2,0.116890733,-0.600670558,1.747856293,3.140166016,0.797279144
Luxembourg,LUX,2,0.048806187,-0.258061124,0.993325063,1.844368804,0.420114372
Macedonia,MKD,2,0.04795132,-0.22650475,0.843581074,1.552434201,0.36646087
Madagascar,MDG,2,-1.079817192,-1.583777669,-0.388576479,-0.151264613,-0.6876719
Malawi,MWI,2,-1.539639469,-2.323678573,-0.477026662,-0.089067496,-0.94873487
Malaysia,MYS,2,-2.009255058,-2.854437055,-0.817023391,-0.379727635,-1.34633965
Mali,MLI,2,-2.750327339,-3.905838086,-1.096081485,-0.440047624,-1.839774623
Mauritania,MRT,2,-2.583664191,-3.510231866,-1.215564268,-0.644158101,-1.838391716
Mauritius,MUS,2,-1.16887989,-1.665852151,-0.427413985,-0.227649944,-0.769276634
Mexico,MEX,2,-0.926349202,-1.365878941,-0.301509662,-0.05617757,-0.577636551
Moldova,MDA,2,-0.004944353,-0.431600868,1.011081702,1.985786066,0.381784294
Mongolia,MNG,2,0.557866433,-0.504460813,2.688462953,4.129648556,1.550328061
Morocco,MAR,2,-0.822192987,-1.355614637,-0.152799988,0.081489735,-0.430172486
Mozambique,MOZ,2,-1.715115966,-2.473088658,-0.634123491,-0.231450695,-1.119888929
Namibia,NAM,2,-1.477400342,-2.166911555,-0.538253028,-0.191063127,-0.949101474
Nepal,NPL,2,-1.429962468,-2.16043905,-0.43725897,-0.081107249,-0.873447134
Netherlands,NLD,2,0.033718733,-0.212447058,0.781835865,1.472157245,0.322556569
New Zealand,NZL,2,-0.065192137,-0.27429791,0.263414005,0.501603678,0.090595475
Nicaragua,NIC,2,-2.531662983,-3.88036829,-0.602939489,0.22247235,-1.458480606
Nigeria,NGA,2,-2.198128247,-2.955661001,-1.060987101,-0.618651634,-1.579313418
Norway,NOR,2,0.348169888,-0.272365064,1.848294409,2.94342441,1.004196837
Pakistan,PAK,2,-1.806275527,-2.73633675,-0.545127705,-0.089340342,-1.097152884
Panama,PAN,2,-1.850001358,-2.744375766,-0.728527005,-0.178581965,-1.232688946
