Entity,Code,Year,Share in news (Eisensee and Strömberg 2007) (%)
Africa,,2002,4
Asia,,2002,13
Cold wave,,2002,6
Drought,,2002,4
Earthquake,,2002,33
Epidemic,,2002,2
Europe,,2002,18
Fire,,2002,14
Flood,,2002,9
Food shortage,,2002,3
Landslide,,2002,7
Pacific,,2002,3
S. and C. America,,2002,18
Storm,,2002,14
Volcano,,2002,30
