Entity,Code,Year,Efficiency of lighting (OWID based on Fouquet & Pearson (2007)) (lumen-hours per kilowatt-hour)
United Kingdom,GBR,1700,27.92
United Kingdom,GBR,1750,28.6
United Kingdom,GBR,1800,38.9
United Kingdom,GBR,1850,161.8
United Kingdom,GBR,1900,470.64
United Kingdom,GBR,1950,11552.27
United Kingdom,GBR,2000,25000
