Entity,Code,Year,Decomposition of the gender wage gap (%)
Education,,1980,2.6
Experience,,1980,21.1
Industry,,1980,9.6
Occupation,,1980,10.7
Race,,1980,1.4
Region,,1980,0
Unexplained,,1980,48.5
Unionization,,1980,6.2
