Entity,Code,Year,Gold (New York Market Price) (Laurence & Williamson (2017)) (US$ per fine ounce)
World,OWID_WRL,1791,19.39
World,OWID_WRL,1792,19.39
World,OWID_WRL,1793,19.39
World,OWID_WRL,1794,19.39
World,OWID_WRL,1795,19.39
World,OWID_WRL,1796,19.39
World,OWID_WRL,1797,19.39
World,OWID_WRL,1798,19.39
World,OWID_WRL,1799,19.39
World,OWID_WRL,1800,19.39
World,OWID_WRL,1801,19.39
World,OWID_WRL,1802,19.39
World,OWID_WRL,1803,19.39
World,OWID_WRL,1804,19.39
World,OWID_WRL,1805,19.39
World,OWID_WRL,1806,19.39
World,OWID_WRL,1807,19.39
World,OWID_WRL,1808,19.39
World,OWID_WRL,1809,19.39
World,OWID_WRL,1810,19.39
World,OWID_WRL,1811,19.39
World,OWID_WRL,1812,19.39
World,OWID_WRL,1813,19.39
World,OWID_WRL,1814,20.1
World,OWID_WRL,1815,21.64
World,OWID_WRL,1816,20.95
World,OWID_WRL,1817,19.46
World,OWID_WRL,1818,19.39
World,OWID_WRL,1819,19.39
World,OWID_WRL,1820,19.39
World,OWID_WRL,1821,19.39
World,OWID_WRL,1822,19.39
World,OWID_WRL,1823,19.39
World,OWID_WRL,1824,19.39
World,OWID_WRL,1825,19.39
World,OWID_WRL,1826,19.39
World,OWID_WRL,1827,19.39
World,OWID_WRL,1828,19.39
World,OWID_WRL,1829,19.39
World,OWID_WRL,1830,19.39
World,OWID_WRL,1831,19.39
World,OWID_WRL,1832,19.39
World,OWID_WRL,1833,19.39
World,OWID_WRL,1834,19.94
World,OWID_WRL,1835,20.69
World,OWID_WRL,1836,20.69
World,OWID_WRL,1837,21.64
World,OWID_WRL,1838,20.86
World,OWID_WRL,1839,20.67
World,OWID_WRL,1840,20.67
World,OWID_WRL,1841,20.67
World,OWID_WRL,1842,20.67
World,OWID_WRL,1843,20.67
World,OWID_WRL,1844,20.67
World,OWID_WRL,1845,20.67
World,OWID_WRL,1846,20.67
World,OWID_WRL,1847,20.67
World,OWID_WRL,1848,20.67
World,OWID_WRL,1849,20.67
World,OWID_WRL,1850,20.67
World,OWID_WRL,1851,20.67
World,OWID_WRL,1852,20.67
World,OWID_WRL,1853,20.67
World,OWID_WRL,1854,20.67
World,OWID_WRL,1855,20.67
World,OWID_WRL,1856,20.67
World,OWID_WRL,1857,20.7
World,OWID_WRL,1858,20.67
World,OWID_WRL,1859,20.67
World,OWID_WRL,1860,20.67
World,OWID_WRL,1861,20.67
World,OWID_WRL,1862,23.42
World,OWID_WRL,1863,30.02
World,OWID_WRL,1864,42.03
World,OWID_WRL,1865,32.52
World,OWID_WRL,1866,29.13
World,OWID_WRL,1867,28.57
World,OWID_WRL,1868,28.88
World,OWID_WRL,1869,27.49
World,OWID_WRL,1870,23.75
World,OWID_WRL,1871,23.09
World,OWID_WRL,1872,23.24
World,OWID_WRL,1873,23.52
World,OWID_WRL,1874,22.99
World,OWID_WRL,1875,23.75
World,OWID_WRL,1876,23.05
World,OWID_WRL,1877,21.66
World,OWID_WRL,1878,20.84
World,OWID_WRL,1879,20.67
World,OWID_WRL,1880,20.67
World,OWID_WRL,1881,20.67
World,OWID_WRL,1882,20.67
World,OWID_WRL,1883,20.67
World,OWID_WRL,1884,20.67
World,OWID_WRL,1885,20.67
World,OWID_WRL,1886,20.67
World,OWID_WRL,1887,20.67
World,OWID_WRL,1888,20.67
World,OWID_WRL,1889,20.67
World,OWID_WRL,1890,20.67
World,OWID_WRL,1891,20.67
World,OWID_WRL,1892,20.67
World,OWID_WRL,1893,20.67
World,OWID_WRL,1894,20.67
World,OWID_WRL,1895,20.67
World,OWID_WRL,1896,20.67
World,OWID_WRL,1897,20.67
World,OWID_WRL,1898,20.67
World,OWID_WRL,1899,20.67
World,OWID_WRL,1900,20.67
World,OWID_WRL,1901,20.67
World,OWID_WRL,1902,20.67
World,OWID_WRL,1903,20.67
World,OWID_WRL,1904,20.67
World,OWID_WRL,1905,20.67
World,OWID_WRL,1906,20.67
World,OWID_WRL,1907,20.67
World,OWID_WRL,1908,20.67
World,OWID_WRL,1909,20.67
World,OWID_WRL,1910,20.67
World,OWID_WRL,1911,20.67
World,OWID_WRL,1912,20.67
World,OWID_WRL,1913,20.67
World,OWID_WRL,1914,20.67
World,OWID_WRL,1915,20.67
World,OWID_WRL,1916,20.67
World,OWID_WRL,1917,20.67
World,OWID_WRL,1918,20.67
World,OWID_WRL,1919,20.67
World,OWID_WRL,1920,20.67
World,OWID_WRL,1921,20.67
World,OWID_WRL,1922,20.67
World,OWID_WRL,1923,20.67
World,OWID_WRL,1924,20.67
World,OWID_WRL,1925,20.67
World,OWID_WRL,1926,20.67
World,OWID_WRL,1927,20.67
World,OWID_WRL,1928,20.67
World,OWID_WRL,1929,20.67
World,OWID_WRL,1930,20.67
World,OWID_WRL,1931,20.67
World,OWID_WRL,1932,20.67
World,OWID_WRL,1933,24.44
World,OWID_WRL,1934,34.94
World,OWID_WRL,1935,35
World,OWID_WRL,1936,35
World,OWID_WRL,1937,35
World,OWID_WRL,1938,35
World,OWID_WRL,1939,35
World,OWID_WRL,1940,35
World,OWID_WRL,1941,35
World,OWID_WRL,1942,35
World,OWID_WRL,1943,35
