Entity,Code,Year,Increase in mean male height (%) (%),Increase in mean female height (%) (%)
Costa Rica,CRI,1996,7.133529805,9.556757304
Cote d'Ivoire,CIV,1996,2.395401466,2.962633125
Croatia,HRV,1996,7.526335438,10.36115342
Cuba,CUB,1996,7.579500499,5.85350858
Cyprus,CYP,1996,7.533781631,6.705748769
Czech Republic,CZE,1996,7.204648743,10.27970806
Democratic Republic of Congo,COD,1996,3.064540393,2.813679818
Denmark,DNK,1996,6.718703731,6.423147134
Djibouti,DJI,1996,3.136774836,2.848396796
Dominica,DMA,1996,7.203924819,7.546373416
Dominican Republic,DOM,1996,7.789950061,6.783929852
East Asia and Pacific,,1996,4.831937849,5.27625957
Ecuador,ECU,1996,7.355929162,7.854587214
Egypt,EGY,1996,5.073493665,5.790470318
El Salvador,SLV,1996,7.128947513,9.446148295
Equatorial Guinea,GNQ,1996,3.232618325,3.090202908
Eritrea,ERI,1996,2.785247869,2.810937836
Estonia,EST,1996,6.272741395,7.796642889
Ethiopia,ETH,1996,3.071285626,2.325377479
Europe and Central Asia,,1996,6.935174475,7.125418276
Fiji,FJI,1996,3.143108634,5.355436213
Finland,FIN,1996,7.062209917,7.77573128
France,FRA,1996,8.007574189,6.141069222
French Polynesia,PYF,1996,4.336903424,5.257865026
Gabon,GAB,1996,3.228129559,3.867590099
Gambia,GMB,1996,2.917815794,3.47955329
Georgia,GEO,1996,6.041491174,6.10092809
Germany,DEU,1996,7.611707381,6.327401053
Ghana,GHA,1996,3.988373224,2.99962666
Greece,GRC,1996,9.106003699,9.500144076
Greenland,GRL,1996,9.658410591,9.86662544
Grenada,GRD,1996,7.564128585,6.96479726
Guatemala,GTM,1996,6.189952027,6.485579631
Guinea,GIN,1996,2.564398863,2.719799209
Guinea-Bissau,GNB,1996,3.101913492,3.608130786
Guyana,GUY,1996,6.442242883,6.230070523
Haiti,HTI,1996,6.768932019,5.999947342
Honduras,HND,1996,5.063973546,7.192958557
Hong Kong,HKG,1996,8.702671719,8.900552211
Hungary,HUN,1996,6.586304287,6.790334276
Iceland,ISL,1996,5.83546924,4.664203475
India,IND,1996,1.843145791,3.121907066
Indonesia,IDN,1996,5.75893575,5.594718084
Iran,IRN,1996,10.51389269,7.490621144
Iraq,IRQ,1996,7.015829297,6.0058401
Ireland,IRL,1996,7.550032089,7.249982315
Israel,ISR,1996,8.234727349,6.453312102
Italy,ITA,1996,7.927038915,7.23469171
Jamaica,JAM,1996,7.033841194,7.132832618
Japan,JPN,1996,9.381432197,11.25927705
Jordan,JOR,1996,7.642032402,5.740975208
Kazakhstan,KAZ,1996,6.147221469,5.587218177
Kenya,KEN,1996,2.365446599,1.450205027
Kiribati,KIR,1996,1.415526212,3.469402931
Kuwait,KWT,1996,7.203662849,6.102130557
Kyrgyzstan,KGZ,1996,6.857576162,6.10543801
Laos,LAO,1996,4.99354944,4.547696887
Latin America and Caribbean,,1996,6.823894306,7.162863523
Latvia,LVA,1996,7.109351282,9.186729939
Lebanon,LBN,1996,8.508812893,8.567020465
Lesotho,LSO,1996,2.646940354,1.727843264
Liberia,LBR,1996,3.144350288,2.666643713
Libya,LBY,1996,7.604828633,7.928004068
Lithuania,LTU,1996,5.978523493,8.129757224
Luxembourg,LUX,1996,6.294523321,6.201107595
Macedonia,MKD,1996,7.099502656,6.823780237
Madagascar,MDG,1996,1.805660011,1.004080692
Malawi,MWI,1996,1.897765474,1.977202136
Malaysia,MYS,1996,6.545428218,5.932981761
Maldives,MDV,1996,7.604368172,7.736292184
Mali,MLI,1996,3.653202308,2.818398673
Malta,MLT,1996,7.060985445,7.098698935
Marshall Islands,MHL,1996,0.317504743,1.743391788
Mauritania,MRT,1996,1.091714019,1.782453594
Mauritius,MUS,1996,6.14208931,6.158139209
Mexico,MEX,1996,7.823040258,9.319860719
Micronesia (country),FSM,1996,2.341145561,2.38798595
Middle East and North Africa,,1996,6.872719341,5.96983242
Moldova,MDA,1996,6.594648956,7.216929251
Mongolia,MNG,1996,6.26638035,6.980188776
Montenegro,MNE,1996,7.100693809,8.349372227
Morocco,MAR,1996,7.030127554,4.676029647
Mozambique,MOZ,1996,3.566792632,2.050092906
Myanmar,MMR,1996,4.67883691,6.025841867
Namibia,NAM,1996,1.685868072,1.262161439
Nauru,NRU,1996,1.835139581,1.445112012
Nepal,NPL,1996,3.025302493,4.66552299
Netherlands,NLD,1996,7.733760103,8.974147293
New Zealand,NZL,1996,6.121175886,5.759994705
Nicaragua,NIC,1996,6.057192231,5.66909107
Niger,NER,1996,2.306424015,1.265426018
Nigeria,NGA,1996,3.017823946,2.087358231
Niue,NIU,1996,4.29002336,8.373336828
North America,,1996,4.836980029,4.605160804
North Korea,PRK,1996,7.110137242,6.602189228
Norway,NOR,1996,4.96672341,3.983514672
Oman,OMN,1996,8.60527803,7.072372403
Pakistan,PAK,1996,0.76796152,2.156347742
Palau,PLW,1996,2.162248723,2.7785271
Palestine,PSE,1996,6.980821554,5.227980891
Panama,PAN,1996,7.330728255,7.601976208
Papua New Guinea,PNG,1996,2.686556549,3.305666301
Paraguay,PRY,1996,6.659870333,7.156774241
Peru,PER,1996,6.651447307,8.09343193
Philippines,PHL,1996,5.493983071,1.157663933
Poland,POL,1996,8.348108054,9.330691431
Portugal,PRT,1996,8.791023739,8.363939853
Puerto Rico,PRI,1996,7.220016581,8.080406754
Qatar,QAT,1996,7.069369586,5.952713039
Romania,ROU,1996,6.666792472,7.713835332
Russia,RUS,1996,5.684527431,7.607311863
Rwanda,RWA,1996,1.708918432,1.654493177
Saint Kitts and Nevis,KNA,1996,5.814966209,4.242566338
Saint Lucia,LCA,1996,6.134838345,5.632676228
Saint Vincent and the Grenadines,VCT,1996,6.805518958,6.731117254
Samoa,WSM,1996,3.096132147,3.026913744
Sao Tome and Principe,STP,1996,3.202107943,3.937632187
Saudi Arabia,SAU,1996,6.032375062,4.53534699
Senegal,SEN,1996,3.88126436,3.553273384
Serbia,SRB,1996,7.837834285,10.32602104
Seychelles,SYC,1996,5.281520834,4.261538864
Sierra Leone,SLE,1996,2.39656098,2.741308276
Singapore,SGP,1996,5.960740722,9.021127226
Slovakia,SVK,1996,6.630544183,7.639867087
Slovenia,SVN,1996,7.423090693,8.880318612
Solomon Islands,SLB,1996,2.048782662,4.022428667
Somalia,SOM,1996,3.192352354,2.828226568
South Africa,ZAF,1996,0.858002116,2.012144241
South Asia,,1996,3.36179606,4.863431675
South Korea,KOR,1996,9.494622809,14.1804132
Spain,ESP,1996,8.813595999,8.132455353
Sri Lanka,LKA,1996,5.58587997,6.403126256
Sub-Saharan Africa,,1996,3.004601531,2.794756862
Sudan,SDN,1996,3.174162424,2.817611896
Suriname,SUR,1996,6.805907613,6.759246483
