Entity,Code,Year,National Gov Revenues (% of GNP),Local Gov Revenues (% GNP),State Gov Revenues (% GNP)
United States,USA,1902,3,4,0.8
United States,USA,1913,2.4,4.2,0.9
United States,USA,1922,5.8,5.2,1.7
United States,USA,1927,4.7,6,2.1
United States,USA,1934,6,7.6,3.8
United States,USA,1940,7,5.8,5
United States,USA,1946,22.3,3.6,3.7
United States,USA,1952,20.4,4,4.1
United States,USA,1957,19.3,4.7,4.6
United States,USA,1962,18.5,5.5,5.2
United States,USA,1967,19.7,5.4,5.7
United States,USA,1972,18.4,6.2,6.9
United States,USA,1977,19.2,6,7.6
United States,USA,1982,21.6,6.2,8.2
United States,USA,1987,21,6.9,9.1
United States,USA,1992,20.8,7.3,9.3
