Entity,Code,Year,Female minus male life expectancy at birth (HMD (2018) and others) (years)
France,FRA,1836,1.549999237060547
France,FRA,1841,2.049999237060547
France,FRA,1846,1.229999542236328
France,FRA,1851,1.200000762939453
France,FRA,1856,2.189998626708984
France,FRA,1861,0.8799972534179688
France,FRA,1866,1.459999084472656
France,FRA,1872,2.19000244140625
France,FRA,1876,2.19000244140625
France,FRA,1881,2.279998779296875
France,FRA,1886,2.580001831054688
France,FRA,1891,2.810001373291016
France,FRA,1896,3.19000244140625
France,FRA,1901,3.630001068115234
France,FRA,1906,3.779998779296875
France,FRA,1911,3.810001373291016
France,FRA,1921,4.139999389648438
France,FRA,1926,4.409999847412109
France,FRA,1931,4.729999542236328
France,FRA,1936,5.869998931884766
France,FRA,1946,5.30999755859375
France,FRA,1962,6.910003662109375
France,FRA,1968,7.459999084472656
France,FRA,1975,7.850006103515625
France,FRA,1982,8.180000305175781
France,FRA,1990,8.25
France,FRA,1999,7.579994201660156
Sweden,SWE,1860,3.680000305175781
Sweden,SWE,1870,3.619998931884766
Sweden,SWE,1880,2.970001220703125
Sweden,SWE,1890,2.689998626708984
Sweden,SWE,1900,2.830001831054688
Sweden,SWE,1910,2.599998474121094
Sweden,SWE,1920,2.659999847412109
Sweden,SWE,1930,2.060001373291016
Sweden,SWE,1940,2.75
Sweden,SWE,1950,2.590003967285156
Sweden,SWE,1960,3.639999389648438
Sweden,SWE,1970,4.979995727539063
Sweden,SWE,1980,6.069999694824219
Sweden,SWE,1990,5.590003967285156
Sweden,SWE,2000,4.639999389648438
Sweden,SWE,2010,3.950004577636719
United Kingdom,GBR,1841,2.040000915527344
United Kingdom,GBR,1851,1.959999084472656
United Kingdom,GBR,1861,2.320003509521484
United Kingdom,GBR,1871,3.090000152587891
United Kingdom,GBR,1881,3.110000610351563
United Kingdom,GBR,1891,3.489997863769531
United Kingdom,GBR,1901,3.840000152587891
United Kingdom,GBR,1911,3.919998168945313
United Kingdom,GBR,1921,3.950000762939453
United Kingdom,GBR,1931,4.159999847412109
United Kingdom,GBR,1941,6.149997711181641
United Kingdom,GBR,1951,5.1199951171875
United Kingdom,GBR,1961,5.860000610351563
United Kingdom,GBR,1971,6.279998779296875
United Kingdom,GBR,1981,5.989997863769531
United Kingdom,GBR,1991,5.5
United Kingdom,GBR,2001,4.650001525878906
United Kingdom,GBR,2011,3.889999389648438
United States,USA,1790,0.1000022888183594
United States,USA,1800,0.2999992370605469
United States,USA,1810,0.4000015258789063
United States,USA,1820,0.4000015258789063
United States,USA,1830,0.2999992370605469
United States,USA,1840,0.5
