Entity,Code,Year,"Male suicide rate (age-adjusted male suicides per 100,000)","Female suicide rate (age-adjusted female suicides per 100,000)"
Afghanistan,AFG,2004,4.884803772,8.630155563
Albania,ALB,2004,9.330574036,6.060874939
Algeria,DZA,2004,5.145025253,4.600764751
Andorra,AND,2004,8.048293114,2.902797222
Angola,AGO,2004,21.47297668,8.143819809
Antigua and Barbuda,ATG,2004,4.430495262,
Argentina,ARG,1966,12.20396,3.773803
Argentina,ARG,1967,15.55211,4.522207
Argentina,ARG,1968,16.78204,4.950262
Argentina,ARG,1969,16.7764,4.47279
Argentina,ARG,1970,16.04499,5.086274
Argentina,ARG,1977,11.71793,4.095239
Argentina,ARG,1978,11.94934,4.20104
Argentina,ARG,1979,10.19954,3.768375
Argentina,ARG,1980,11.59206,3.895963
Argentina,ARG,1981,12.98644,3.973988
Argentina,ARG,1982,11.06296,3.379611
Argentina,ARG,1983,9.592617,3.553246
Argentina,ARG,1984,10.37836,3.264729
Argentina,ARG,1985,10.73983,3.57422
Argentina,ARG,1986,12.03627,4.305565
Argentina,ARG,1987,11.58906,4.496664
Argentina,ARG,1988,11.82209,4.194231
Argentina,ARG,1989,11.35565,3.802261
Argentina,ARG,1990,10.51878,3.655709
Argentina,ARG,1991,9.852893,2.975335
Argentina,ARG,1992,11.32803,2.9983
Argentina,ARG,1993,11.57395,2.870972
Argentina,ARG,1994,11.19603,2.945701
Argentina,ARG,1995,10.77449,2.831591
Argentina,ARG,1996,10.63765,2.955786
Argentina,ARG,1997,10.30783,3.053083
Argentina,ARG,1998,10.91713,2.805949
Argentina,ARG,1999,11.39431,2.604184
Argentina,ARG,2000,12.92308,2.917899
Argentina,ARG,2001,14.0125,3.537312
Argentina,ARG,2002,13.75238,3.624188
Argentina,ARG,2003,14.32759,3.470717
Argentina,ARG,2004,13.3532,3.28949
Armenia,ARM,2004,6.392276287,1.542518139
Australia,AUS,1950,13.89218,4.559263
Australia,AUS,1951,14.318,4.573612
Australia,AUS,1952,15.99589,5.168044
Australia,AUS,1953,15.86971,5.885497
Australia,AUS,1954,16.23365,5.378865
Australia,AUS,1955,15.49302,5.318667
Australia,AUS,1956,16.03185,5.7286
Australia,AUS,1957,17.84965,6.757056
Australia,AUS,1958,19.05134,6.139689
Australia,AUS,1959,16.91927,5.798526
Australia,AUS,1960,15.61751,6.195316
Australia,AUS,1961,17.6378,6.841145
Australia,AUS,1962,19.69866,8.803148
Australia,AUS,1963,22.00281,10.87834
Australia,AUS,1964,20.24845,10.17107
Australia,AUS,1965,19.79254,11.19239
Australia,AUS,1966,18.46308,10.9659
Australia,AUS,1967,20.10027,11.42143
Australia,AUS,1968,17.81481,8.789992
Australia,AUS,1969,17.69678,8.080665
Australia,AUS,1970,18.06028,7.769779
Australia,AUS,1971,18.94889,9.616284
Australia,AUS,1972,17.58323,8.662896
Australia,AUS,1973,16.49461,7.727494
Australia,AUS,1974,16.73973,7.592533
Australia,AUS,1975,15.81281,7.196371
Australia,AUS,1976,16.26861,5.920273
Australia,AUS,1977,16.4062,6.31923
Australia,AUS,1978,16.04263,6.624237
Australia,AUS,1979,16.75487,6.605552
Australia,AUS,1980,16.48452,5.547964
Australia,AUS,1981,16.8945,5.491399
Australia,AUS,1982,17.21728,5.708966
Australia,AUS,1983,16.63548,5.029721
Australia,AUS,1984,16.99337,5.075873
Australia,AUS,1985,17.79891,5.098112
Australia,AUS,1986,19.13559,5.602667
Australia,AUS,1987,20.54657,5.035711
Australia,AUS,1988,19.85528,5.167239
Australia,AUS,1989,18.75663,4.624014
Australia,AUS,1990,19.78778,4.798937
Australia,AUS,1991,19.98861,5.228232
Australia,AUS,1992,19.48194,4.89091
Australia,AUS,1993,17.68173,4.123482
Australia,AUS,1994,19.90309,4.31111
Australia,AUS,1995,18.06133,4.759037
Australia,AUS,1996,20.42005,4.651205
Australia,AUS,1997,21.60116,5.565905
Australia,AUS,1998,21.56089,5.183353
Australia,AUS,1999,20.07539,4.872392
Australia,AUS,2000,18.68202,4.892426
Australia,AUS,2001,18.95002,4.904302
Australia,AUS,2002,17.50702,4.672353
Australia,AUS,2003,15.9637,4.357681
Australia,AUS,2004,15.45678,4.001978
Austria,AUT,1955,29.9986,13.03628
Austria,AUT,1956,29.41163,12.27382
Austria,AUT,1957,31.28951,12.48098
Austria,AUT,1958,30.85925,12.57883
Austria,AUT,1959,32.8964,12.87934
Austria,AUT,1960,30.00605,12.32755
Austria,AUT,1961,29.02644,11.31911
Austria,AUT,1962,30.66251,10.88243
Austria,AUT,1963,28.86131,11.50477
Austria,AUT,1964,31.15179,10.76881
Austria,AUT,1965,30.12741,11.91786
Austria,AUT,1966,31.14718,11.47748
Austria,AUT,1967,30.58935,10.59512
Austria,AUT,1968,30.88516,10.37276
Austria,AUT,1969,29.9316,11.80839
Austria,AUT,1970,34.50694,11.48161
Austria,AUT,1971,30.41938,11.95893
Austria,AUT,1972,32.07743,11.69622
Austria,AUT,1973,30.33344,10.86969
Austria,AUT,1974,32.44387,11.7306
Austria,AUT,1975,33.85298,11.20179
Austria,AUT,1976,31.4998,10.42361
Austria,AUT,1977,32.55373,12.14137
Austria,AUT,1978,34.55973,11.56861
Austria,AUT,1979,34.22878,11.96192
Austria,AUT,1980,35.08724,11.6723
Austria,AUT,1981,36.64823,12.16062
Austria,AUT,1982,38.58706,11.47526
Austria,AUT,1983,36.33307,12.00734
Austria,AUT,1984,36.24397,11.55282
Austria,AUT,1985,36.632,12.29975
Austria,AUT,1986,37.60686,12.68535
Austria,AUT,1987,35.30519,11.83288
Austria,AUT,1988,32.06349,10.14236
Austria,AUT,1989,31.599,11.04587
Austria,AUT,1990,30.09333,10.01155
Austria,AUT,1991,29.86096,8.896665
Austria,AUT,1992,29.15996,9.188734
Austria,AUT,1993,27.89434,8.58971
Austria,AUT,1994,28.66391,9.264556
Austria,AUT,1995,29.59781,8.037958
Austria,AUT,1996,29.11086,7.675908
Austria,AUT,1997,25.71262,7.532901
Austria,AUT,1998,25.55881,6.980475
Austria,AUT,1999,24.21744,7.582592
Austria,AUT,2000,25.11893,7.811996
Austria,AUT,2001,23.35394,7.079841
Austria,AUT,2002,25.14929,6.394913
Austria,AUT,2003,22.30559,6.941166
Austria,AUT,2004,22.4088,5.982184
Azerbaijan,AZE,1981,7.927753,3.826715
Azerbaijan,AZE,1982,7.157553,2.853445
Azerbaijan,AZE,1985,6.943275,2.51677
Azerbaijan,AZE,1986,6.119931,2.680833
Azerbaijan,AZE,1987,6.665195,2.909419
Azerbaijan,AZE,1988,5.681418,2.534463
Azerbaijan,AZE,1989,5.886524,2.491978
Azerbaijan,AZE,1990,3.321677,0.832518
Azerbaijan,AZE,1991,3.370187,1.008676
Azerbaijan,AZE,1992,3.772966,1.089356
Azerbaijan,AZE,1993,2.789392,1.028466
Azerbaijan,AZE,1994,1.096277,0.5496479
Azerbaijan,AZE,1995,1.481606,0.1800632
Azerbaijan,AZE,1996,1.912715,0.3849193
Azerbaijan,AZE,1997,2.83542,0.6182882
Azerbaijan,AZE,1998,1.279725,0.4200949
Azerbaijan,AZE,1999,1.271021,0.3348784
Azerbaijan,AZE,2000,1.318945,0.3883553
Azerbaijan,AZE,2004,2.332625866,0.545843542
Bahamas,BHS,2004,5.236285686,1.609110832
Bahrain,BHR,1985,3.004878,0.9027397
Bahrain,BHR,1987,3.165804,1.102464
Bahrain,BHR,1988,3.908124,0.6495454
Bahrain,BHR,1999,2.682337,0.9799417
Bahrain,BHR,2000,5.668147,0.3023646
Bahrain,BHR,2001,4.347687,0.9313131
Bahrain,BHR,2004,6.751053333,0.739074409
Bangladesh,BGD,2004,14.80530262,14.39273071
Barbados,BRB,2004,5.563058376,0.706947982
Belarus,BLR,1981,43.05365,7.598261
Belarus,BLR,1982,46.55949,7.861515
Belarus,BLR,1985,39.40578,7.038442
Belarus,BLR,1986,29.19821,6.212348
Belarus,BLR,1987,30.94182,7.177848
Belarus,BLR,1988,29.90354,6.634208
Belarus,BLR,1989,36.13258,7.002693
Belarus,BLR,1990,33.62659,6.732969
Belarus,BLR,1991,34.95369,6.723573
Belarus,BLR,1992,39.10175,7.351676
Belarus,BLR,1993,46.87016,8.073069
Belarus,BLR,1994,51.30384,8.660213
Belarus,BLR,1995,53.61209,7.978991
Belarus,BLR,1997,58.47642,8.894451
Belarus,BLR,1998,59.41307,8.242284
Belarus,BLR,1999,56.92015,8.470365
Belarus,BLR,2000,58.47842,7.625254
Belarus,BLR,2001,55.03092,7.420166
Belarus,BLR,2002,54.27013,7.895929
Belarus,BLR,2003,56.4411,8.071535
Belarus,BLR,2004,57.22063446,8.473065376
Belgium,BEL,1954,17.54742,5.845822
Belgium,BEL,1955,16.99986,5.675556
Belgium,BEL,1956,17.72301,6.93027
Belgium,BEL,1957,17.9598,6.829298
Belgium,BEL,1958,18.53559,6.465755
Belgium,BEL,1959,16.2762,5.952488
Belgium,BEL,1960,18.6682,6.432151
Belgium,BEL,1961,18.87755,6.508991
Belgium,BEL,1962,17.22317,6.070828
Belgium,BEL,1963,17.01497,7.051043
Belgium,BEL,1964,17.72499,6.545495
Belgium,BEL,1965,18.43109,7.809211
Belgium,BEL,1966,17.82164,7.103776
Belgium,BEL,1967,18.60177,7.427735
Belgium,BEL,1968,18.88451,8.124631
Belgium,BEL,1969,18.76591,7.336564
Belgium,BEL,1970,19.36163,9.104628
Belgium,BEL,1971,19.15955,7.747962
Belgium,BEL,1972,18.9058,8.350213
Belgium,BEL,1973,18.43134,7.426606
Belgium,BEL,1974,19.23102,8.438783
Belgium,BEL,1975,18.66548,9.46524
Belgium,BEL,1976,19.73664,9.491047
Belgium,BEL,1977,22.41677,11.14024
Belgium,BEL,1978,24.58786,11.76284
Belgium,BEL,1979,25.14716,12.22354
Belgium,BEL,1980,25.43906,13.27547
Belgium,BEL,1981,26.31382,12.13564
Belgium,BEL,1982,26.74868,11.46261
Belgium,BEL,1983,26.91315,13.17877
Belgium,BEL,1984,28.83404,12.49918
Belgium,BEL,1985,27.58702,12.08548
Belgium,BEL,1986,26.65812,11.64273
Belgium,BEL,1987,27.84456,11.00628
Belgium,BEL,1988,24.33073,10.16998
Belgium,BEL,1989,23.77078,9.148507
Belgium,BEL,1990,22.98705,9.330912
Belgium,BEL,1991,22.46683,8.275788
Belgium,BEL,1992,23.03405,8.604388
Belgium,BEL,1993,27.39968,9.10681
Belgium,BEL,1994,27.13221,9.127212
Belgium,BEL,1995,27.09059,9.434156
Belgium,BEL,1998,25.35307,8.5783
Belgium,BEL,1999,23.3854,7.752482
Belgium,BEL,2004,24.10343,8.197042
Belize,BLZ,2004,16.92072868,1.82664001
Benin,BEN,2004,7.956352234,4.418571949
Bhutan,BTN,2004,18.21920967,12.63560295
Bolivia,BOL,2004,2.969733477,1.176829338
Bosnia and Herzegovina,BIH,1985,16.3323,4.601067
Bosnia and Herzegovina,BIH,1986,18.28368,5.578468
Bosnia and Herzegovina,BIH,1987,17.01955,5.648069
Bosnia and Herzegovina,BIH,1988,15.55702,4.264499
Bosnia and Herzegovina,BIH,1989,16.46358,3.86869
Bosnia and Herzegovina,BIH,1990,17.07744,3.785358
Bosnia and Herzegovina,BIH,1991,19.39172,3.27064
Bosnia and Herzegovina,BIH,2004,18.32401085,6.068046093
Botswana,BWA,2004,13.51235485,9.206121445
Brazil,BRA,1982,5.755142,1.947609
Brazil,BRA,1983,6.410013,2.26725
Brazil,BRA,1984,6.256275,2.021245
Brazil,BRA,1985,5.968798,1.853886
Brazil,BRA,1986,5.911354,1.943074
Brazil,BRA,1987,6.251299,1.93474
Brazil,BRA,1988,5.751139,1.841214
Brazil,BRA,1989,5.703507,1.668564
Brazil,BRA,1990,5.882924,1.874173
Brazil,BRA,1991,6.350536,1.790918
Brazil,BRA,1992,6.344799,1.68751
Brazil,BRA,1993,6.478353,1.6468
Brazil,BRA,1994,6.76115,1.734251
Brazil,BRA,1995,7.532055,1.895723
Brazil,BRA,1996,7.540172,1.842513
Brazil,BRA,1997,7.696878,1.82712
Brazil,BRA,1998,7.559261,1.810481
Brazil,BRA,1999,7.024154,1.499834
Brazil,BRA,2000,7.046959,1.642224
Brazil,BRA,2001,7.816219,1.801882
Brazil,BRA,2002,7.419659,1.923308
Brazil,BRA,2003,7.534978,1.771712
Brazil,BRA,2004,7.456256,1.858153
Brunei,BRN,2004,2.314272642,0.375145286
Bulgaria,BGR,1964,12.42583,4.988511
Bulgaria,BGR,1965,11.98519,5.975726
Bulgaria,BGR,1966,13.80761,5.58489
Bulgaria,BGR,1967,14.45061,5.478089
Bulgaria,BGR,1968,12.91787,6.077128
Bulgaria,BGR,1969,14.96132,6.873514
Bulgaria,BGR,1970,15.68739,6.879066
Bulgaria,BGR,1971,16.56146,6.43973
Bulgaria,BGR,1972,15.01032,6.071483
Bulgaria,BGR,1973,15.31942,6.03754
Bulgaria,BGR,1974,16.5959,6.5073
Bulgaria,BGR,1975,16.90427,6.496712
Bulgaria,BGR,1976,18.26727,7.020559
Bulgaria,BGR,1977,18.83344,6.84496
Bulgaria,BGR,1978,17.51578,6.798341
Bulgaria,BGR,1979,17.9175,7.439748
Bulgaria,BGR,1980,17.07483,7.046616
Bulgaria,BGR,1981,17.22673,6.696206
Bulgaria,BGR,1982,19.59806,7.364737
Bulgaria,BGR,1983,17.09483,5.688814
Bulgaria,BGR,1984,21.47015,7.712174
Bulgaria,BGR,1985,20.39728,7.307676
Bulgaria,BGR,1986,19.65689,7.483826
Bulgaria,BGR,1987,21.20062,7.293007
Bulgaria,BGR,1988,20.13602,7.417935
Bulgaria,BGR,1989,20.532,7.1627
Bulgaria,BGR,1990,18.2777,6.729357
Bulgaria,BGR,1991,19.76532,6.157265
Bulgaria,BGR,1992,22.5407,7.011856
Bulgaria,BGR,1993,21.06948,7.656058
Bulgaria,BGR,1994,21.0789,7.263122
Bulgaria,BGR,1995,20.62824,7.016848
Bulgaria,BGR,1996,22.6841,7.075727
Bulgaria,BGR,1997,20.29183,7.83246
Bulgaria,BGR,1998,21.72878,7.508582
Bulgaria,BGR,1999,19.59204,5.760809
Bulgaria,BGR,2000,20.47067,6.385141
Bulgaria,BGR,2001,19.37578,6.135974
Bulgaria,BGR,2002,19.95738,5.639285
Bulgaria,BGR,2003,16.42971,5.019393
Bulgaria,BGR,2004,15.23398,4.429179
Burkina Faso,BFA,2004,11.11455154,5.665971756
Burundi,BDI,2004,23.38735199,7.297821045
Cambodia,KHM,2004,6.975902557,3.420325994
Cameroon,CMR,2004,9.264327049,5.32839632
Canada,CAN,1950,12.51228,3.701859
Canada,CAN,1951,11.79205,3.834756
Canada,CAN,1952,11.81356,3.627389
Canada,CAN,1953,11.74572,3.410489
Canada,CAN,1954,11.7628,3.741708
Canada,CAN,1955,11.60801,3.635554
Canada,CAN,1956,12.81928,3.781025
Canada,CAN,1957,12.84387,3.565373
Canada,CAN,1958,13.10699,3.267719
Canada,CAN,1959,12.77226,3.432731
Canada,CAN,1960,13.38076,3.347038
Canada,CAN,1961,13.31418,3.285075
Canada,CAN,1962,12.55741,3.417043
Canada,CAN,1963,12.78528,4.184049
Canada,CAN,1964,13.86395,4.573519
Canada,CAN,1965,14.53212,5.013979
Canada,CAN,1966,14.28775,4.816313
Canada,CAN,1967,14.71367,5.281665
Canada,CAN,1968,15.73342,5.707197
Canada,CAN,1969,16.94827,6.693918
Canada,CAN,1970,17.57492,6.85581
Canada,CAN,1971,18.49803,6.870836
Canada,CAN,1972,18.37494,7.348289
Canada,CAN,1973,18.82068,7.401609
Canada,CAN,1974,19.31564,7.404959
Canada,CAN,1975,18.13231,7.020964
Canada,CAN,1976,18.59252,7.364343
Canada,CAN,1977,21.10947,7.323486
Canada,CAN,1978,22.04765,7.249467
Canada,CAN,1979,20.92013,6.893365
Canada,CAN,1980,20.71511,6.64391
Canada,CAN,1981,20.54513,6.568106
Canada,CAN,1982,21.6451,6.296635
Canada,CAN,1983,22.32728,6.628303
Canada,CAN,1984,20.37497,5.813638
Canada,CAN,1985,19.35044,5.098656
Canada,CAN,1986,21.53621,5.993124
Canada,CAN,1987,20.88439,5.735684
Canada,CAN,1988,20.1366,5.511722
Canada,CAN,1989,19.67531,5.555664
Canada,CAN,1990,19.16189,4.865834
Canada,CAN,1991,20.17595,4.760344
Canada,CAN,1992,19.44672,5.139292
Canada,CAN,1993,19.56115,4.978075
Canada,CAN,1994,19.14119,4.922986
Canada,CAN,1995,20.02859,5.047436
Canada,CAN,1996,19.53172,5.167635
Canada,CAN,1997,18.1415,4.624682
Canada,CAN,1998,18.03863,4.641982
Canada,CAN,1999,19.48591,4.892793
Canada,CAN,2000,16.7276,4.77592
Canada,CAN,2001,16.87974,4.744035
Canada,CAN,2002,16.43473,4.632044
Canada,CAN,2003,16.5229,4.803301
Canada,CAN,2004,15.45435,4.828558
Cape Verde,CPV,2004,6.932240009,4.764701843
Central African Republic,CAF,2004,19.05239296,8.773792267
Chad,TCD,2004,11.47701836,5.371674538
Chile,CHL,1955,10.14658,1.705518
Chile,CHL,1956,15.55472,3.286162
Chile,CHL,1957,16.05564,2.787757
Chile,CHL,1958,13.85695,2.964926
Chile,CHL,1959,11.89201,2.39578
Chile,CHL,1960,15.52745,3.64664
Chile,CHL,1961,14.98439,4.176262
Chile,CHL,1962,13.58447,2.89764
Chile,CHL,1963,8.365624,0.8644308
Chile,CHL,1964,5.9983,1.288428
Chile,CHL,1965,3.899587,1.139999
Chile,CHL,1966,13.75362,3.682542
Chile,CHL,1967,4.736737,0.7630991
Chile,CHL,1968,17.60976,3.92298
Chile,CHL,1969,14.13075,3.416939
Chile,CHL,1970,12.57828,2.793142
Chile,CHL,1971,12.44193,2.091359
Chile,CHL,1972,11.66373,2.313092
Chile,CHL,1973,10.65717,2.220561
Chile,CHL,1974,11.86406,1.960531
Chile,CHL,1975,14.49703,2.509824
Chile,CHL,1976,11.0874,2.519268
Chile,CHL,1977,12.69665,1.640443
Chile,CHL,1978,10.73624,1.852657
