Entity,Code,Year,Indicator:Attribution of road traffic deaths to alcohol (%) (%)
Albania,ALB,2013,6.1
Andorra,AND,2013,0
Argentina,ARG,2013,27
Armenia,ARM,2013,1.9
Australia,AUS,2013,30
Austria,AUT,2013,6.8
Azerbaijan,AZE,2013,31
Bahrain,BHR,2013,2.9
Belarus,BLR,2013,13.9
Belgium,BEL,2013,25
Botswana,BWA,2013,10
Bulgaria,BGR,2013,2.5
Cambodia,KHM,2013,15
Canada,CAN,2013,33.6
Chile,CHL,2013,14.2
China,CHN,2013,3.8
Colombia,COL,2013,8
Cook Islands,COK,2013,25
Costa Rica,CRI,2013,0.9
Croatia,HRV,2013,19.3
Cuba,CUB,2013,3.9
Cyprus,CYP,2013,14
Czech Republic,CZE,2013,9
El Salvador,SLV,2013,2.6
Estonia,EST,2013,25
Ethiopia,ETH,2013,4.3
Fiji,FJI,2013,14.6
Finland,FIN,2013,22
France,FRA,2013,29
Gambia,GMB,2013,2.1
Georgia,GEO,2013,5.3
Germany,DEU,2013,9.4
Guatemala,GTM,2013,15
Guinea-Bissau,GNB,2013,5
Guyana,GUY,2013,16.1
Honduras,HND,2013,4
Hungary,HUN,2013,8
Iceland,ISL,2013,20
India,IND,2013,4.7
Ireland,IRL,2013,15.6
Israel,ISR,2013,3.2
Italy,ITA,2013,25
Japan,JPN,2013,6.2
Kazakhstan,KAZ,2013,0.5
Kyrgyzstan,KGZ,2013,5.3
Latvia,LVA,2013,5.6
Libya,LBY,2013,1.6
Lithuania,LTU,2013,15.6
Luxembourg,LUX,2013,22.2
Macedonia,MKD,2013,1
Malaysia,MYS,2013,23.3
Marshall Islands,MHL,2013,100
Mauritius,MUS,2013,24.3
Mexico,MEX,2013,5.1
Moldova,MDA,2013,11.6
Mongolia,MNG,2013,20.2
Morocco,MAR,2013,3
Netherlands,NLD,2013,18.9
New Zealand,NZL,2013,31
Nicaragua,NIC,2013,8
Nigeria,NGA,2013,1.3
Norway,NOR,2013,17
Oman,OMN,2013,0.4
Palau,PLW,2013,100
Papua New Guinea,PNG,2013,56
Peru,PER,2013,10
Philippines,PHL,2013,1.4
Poland,POL,2013,16
Portugal,PRT,2013,30.5
Romania,ROU,2013,5.1
Russia,RUS,2013,8.6
San Marino,SMR,2013,0
Serbia,SRB,2013,7.1
Seychelles,SYC,2013,60
Sierra Leone,SLE,2013,40
Singapore,SGP,2013,10.6
Slovakia,SVK,2013,23
Slovenia,SVN,2013,30
Solomon Islands,SLB,2013,16.4
South Africa,ZAF,2013,57.5
South Korea,KOR,2013,14.3
Sweden,SWE,2013,19
Switzerland,CHE,2013,16.4
Tajikistan,TJK,2013,3.2
Thailand,THA,2013,25.8
Tonga,TON,2013,25
Tunisia,TUN,2013,1
Turkey,TUR,2013,3.3
Turkmenistan,TKM,2013,2.2
United States,USA,2013,30.8
Uruguay,URY,2013,38
Vanuatu,VUT,2013,22
Vietnam,VNM,2013,34
