Entity,Code,Year,"Health expenditure, public (% of total health expenditure) (% of total health expenditure)"
Afghanistan,AFG,2002,7.09414092
Afghanistan,AFG,2003,6.8953803
Afghanistan,AFG,2004,11.03324341
Afghanistan,AFG,2005,9.93937535
Afghanistan,AFG,2006,14.29141914
Afghanistan,AFG,2007,7.76027831
Afghanistan,AFG,2008,16.63747023
Afghanistan,AFG,2009,27.45657541
Afghanistan,AFG,2010,31.04438552
Afghanistan,AFG,2011,26.42396854
Afghanistan,AFG,2012,34.28331897
Afghanistan,AFG,2013,32.58067229
Afghanistan,AFG,2014,35.84374939
Albania,ALB,1995,25.96610481
Albania,ALB,1996,23.49574237
Albania,ALB,1997,26.75056386
Albania,ALB,1998,30.17481594
Albania,ALB,1999,36.54778707
Albania,ALB,2000,36.10012132
Albania,ALB,2001,38.20281748
Albania,ALB,2002,35.81405161
Albania,ALB,2003,35.93587926
Albania,ALB,2004,42.00000471
Albania,ALB,2005,44.24980269
Albania,ALB,2006,43.93458345
Albania,ALB,2007,43.07337795
Albania,ALB,2008,45.89721323
Albania,ALB,2009,48.92781303
Albania,ALB,2010,46.42083932
Albania,ALB,2011,49.85717851
Albania,ALB,2012,48.94649304
Albania,ALB,2013,50.14879378
Albania,ALB,2014,49.91196079
Algeria,DZA,1995,72.22954581
Algeria,DZA,1996,74.7127638
Algeria,DZA,1997,71.03223527
Algeria,DZA,1998,70.33730835
Algeria,DZA,1999,69.40565876
Algeria,DZA,2000,73.33178231
Algeria,DZA,2001,77.43152342
Algeria,DZA,2002,76.46715449
Algeria,DZA,2003,77.81772326
Algeria,DZA,2004,72.40977048
Algeria,DZA,2005,70.48267871
Algeria,DZA,2006,69.59070803
Algeria,DZA,2007,70.80029201
Algeria,DZA,2008,72.89072982
Algeria,DZA,2009,71.61152498
Algeria,DZA,2010,70.21887652
Algeria,DZA,2011,71.33535663
Algeria,DZA,2012,73.58241816
Algeria,DZA,2013,72.82538406
Algeria,DZA,2014,72.76281369
Andorra,AND,1995,68.57237268
Andorra,AND,1996,69.50140527
Andorra,AND,1997,69.92880432
Andorra,AND,1998,73.97672962
Andorra,AND,1999,68.6671435
Andorra,AND,2000,68.78294511
Andorra,AND,2001,68.75
Andorra,AND,2002,68.80733945
Andorra,AND,2003,68.68855021
Andorra,AND,2004,68.65955253
Andorra,AND,2005,66.23540006
Andorra,AND,2006,67.10940946
Andorra,AND,2007,72.3913649
Andorra,AND,2008,73.46993484
Andorra,AND,2009,74.5232018
Andorra,AND,2010,78.03248812
Andorra,AND,2011,73.48512127
Andorra,AND,2012,76.1465874
Andorra,AND,2013,84.44256502
Andorra,AND,2014,78.02805697
Angola,AGO,1995,72.13510223
Angola,AGO,1996,61.80985347
Angola,AGO,1997,57.98090619
Angola,AGO,1998,42.41229447
Angola,AGO,1999,63.1111938
Angola,AGO,2000,60.17387064
Angola,AGO,2001,52.2309081
Angola,AGO,2002,46.37463659
Angola,AGO,2003,46.40720468
Angola,AGO,2004,51.15098356
Angola,AGO,2005,49.33396938
Angola,AGO,2006,66.53774217
Angola,AGO,2007,65.43573672
Angola,AGO,2008,70.64710311
Angola,AGO,2009,60.93447057
Angola,AGO,2010,60.78342274
Angola,AGO,2011,63.76805852
Angola,AGO,2012,64.67320992
Angola,AGO,2013,72.25863227
Angola,AGO,2014,64.25531186
Antigua and Barbuda,ATG,1995,66.27898478
Antigua and Barbuda,ATG,1996,63.90766978
Antigua and Barbuda,ATG,1997,65.9355186
Antigua and Barbuda,ATG,1998,68.16131289
Antigua and Barbuda,ATG,1999,69.27966504
Antigua and Barbuda,ATG,2000,67.58236805
Antigua and Barbuda,ATG,2001,65.77839194
Antigua and Barbuda,ATG,2002,66.84127283
Antigua and Barbuda,ATG,2003,65.05935508
Antigua and Barbuda,ATG,2004,63.69866454
Antigua and Barbuda,ATG,2005,66.89413757
Antigua and Barbuda,ATG,2006,67.97445125
Antigua and Barbuda,ATG,2007,69.09112911
Antigua and Barbuda,ATG,2008,71.24938567
Antigua and Barbuda,ATG,2009,68.77533816
Antigua and Barbuda,ATG,2010,69.1753963
Antigua and Barbuda,ATG,2011,68.88588931
Antigua and Barbuda,ATG,2012,67.81237483
Antigua and Barbuda,ATG,2013,67.37516677
Antigua and Barbuda,ATG,2014,68.29352384
Arab World,,1995,53.7390767774967
Arab World,,1996,54.4173288395244
Arab World,,1997,53.6034728002792
Arab World,,1998,52.113068460234
Arab World,,1999,54.5147640471779
Arab World,,2000,56.8153089947812
Arab World,,2001,59.2274168342848
Arab World,,2002,57.6248473098278
Arab World,,2003,58.4447527986353
Arab World,,2004,58.512799376026
Arab World,,2005,59.344842334549
Arab World,,2006,60.2441905878553
Arab World,,2007,59.4783663813605
Arab World,,2008,59.2200899623842
Arab World,,2009,61.6233973780618
Arab World,,2010,59.7584783288498
Arab World,,2011,62.0183500246755
Arab World,,2012,62.1881524225897
Arab World,,2013,62.821435875462
Arab World,,2014,63.1670055671609
Argentina,ARG,1995,59.75751924
Argentina,ARG,1996,57.71520147
Argentina,ARG,1997,54.45338343
Argentina,ARG,1998,54.17352457
Argentina,ARG,1999,55.07464937
Argentina,ARG,2000,53.9013864
Argentina,ARG,2001,54.03149917
Argentina,ARG,2002,53.55999173
Argentina,ARG,2003,51.74039339
Argentina,ARG,2004,51.49280584
Argentina,ARG,2005,53.52669561
Argentina,ARG,2006,54.69829016
Argentina,ARG,2007,58.24968638
Argentina,ARG,2008,61.84381018
Argentina,ARG,2009,66.02416905
Argentina,ARG,2010,63.56310053
Argentina,ARG,2011,63.55941071
Argentina,ARG,2012,58.9544227
Argentina,ARG,2013,54.84443335
Argentina,ARG,2014,55.42666668
Armenia,ARM,1995,31.10071116
Armenia,ARM,1996,27.99544199
Armenia,ARM,1997,24.40354458
Armenia,ARM,1998,28.57651116
Armenia,ARM,1999,28.37863989
Armenia,ARM,2000,18.19037346
Armenia,ARM,2001,26.79062365
Armenia,ARM,2002,25.2079035
Armenia,ARM,2003,27.25741899
Armenia,ARM,2004,25.52998216
Armenia,ARM,2005,36.27210902
Armenia,ARM,2006,44.84477594
Armenia,ARM,2007,48.72052502
Armenia,ARM,2008,46.44959963
Armenia,ARM,2009,44.22139406
Armenia,ARM,2010,42.14386708
Armenia,ARM,2011,52.21171792
Armenia,ARM,2012,41.84773131
Armenia,ARM,2013,42.78228507
Armenia,ARM,2014,42.98239827
Australia,AUS,1995,65.77695238
Australia,AUS,1996,65.24623258
Australia,AUS,1997,66.89323606
Australia,AUS,1998,66.35580656
Australia,AUS,1999,68.38372573
Australia,AUS,2000,66.84098349
Australia,AUS,2001,66.28208376
Australia,AUS,2002,66.98887381
Australia,AUS,2003,66.19173707
Australia,AUS,2004,66.76795985
Australia,AUS,2005,66.96854019
Australia,AUS,2006,66.66776535
Australia,AUS,2007,67.59027243
Australia,AUS,2008,67.48600968
Australia,AUS,2009,68.38953947
Australia,AUS,2010,67.96616136
Australia,AUS,2011,68.6502921
Australia,AUS,2012,67.17296739
Australia,AUS,2013,67.01294737
Australia,AUS,2014,67.03875378
Austria,AUT,1995,74.7573269
Austria,AUT,1996,74.48339583
Austria,AUT,1997,74.87599929
Austria,AUT,1998,74.80639098
Austria,AUT,1999,75.07422069
Austria,AUT,2000,74.88018472
Austria,AUT,2001,74.15048449
Austria,AUT,2002,74.06507991
Austria,AUT,2003,73.81897745
Austria,AUT,2004,73.78241595
Austria,AUT,2005,74.36245529
Austria,AUT,2006,74.75145735
Austria,AUT,2007,74.75815375
Austria,AUT,2008,75.40465567
Austria,AUT,2009,75.628005
Austria,AUT,2010,75.23349975
Austria,AUT,2011,75.10968717
Austria,AUT,2012,75.36733432
Austria,AUT,2013,75.15506003
Austria,AUT,2014,77.86396435
Azerbaijan,AZE,1995,24.02939178
Azerbaijan,AZE,1996,24.25813035
Azerbaijan,AZE,1997,22.53542054
Azerbaijan,AZE,1998,16.63042446
Azerbaijan,AZE,1999,18.39469645
Azerbaijan,AZE,2000,18.55978283
Azerbaijan,AZE,2001,18.88482493
Azerbaijan,AZE,2002,17.72552425
Azerbaijan,AZE,2003,12.64119394
Azerbaijan,AZE,2004,12.98081053
Azerbaijan,AZE,2005,11.20187779
Azerbaijan,AZE,2006,14.01061754
Azerbaijan,AZE,2007,19.23857152
Azerbaijan,AZE,2008,18.85374838
Azerbaijan,AZE,2009,22.88743044
Azerbaijan,AZE,2010,21.89929319
Azerbaijan,AZE,2011,21.57950756
Azerbaijan,AZE,2012,22.55672979
Azerbaijan,AZE,2013,20.7706262
Azerbaijan,AZE,2014,20.39084601
Bahamas,BHS,1995,39.8467433
Bahamas,BHS,1996,40.10416667
Bahamas,BHS,1997,42.47279806
Bahamas,BHS,1998,45.46117243
Bahamas,BHS,1999,47.18321042
Bahamas,BHS,2000,48.05037172
Bahamas,BHS,2001,47.93639055
Bahamas,BHS,2002,47.77047813
Bahamas,BHS,2003,47.13216672
Bahamas,BHS,2004,47.81175416
Bahamas,BHS,2005,44.3754857
Bahamas,BHS,2006,47.20654395
Bahamas,BHS,2007,44.96445533
Bahamas,BHS,2008,45.93850803
Bahamas,BHS,2009,47.45105035
Bahamas,BHS,2010,46.53770329
Bahamas,BHS,2011,46.83244171
Bahamas,BHS,2012,44.39035132
Bahamas,BHS,2013,43.67233732
Bahamas,BHS,2014,45.86031202
Bahrain,BHR,1995,68.52987074
Bahrain,BHR,1996,68.14946435
Bahrain,BHR,1997,70.09509666
Bahrain,BHR,1998,66.75512793
Bahrain,BHR,1999,67.76770462
Bahrain,BHR,2000,67.32518568
Bahrain,BHR,2001,66.73690335
Bahrain,BHR,2002,66.3644252
Bahrain,BHR,2003,66.8798107
Bahrain,BHR,2004,67.37386665
Bahrain,BHR,2005,68.2865159
Bahrain,BHR,2006,69.0744175
Bahrain,BHR,2007,70.98109455
Bahrain,BHR,2008,73.00198468
Bahrain,BHR,2009,72.585276
Bahrain,BHR,2010,71.29272148
Bahrain,BHR,2011,70.06365155
Bahrain,BHR,2012,63.27801545
Bahrain,BHR,2013,64.35659921
Bahrain,BHR,2014,63.25294303
Bangladesh,BGD,1995,37.2427972
Bangladesh,BGD,1996,34.7967586
Bangladesh,BGD,1997,43.02230038
Bangladesh,BGD,1998,41.53683277
Bangladesh,BGD,1999,40.78005722
Bangladesh,BGD,2000,40.68739221
Bangladesh,BGD,2001,41.49582817
Bangladesh,BGD,2002,41.18226709
Bangladesh,BGD,2003,38.8658615
Bangladesh,BGD,2004,39.84220051
Bangladesh,BGD,2005,36.11168179
Bangladesh,BGD,2006,37.15109646
Bangladesh,BGD,2007,35.28757425
Bangladesh,BGD,2008,33.50574765
Bangladesh,BGD,2009,34.06327984
Bangladesh,BGD,2010,34.27949882
Bangladesh,BGD,2011,32.98896289
Bangladesh,BGD,2012,31.95122497
Bangladesh,BGD,2013,28.10836204
Bangladesh,BGD,2014,27.901132
Barbados,BRB,1995,67.95006958
Barbados,BRB,1996,68.33910527
Barbados,BRB,1997,65.20776046
Barbados,BRB,1998,65.38921179
Barbados,BRB,1999,65.41217162
Barbados,BRB,2000,65.79921027
Barbados,BRB,2001,67.55772816
Barbados,BRB,2002,68.77932305
Barbados,BRB,2003,66.09212774
Barbados,BRB,2004,65.08608976
Barbados,BRB,2005,64.40065311
Barbados,BRB,2006,64.75785274
Barbados,BRB,2007,66.64746905
Barbados,BRB,2008,67.43702844
Barbados,BRB,2009,66.70394315
Barbados,BRB,2010,65.00136742
Barbados,BRB,2011,62.31099459
Barbados,BRB,2012,65.16824838
Barbados,BRB,2013,64.73865245
Barbados,BRB,2014,63.52175322
Belarus,BLR,1995,71.12418992
Belarus,BLR,1996,75.31958577
Belarus,BLR,1997,82.32478861
Belarus,BLR,1998,77.0384881
Belarus,BLR,1999,76.51320501
Belarus,BLR,2000,75.48652306
Belarus,BLR,2001,71.54893801
Belarus,BLR,2002,70.48626238
Belarus,BLR,2003,73.84350404
Belarus,BLR,2004,74.73976688
Belarus,BLR,2005,72.9376428
Belarus,BLR,2006,70.2310551
Belarus,BLR,2007,69.14590048
Belarus,BLR,2008,65.0773716
Belarus,BLR,2009,64.01669797
Belarus,BLR,2010,77.68539784
Belarus,BLR,2011,70.5279878
Belarus,BLR,2012,77.18820456
Belarus,BLR,2013,66.24255169
Belarus,BLR,2014,65.78654033
Belgium,BEL,1995,76.79767471
Belgium,BEL,1996,78.17725753
Belgium,BEL,1997,75.37790698
Belgium,BEL,1998,74.80427831
Belgium,BEL,1999,74.57758889
Belgium,BEL,2000,74.60503218
Belgium,BEL,2001,75.40732489
Belgium,BEL,2002,73.79674439
Belgium,BEL,2003,74.35936708
Belgium,BEL,2004,76.47072689
Belgium,BEL,2005,76.94209181
Belgium,BEL,2006,75.91618476
Belgium,BEL,2007,75.15003072
Belgium,BEL,2008,77.06215685
Belgium,BEL,2009,77.38656091
Belgium,BEL,2010,77.68032515
Belgium,BEL,2011,76.81432083
Belgium,BEL,2012,77.6707129
Belgium,BEL,2013,77.8094635
Belgium,BEL,2014,77.86864974
Belize,BLZ,1995,61.99593086
Belize,BLZ,1996,56.4001266
Belize,BLZ,1997,57.74294168
Belize,BLZ,1998,56.78642115
