Entity,Code,Year,Females (years),Males (years)
France,FRA,1836,42.79000091552734,41.2400016784668
France,FRA,1841,41.7599983215332,39.70999908447266
France,FRA,1846,41.31999969482422,40.09000015258789
France,FRA,1851,42.40999984741211,41.20999908447266
France,FRA,1856,41.31999969482422,39.13000106811523
France,FRA,1861,41.02999877929688,40.15000152587891
France,FRA,1866,42.56999969482422,41.11000061035156
France,FRA,1872,43.63000106811523,41.43999862670898
France,FRA,1876,44.72000122070313,42.52999877929688
France,FRA,1881,44.65999984741211,42.38000106811523
France,FRA,1886,44.4900016784668,41.90999984741211
France,FRA,1891,45.56000137329102,42.75
France,FRA,1896,49.13000106811523,45.93999862670898
France,FRA,1901,48.86000061035156,45.22999954223633
France,FRA,1906,49.66999816894531,45.88999938964844
France,FRA,1911,50.15999984741211,46.34999847412109
France,FRA,1921,54.77000045776367,50.63000106811523
France,FRA,1926,56.18000030517578,51.77000045776367
France,FRA,1931,59.27000045776367,54.54000091552734
France,FRA,1936,61.70999908447266,55.84000015258789
France,FRA,1946,64.95999908447266,59.65000152587891
France,FRA,1962,73.9000015258789,66.98999786376953
France,FRA,1968,75.22000122070312,67.76000213623047
France,FRA,1975,76.87000274658203,69.0199966430664
France,FRA,1982,78.88999938964844,70.70999908447266
France,FRA,1990,80.97000122070312,72.72000122070312
France,FRA,1999,82.5199966430664,74.94000244140625
Sweden,SWE,1860,50.29000091552734,46.61000061035156
Sweden,SWE,1870,46.84000015258789,43.22000122070313
Sweden,SWE,1880,49.15000152587891,46.18000030517578
Sweden,SWE,1890,51.77000045776367,49.08000183105469
Sweden,SWE,1900,53.63000106811523,50.79999923706055
Sweden,SWE,1910,59.02999877929688,56.43000030517578
Sweden,SWE,1920,60.2400016784668,57.58000183105469
Sweden,SWE,1930,64.19000244140625,62.13000106811523
Sweden,SWE,1940,68.12999725341797,65.37999725341797
Sweden,SWE,1950,72.44000244140625,69.8499984741211
Sweden,SWE,1960,74.87999725341797,71.23999786376953
Sweden,SWE,1970,77.20999908447266,72.2300033569336
Sweden,SWE,1980,78.8499984741211,72.77999877929688
Sweden,SWE,1990,80.4000015258789,74.80999755859375
Sweden,SWE,2000,82.0199966430664,77.37999725341797
Sweden,SWE,2010,83.47000122070312,79.5199966430664
United Kingdom,GBR,1841,42.65000152587891,40.61000061035156
United Kingdom,GBR,1851,42.36000061035156,40.40000152587891
United Kingdom,GBR,1861,43.4900016784668,41.16999816894531
United Kingdom,GBR,1871,42.84000015258789,39.75
