Entity,Code,Year,Country in Transition or No Data (People),Population in Colony (People),Population in Autocracy (People),Population in Closed Anocracy (People),Population in Open Anocracy (People),Population in Democracy (People)
World,OWID_WRL,1905,97314336,590569213,554862050,105059553,138867263,213753822
World,OWID_WRL,1906,94140328,594558144,547917131,116832268,140679806,216422976
World,OWID_WRL,1907,91227848,598493644,557328745,111864314,142599879,219092543
World,OWID_WRL,1908,86790032,602517195,540575098,127752955,151002560,221921140
World,OWID_WRL,1909,82600032,606594638,547513884,125732732,153153935,224774186
World,OWID_WRL,1910,78054256,604935019,539052121,132466255,167711262,227781090
World,OWID_WRL,1911,60997816,619091353,102049164,576710799,161434515,239159424
World,OWID_WRL,1912,55218744,623030579,103048763,150561075,595355256,241600175
World,OWID_WRL,1913,53269028,631191845,94225173,589097752,165835699,244645336
World,OWID_WRL,1914,40380112,643933984,99926201,595271787,162799902,245635148
World,OWID_WRL,1915,40994364,642432040,100911599,599611511,164980508,249088410
World,OWID_WRL,1916,56065240,646465082,101898374,593143990,160710167,250356636
World,OWID_WRL,1917,36695200,646770320,27069935,680495537,166759169,262185264
World,OWID_WRL,1918,51419412,622931368,30373997,664194582,176369876,286906862
World,OWID_WRL,1919,84646896,599014674,30700055,673593684,103306158,354215523
World,OWID_WRL,1920,79524336,599262548,27775747,683940564,104632866,364863936
World,OWID_WRL,1921,49169136,631836326,26461909,693108997,107965107,367367644
World,OWID_WRL,1922,36856892,623177409,26846472,717436536,117698973,371155301
World,OWID_WRL,1923,119061008,628309424,62996198,627885648,119611528,353844863
World,OWID_WRL,1924,123875280,629148337,77093015,626204382,116820540,358298318
World,OWID_WRL,1925,127350024,634267230,124098247,584866916,119601203,362098361
World,OWID_WRL,1926,131539264,639381616,122250389,616421395,126092978,338463346
World,OWID_WRL,1927,138749696,644709217,123568816,620217188,128232806,341473183
World,OWID_WRL,1928,145779088,650153095,127174574,629375315,123770768,344340689
World,OWID_WRL,1929,154729280,655553240,140967495,636573467,110213964,346940607
World,OWID_WRL,1930,161346112,663405452,164065273,613610689,117640750,349931727
World,OWID_WRL,1931,166552480,671554970,164037784,623538360,97266080,372574682
World,OWID_WRL,1932,171757152,680446977,201260268,594301120,98753284,374787693
World,OWID_WRL,1933,176885088,689480073,270267824,600322712,106006816,304100790
World,OWID_WRL,1934,182567696,698675145,257928496,623444056,106636484,303245271
World,OWID_WRL,1935,187077760,695076180,291071778,579572862,139459629,305038181
World,OWID_WRL,1936,206034880,704124961,304136488,569015706,137974830,299848753
World,OWID_WRL,1937,208218736,713402266,283622649,582191230,154791799,301450761
World,OWID_WRL,1938,208636016,722829622,295926337,576992223,156864823,303325186
World,OWID_WRL,1939,214661456,732420771,293032886,606697681,165074588,271581418
World,OWID_WRL,1940,228476992,742162520,338792567,608946170,166132739,215489007
World,OWID_WRL,1941,239599200,772157197,312600843,624781121,147849928,217066873
World,OWID_WRL,1942,268480256,713389493,315700892,659789122,150183706,218997064
World,OWID_WRL,1943,261717408,721236713,280335973,714908389,138870091,221575393
World,OWID_WRL,1944,256689712,711593163,241031738,740418823,158693257,243153472
World,OWID_WRL,1945,320453984,703711613,134412529,770940635,175024447,262049824
World,OWID_WRL,1946,316842752,712662682,143218727,633083570,200800062,378355799
World,OWID_WRL,1947,338780352,319059172,176531742,639248899,206329162,728074977
World,OWID_WRL,1948,305633344,315739534,186268754,636689606,229797793,763054211
World,OWID_WRL,1949,307821280,319776734,743787529,97291779,239599947,765677302
World,OWID_WRL,1950,304554240,324320943,744272961,182740175,176068326,793192527
World,OWID_WRL,1951,305695552,330674034,775585645,178303930,176987073,804621158
World,OWID_WRL,1952,223424352,337258879,836070409,164193606,152750226,904243003
World,OWID_WRL,1953,227218400,337653536,851707435,172422809,156768838,918257906
World,OWID_WRL,1954,227497904,344662788,898184848,146484819,181277225,912570170
World,OWID_WRL,1955,229497456,351975834,890254793,170824173,189019281,926742962
World,OWID_WRL,1956,245193856,336890937,873985655,198581042,161006892,991587699
World,OWID_WRL,1957,243492144,330673866,890737622,197613880,163537352,1031608112
World,OWID_WRL,1958,250352304,334443871,987828997,170161199,144188134,1022676956
World,OWID_WRL,1959,246448864,341839087,1002408397,171801354,156923735,1043794690
World,OWID_WRL,1960,244025808,244880038,1063352251,177501169,125918263,1162666403
World,OWID_WRL,1961,244590928,234924575,1120941228,190081052,199070865,1085464630
World,OWID_WRL,1962,249812768,218604595,1135832067,193464680,241778877,1094061449
World,OWID_WRL,1963,257667888,214464551,1127020488,196723709,291088364,1107110387
World,OWID_WRL,1964,263668480,211712056,1158797350,276703072,211317128,1134790327
World,OWID_WRL,1965,271187520,211289451,1283486378,175125877,216132520,1165273471
World,OWID_WRL,1966,275019424,213397253,1499158714,59972438,216675867,1126461752
World,OWID_WRL,1967,283652064,211876949,1556794750,53200862,212677200,1143141395
World,OWID_WRL,1968,285043744,215309405,1583419772,78279480,207960672,1163953765
World,OWID_WRL,1969,287021440,219209827,1631045013,42357150,219662653,1208569504
World,OWID_WRL,1970,283476544,222789389,1665272238,120556846,162335356,1228057430
World,OWID_WRL,1971,353111840,158019643,1764595951,143706019,128839129,1209462089
World,OWID_WRL,1972,287673824,160281546,1887730323,87276395,112607592,1298025201
World,OWID_WRL,1973,290890496,161919972,1885042342,84131232,51211085,1436526971
World,OWID_WRL,1974,292895456,164179961,1772963068,267545643,96790584,1391359180
World,OWID_WRL,1975,295003360,145981346,1907467630,188451537,99977267,1424518165
World,OWID_WRL,1976,297735904,147642025,2024458623,149347227,85459876,1431898303
World,OWID_WRL,1977,249114304,148978051,2085882595,249926412,93804056,1383616957
World,OWID_WRL,1978,251141536,150523239,1923558370,408786691,103450517,1448822136
World,OWID_WRL,1979,286426816,152063726,1895671500,341272038,122779113,1563976120
World,OWID_WRL,1980,276224928,153622353,1935444093,393847483,117186989,1563306543
World,OWID_WRL,1981,278391488,155045401,1930002023,457184013,120134375,1577844954
World,OWID_WRL,1982,280363136,156613981,2094416526,330645402,139636865,1597327226
World,OWID_WRL,1983,282582656,158198717,2107299228,290412350,142895541,1699821891
World,OWID_WRL,1984,285428960,159817436,2236282007,294243255,141290858,1648595085
World,OWID_WRL,1985,289155360,161474510,2162818074,295697285,134044187,1809351009
World,OWID_WRL,1986,293844800,163182671,2071955895,355197293,200728734,1857146529
World,OWID_WRL,1987,299327648,164914595,2095477073,351003755,180482301,1942599438
World,OWID_WRL,1988,296424224,166585311,2114546107,286549133,141770443,2120757228
World,OWID_WRL,1989,289799488,168081650,1998377832,415522731,192326811,2154869288
World,OWID_WRL,1990,208947936,167907615,2005384651,383346090,243667299,2300414255
World,OWID_WRL,1991,210210224,18780352,1903786263,519728767,180846305,2564976917
World,OWID_WRL,1992,77050128,15628511,1865343321,514825065,277463859,2734804505
World,OWID_WRL,1993,75993384,0,1977895343,429145502,341895904,2745115305
World,OWID_WRL,1994,132805600,0,1972309459,295511662,407339248,2845350123
World,OWID_WRL,1995,135498304,0,1978175313,335240781,414278125,2871930422
World,OWID_WRL,1996,137513680,0,2044263296,297169763,402175283,2934270227
World,OWID_WRL,1997,138914400,0,2016405405,311634833,357718503,3069482118
World,OWID_WRL,1998,140073504,0,1700605067,647140906,375238340,3108825190
World,OWID_WRL,1999,141535984,0,1820644844,349678995,502042916,3235302507
World,OWID_WRL,2000,143659472,0,1832904138,348454565,366059037,3435545000
World,OWID_WRL,2001,170290896,0,1825059682,355433379,322461821,3531064744
World,OWID_WRL,2002,174109152,0,1732420274,476148455,316291697,3583332380
World,OWID_WRL,2003,205902544,0,1721199768,430219004,398336488,3605107120
World,OWID_WRL,2004,212094192,0,1804061318,406667776,339766209,3677252816
World,OWID_WRL,2005,215019440,0,1710572261,508028485,354859708,3731156069
World,OWID_WRL,2006,211803440,0,1695757213,587148870,366624842,3738885795
World,OWID_WRL,2007,219467296,0,1852339336,431369888,694181653,3484248995
World,OWID_WRL,2008,227608384,0,1866476835,374786970,731352624,3563508172
World,OWID_WRL,2009,236571744,0,1733346809,433159627,895685064,3547716117
World,OWID_WRL,2010,214496416,0,1743970400,429346882,782149319,3759761910
World,OWID_WRL,2011,223404096,0,1669571483,473350689,755008852,3892092080
World,OWID_WRL,2012,258480160,0,1679707351,438727280,804266753,3916319135
World,OWID_WRL,2013,268821088,0,1689364142,400758065,854319395,3968452243
World,OWID_WRL,2014,243861808,0,1698555299,541576022,933020422,3848772306
World,OWID_WRL,2015,303540608,0,1707286581,440167570,797185509,4101291986
