Entity,Code,Year,15.2.1 - Proportion of forest area within legally established protected areas (%) - AG_LND_FRSTPRCT (%)
Africa,,2000,15.31934
Africa,,2005,16.06977
Africa,,2010,16.71993
Africa,,2015,17.77323
Albania,ALB,2000,19.33895
Albania,ALB,2005,22.17758
Albania,ALB,2010,21.01102
Algeria,DZA,2000,6.08384
Algeria,DZA,2005,6.08384
Algeria,DZA,2010,6.08384
Algeria,DZA,2015,6.08384
American Samoa,ASM,2000,0
American Samoa,ASM,2005,0
American Samoa,ASM,2010,0
American Samoa,ASM,2015,0
Americas,,2000,16.23406
Americas,,2005,19.33071
Americas,,2010,21.55826
Americas,,2015,21.76035
Angola,AGO,2000,3.21834
Angola,AGO,2005,3.21834
Angola,AGO,2010,3.21834
Angola,AGO,2015,3.21834
Argentina,ARG,2000,4.26748
Argentina,ARG,2005,4.27855
Argentina,ARG,2010,4.27855
Argentina,ARG,2015,7.14075
Asia,,2000,17.22689
Asia,,2005,20.21419
Asia,,2010,20.77381
Asia,,2015,21.75791
"Asia, Central",,2000,7.17515
"Asia, Central",,2005,8.79383
"Asia, Central",,2010,7.78304
"Asia, Central",,2015,7.78304
Australia,AUS,2000,11.15422
Australia,AUS,2005,13.63676
Australia,AUS,2010,15.23916
Australia,AUS,2015,17.17181
Australia and New Zealand,,2000,11.15422
Australia and New Zealand,,2005,13.63676
Australia and New Zealand,,2010,15.23916
Australia and New Zealand,,2015,17.17181
Austria,AUT,2000,26.33755
Austria,AUT,2005,17.03283
Austria,AUT,2010,17.03283
Austria,AUT,2015,17.03283
Bangladesh,BGD,2000,15.88523
Bangladesh,BGD,2005,17.21484
Bangladesh,BGD,2010,17.35479
Bangladesh,BGD,2015,18.96431
Belarus,BLR,2000,5.64082
Belarus,BLR,2005,13.67927
Belarus,BLR,2010,13.99201
Belarus,BLR,2015,15.86031
Belgium,BEL,2000,3.9801
Belgium,BEL,2005,3.99473
Belgium,BEL,2010,3.84841
Belgium,BEL,2015,3.84841
Benin,BEN,2000,58.50151
