Entity,Code,Year, (People)
Japan,JPN,1955,16928169.58
Japan,JPN,1956,16560275.46
Japan,JPN,1957,16309301.1
Japan,JPN,1958,15737805.29
Japan,JPN,1959,15167317.41
Japan,JPN,1960,15057453.14
Japan,JPN,1961,14645210.13
Japan,JPN,1962,14220871.97
Japan,JPN,1963,13442750.68
Japan,JPN,1964,12898468.96
Japan,JPN,1965,12433813.63
Japan,JPN,1966,12127403.18
Japan,JPN,1967,11889531.91
Japan,JPN,1968,11609327.61
Japan,JPN,1969,11335170.89
Japan,JPN,1970,10821127.04
Japan,JPN,1971,10036958.19
Japan,JPN,1972,9553152.208
Japan,JPN,1973,9104623.749
Japan,JPN,1974,8878847.626
Japan,JPN,1975,8686333.164
Japan,JPN,1976,8509945.567
Japan,JPN,1977,8432335.025
Japan,JPN,1978,8328518.326
Japan,JPN,1979,8039242.668
Japan,JPN,1980,7625991.728
Japan,JPN,1981,7387112.527
Japan,JPN,1982,7245980.583
Japan,JPN,1983,7009441.55
Japan,JPN,1984,6743482.115
Japan,JPN,1985,6651197.537
Japan,JPN,1986,6424279
Japan,JPN,1987,6255876.319
Japan,JPN,1988,6040229.021
Japan,JPN,1989,5846183.346
Japan,JPN,1990,5650116.988
Japan,JPN,1991,5462146.364
Japan,JPN,1992,5332166.678
Japan,JPN,1993,5034213.243
Japan,JPN,1994,4896234.806
Japan,JPN,1995,4792251.057
Japan,JPN,1996,4576648.119
Japan,JPN,1997,4413263.843
Japan,JPN,1998,4237277.523
Japan,JPN,1999,4051128.922
Japan,JPN,2000,3866799.455
Japan,JPN,2001,3697836.422
Japan,JPN,2002,3460497.75
Japan,JPN,2003,3433042.384
Japan,JPN,2004,3371499.921
Japan,JPN,2005,3343371.126
Japan,JPN,2006,3250386.839
Japan,JPN,2007,3250818.943
Japan,JPN,2008,3189429.376
Japan,JPN,2009,2952837.23
Japan,JPN,2010,2852172.324
Japan,JPN,2011,2785062.387
Japan,JPN,2012,2684397.482
Netherlands,NLD,1807,374533
Netherlands,NLD,1849,506002
Netherlands,NLD,1859,536130
Netherlands,NLD,1889,633448
Netherlands,NLD,1899,681674
Netherlands,NLD,1909,699689
Netherlands,NLD,1920,641000
Netherlands,NLD,1930,656000
Netherlands,NLD,1947,747000
Netherlands,NLD,1949,637150.1541
Netherlands,NLD,1960,479205.6808
Netherlands,NLD,1961,475982.3242
Netherlands,NLD,1962,453418.828
Netherlands,NLD,1963,439450.9494
Netherlands,NLD,1964,422259.7143
Netherlands,NLD,1965,397547.3137
Netherlands,NLD,1966,386802.7917
Netherlands,NLD,1967,358867.0345
Netherlands,NLD,1968,334154.6339
Netherlands,NLD,1969,320186.7553
Netherlands,NLD,1970,314265.6206
Netherlands,NLD,1971,311506.9316
Netherlands,NLD,1972,307090.6187
Netherlands,NLD,1973,304864.3572
Netherlands,NLD,1974,302065.2152
Netherlands,NLD,1975,300760.282
Netherlands,NLD,1976,296322.1576
Netherlands,NLD,1977,292738.3572
Netherlands,NLD,1978,288440.9417
Netherlands,NLD,1979,288319.713
Netherlands,NLD,1980,284889.2852
Netherlands,NLD,1981,285604.4921
Netherlands,NLD,1982,288611.5464
Netherlands,NLD,1983,291394.5601
Netherlands,NLD,1984,292195.5953
Netherlands,NLD,1985,290888.0028
Netherlands,NLD,1986,290267.4429
Netherlands,NLD,1987,291254.7471
Netherlands,NLD,1988,292242.0513
Netherlands,NLD,1989,287305.5302
Netherlands,NLD,1990,289280.1386
Netherlands,NLD,1991,295203.964
Netherlands,NLD,1992,292242.0513
Netherlands,NLD,1993,284343.6175
Netherlands,NLD,1994,279484.4328
Netherlands,NLD,1995,283078
Netherlands,NLD,1996,286718
Netherlands,NLD,1997,291302
Netherlands,NLD,1998,279191
Netherlands,NLD,1999,280138
Netherlands,NLD,2000,279912
Netherlands,NLD,2001,283035
Netherlands,NLD,2002,282997
Netherlands,NLD,2003,278378
Netherlands,NLD,2004,271010
Netherlands,NLD,2005,265968
Netherlands,NLD,2006,261595
Netherlands,NLD,2007,258834
Netherlands,NLD,2008,253760.8679
Netherlands,NLD,2009,255746.6579
Netherlands,NLD,2010,254078.5679
Netherlands,NLD,2011,252394.4413
South Korea,KOR,1955,6436000
South Korea,KOR,1963,4609264.821
South Korea,KOR,1964,4597829.804
South Korea,KOR,1965,4583536.032
South Korea,KOR,1966,4646428.627
South Korea,KOR,1967,4584488.95
South Korea,KOR,1968,4574959.77
South Korea,KOR,1969,4597829.804
South Korea,KOR,1970,4617841.084
South Korea,KOR,1971,4646428.627
South Korea,KOR,1972,5094300.131
South Korea,KOR,1973,5306800.866
South Korea,KOR,1974,5321094.637
South Korea,KOR,1975,5169580.66
South Korea,KOR,1976,5337294.245
South Korea,KOR,1977,5150522.298
South Korea,KOR,1978,4937068.645
South Korea,KOR,1979,4656910.726
South Korea,KOR,1980,4438692.482
South Korea,KOR,1981,4574959.77
South Korea,KOR,1982,4394858.25
South Korea,KOR,1983,4111841.576
South Korea,KOR,1984,3729721.42
South Korea,KOR,1985,3557243.245
South Korea,KOR,1986,3489586.06
South Korea,KOR,1987,3411446.777
South Korea,KOR,1988,3319013.722
South Korea,KOR,1989,3258979.882
South Korea,KOR,1990,3068446.154
South Korea,KOR,1991,2897818.935
South Korea,KOR,1992,2841891.124
South Korea,KOR,1993,2700649.704
South Korea,KOR,1994,2588794.083
South Korea,KOR,1995,2403000
South Korea,KOR,1996,2323000
South Korea,KOR,1997,2285000
South Korea,KOR,1998,2397000
South Korea,KOR,1999,2302000
South Korea,KOR,2000,2243000
South Korea,KOR,2001,2148000
South Korea,KOR,2002,2069000
South Korea,KOR,2003,1950000
South Korea,KOR,2004,1825000
South Korea,KOR,2005,1815000
South Korea,KOR,2006,1785000
South Korea,KOR,2007,1726000
South Korea,KOR,2008,1736531.575
South Korea,KOR,2009,1731302.611
South Korea,KOR,2010,1645378.237
Spain,ESP,1860,5266000
Spain,ESP,1877,5045000
Spain,ESP,1887,4854000
Spain,ESP,1900,5139000
Spain,ESP,1910,4220000
Spain,ESP,1920,4538000
Spain,ESP,1940,4781000
Spain,ESP,1950,5271000
Spain,ESP,1964,4177000
Spain,ESP,1970,3160771.598
Spain,ESP,1971,3058917.387
Spain,ESP,1972,2942314.398
Spain,ESP,1973,2830162.442
Spain,ESP,1974,2715208.049
Spain,ESP,1975,2604944.001
Spain,ESP,1976,2490941.67
Spain,ESP,1977,2382016.445
Spain,ESP,1978,2291891.181
Spain,ESP,1979,2205355.891
Spain,ESP,1980,2098217.244
Spain,ESP,1981,1976066.976
Spain,ESP,1982,1929406.976
Spain,ESP,1983,1920926.557
Spain,ESP,1984,1851519.781
Spain,ESP,1985,1791303.9
Spain,ESP,1986,1671728.936
Spain,ESP,1987,1633306.093
Spain,ESP,1988,1615262.23
Spain,ESP,1989,1510749.056
Spain,ESP,1990,1459757.217
Spain,ESP,1991,1322067.189
Spain,ESP,1992,1229969.469
Spain,ESP,1993,1167673.066
Spain,ESP,1994,1121119.603
Spain,ESP,1995,1070205.761
Spain,ESP,1996,1077281.855
Spain,ESP,1997,1059779.92
Spain,ESP,1998,1059384.444
Spain,ESP,1999,1032891.28
Spain,ESP,2000,1037400
Spain,ESP,2001,1040900
Spain,ESP,2002,1023100
Spain,ESP,2003,1013700
Spain,ESP,2004,999600
Spain,ESP,2005,1000800
Spain,ESP,2006,943434.3919
Spain,ESP,2007,924745.5962
Sweden,SWE,1850,949014.5182
Sweden,SWE,1851,941801.0892
Sweden,SWE,1852,942600.9453
Sweden,SWE,1853,952253.268
Sweden,SWE,1854,968336.5435
Sweden,SWE,1855,994020.18
Sweden,SWE,1856,979349.1708
Sweden,SWE,1857,992546.645
Sweden,SWE,1858,1019169.198
Sweden,SWE,1859,1033733.698
Sweden,SWE,1860,1038088.109
Sweden,SWE,1861,1036222.432
Sweden,SWE,1862,1013372.76
Sweden,SWE,1863,1042558.362
Sweden,SWE,1864,1044893.669
Sweden,SWE,1865,1061723.866
Sweden,SWE,1866,1047317.584
Sweden,SWE,1867,1062745.96
Sweden,SWE,1868,1005346.821
Sweden,SWE,1869,1038368.235
Sweden,SWE,1870,1087476.746
Sweden,SWE,1871,1091748.663
Sweden,SWE,1872,1096117.249
Sweden,SWE,1873,1100452.339
Sweden,SWE,1874,1104654.621
Sweden,SWE,1875,1108484.796
Sweden,SWE,1876,1112051.65
Sweden,SWE,1877,1115879.328
Sweden,SWE,1878,1119287.845
Sweden,SWE,1879,1123244.243
Sweden,SWE,1880,1127084.772
Sweden,SWE,1881,1124352.062
Sweden,SWE,1882,1121342.138
Sweden,SWE,1883,1119577.294
Sweden,SWE,1884,1118272.361
Sweden,SWE,1885,1117235.862
Sweden,SWE,1886,1115347.139
Sweden,SWE,1887,1112178.93
Sweden,SWE,1888,1108623.165
Sweden,SWE,1889,1106844.316
Sweden,SWE,1890,1104386.416
Sweden,SWE,1891,1102416.498
Sweden,SWE,1892,1099825.19
Sweden,SWE,1893,1097665.121
Sweden,SWE,1894,1097145.931
Sweden,SWE,1895,1095930.13
Sweden,SWE,1896,1094438.033
Sweden,SWE,1897,1093579.302
Sweden,SWE,1898,1092754.477
Sweden,SWE,1899,1091614.925
Sweden,SWE,1900,1089129.469
Sweden,SWE,1901,1081737.499
Sweden,SWE,1902,1072822.16
Sweden,SWE,1903,1063764.923
Sweden,SWE,1904,1055527.862
Sweden,SWE,1905,1047198.753
Sweden,SWE,1906,1038571.983
Sweden,SWE,1907,1029974.309
Sweden,SWE,1908,1025798.24
Sweden,SWE,1909,1022593.321
Sweden,SWE,1910,1014042.884
Sweden,SWE,1911,1011133.288
Sweden,SWE,1912,1007969.316
Sweden,SWE,1913,1004187.221
Sweden,SWE,1914,1001257.265
Sweden,SWE,1915,998446.945
Sweden,SWE,1916,995969.3323
Sweden,SWE,1917,995559.8046
Sweden,SWE,1918,994435.8484
Sweden,SWE,1919,992434.729
Sweden,SWE,1920,989865.5053
Sweden,SWE,1921,980042.8862
Sweden,SWE,1922,969797.9863
Sweden,SWE,1923,962957.4735
Sweden,SWE,1924,956587.809
Sweden,SWE,1925,949777.3414
Sweden,SWE,1926,947277.831
Sweden,SWE,1927,946072.9254
Sweden,SWE,1928,943097.9491
Sweden,SWE,1929,941182.9851
Sweden,SWE,1930,938712.567
Sweden,SWE,1931,916700.239
Sweden,SWE,1932,900921.175
Sweden,SWE,1933,890592.0142
Sweden,SWE,1934,901675.791
Sweden,SWE,1935,902058.2281
Sweden,SWE,1936,898458.8263
Sweden,SWE,1937,887236.1495
Sweden,SWE,1938,884169.5164
Sweden,SWE,1939,873846.5419
Sweden,SWE,1940,853515.3207
Sweden,SWE,1941,819354.4061
Sweden,SWE,1942,784944.2311
Sweden,SWE,1943,750736.5479
Sweden,SWE,1944,746217.5227
Sweden,SWE,1945,739857.3553
Sweden,SWE,1946,710892.6587
Sweden,SWE,1947,694151.9389
Sweden,SWE,1948,679245.3645
Sweden,SWE,1949,667745.6205
Sweden,SWE,1950,644945.6123
Sweden,SWE,1951,625013.3693
Sweden,SWE,1952,604885.3403
Sweden,SWE,1953,584561.5253
Sweden,SWE,1954,564041.9243
Sweden,SWE,1955,543326.5373
Sweden,SWE,1956,522415.3643
Sweden,SWE,1957,501308.4053
Sweden,SWE,1958,480005.6604
Sweden,SWE,1959,458507.1294
Sweden,SWE,1960,436812.8124
Sweden,SWE,1961,419537.0227
Sweden,SWE,1962,401845.2203
Sweden,SWE,1963,383737.1554
Sweden,SWE,1964,365212.578
Sweden,SWE,1965,346271.2381
Sweden,SWE,1966,331559.1451
Sweden,SWE,1967,316827.9333
Sweden,SWE,1968,302077.6145
Sweden,SWE,1969,287308.1999
Sweden,SWE,1970,272519.731
Sweden,SWE,1971,256776.9828
Sweden,SWE,1972,241035.4132
Sweden,SWE,1973,227589.1952
Sweden,SWE,1974,224695.2346
Sweden,SWE,1975,217433.7295
Sweden,SWE,1976,208491.509
Sweden,SWE,1977,202055.0843
Sweden,SWE,1978,202291.6192
Sweden,SWE,1979,197791.3277
Sweden,SWE,1980,193126.4643
Sweden,SWE,1981,186188.0301
Sweden,SWE,1982,182868.85
Sweden,SWE,1983,179142.3881
Sweden,SWE,1984,177255.771
Sweden,SWE,1985,173318.7736
Sweden,SWE,1986,168813.5274
Sweden,SWE,1987,151784.5373
Sweden,SWE,1988,149660.0656
Sweden,SWE,1989,142579.4284
Sweden,SWE,1990,141013.3825
Sweden,SWE,1991,134815.0989
Sweden,SWE,1992,130193.3119
Sweden,SWE,1993,127231.1149
Sweden,SWE,1994,123936.7859
Sweden,SWE,1995,121179.5891
Sweden,SWE,1996,115236.5415
Sweden,SWE,1997,105946.8493
Sweden,SWE,1998,102470.2138
Sweden,SWE,1999,101532.4798
Sweden,SWE,2000,104664.4624
Sweden,SWE,2001,96983.90142
Sweden,SWE,2002,94548.48618
Sweden,SWE,2003,88718.0147
Sweden,SWE,2004,85408.6714
Sweden,SWE,2005,81990.1949
Sweden,SWE,2006,80378.69562
Sweden,SWE,2007,78483.63752
Sweden,SWE,2008,80099.34667
Sweden,SWE,2009,79503.29811
Sweden,SWE,2010,81300.68337
United Kingdom,GBR,1801,1426000
United Kingdom,GBR,1841,1539000
United Kingdom,GBR,1851,1539000
United Kingdom,GBR,1861,3520000
United Kingdom,GBR,1871,3120000
United Kingdom,GBR,1881,2860000
United Kingdom,GBR,1891,2620000
United Kingdom,GBR,1901,2420000
United Kingdom,GBR,1911,2400000
United Kingdom,GBR,1920,1741000
United Kingdom,GBR,1921,1669000
United Kingdom,GBR,1922,1620000
United Kingdom,GBR,1923,1571000
United Kingdom,GBR,1924,1582000
United Kingdom,GBR,1925,1576000
United Kingdom,GBR,1926,1552000
United Kingdom,GBR,1927,1523000
United Kingdom,GBR,1928,1511000
United Kingdom,GBR,1929,1502000
United Kingdom,GBR,1930,1460000
United Kingdom,GBR,1931,1425000
United Kingdom,GBR,1932,1413000
United Kingdom,GBR,1933,1413000
United Kingdom,GBR,1934,1394000
United Kingdom,GBR,1935,1370000
United Kingdom,GBR,1936,1335000
United Kingdom,GBR,1937,1313000
United Kingdom,GBR,1938,1272000
United Kingdom,GBR,1948,1371840.521
United Kingdom,GBR,1949,1368419.473
United Kingdom,GBR,1950,1352454.579
United Kingdom,GBR,1951,1317103.742
United Kingdom,GBR,1952,1288595.003
United Kingdom,GBR,1953,1264647.663
United Kingdom,GBR,1954,1252103.817
United Kingdom,GBR,1955,1246402.07
United Kingdom,GBR,1956,1211051.233
United Kingdom,GBR,1957,1204209.136
United Kingdom,GBR,1958,1187103.892
United Kingdom,GBR,1959,1177981.096
United Kingdom,GBR,1960,1157454.804
United Kingdom,GBR,1961,1120963.618
United Kingdom,GBR,1962,1082191.733
United Kingdom,GBR,1963,1073068.936
United Kingdom,GBR,1964,1030876.003
United Kingdom,GBR,1965,972718.1751
United Kingdom,GBR,1966,935265.9245
United Kingdom,GBR,1967,900934.6948
United Kingdom,GBR,1968,871805.1665
United Kingdom,GBR,1969,835393.2562
United Kingdom,GBR,1970,801062.0265
United Kingdom,GBR,1971,764439.2076
United Kingdom,GBR,1972,756799.9969
United Kingdom,GBR,1973,768303.0982
United Kingdom,GBR,1974,735608.3836
United Kingdom,GBR,1975,708163.6888
United Kingdom,GBR,1976,700817.8681
United Kingdom,GBR,1977,694235.9684
United Kingdom,GBR,1978,680883.9567
United Kingdom,GBR,1979,665667.5347
United Kingdom,GBR,1980,670837.841
United Kingdom,GBR,1981,677300.1704
United Kingdom,GBR,1982,675547.5805
United Kingdom,GBR,1983,671863.0453
United Kingdom,GBR,1984,694933.4616
United Kingdom,GBR,1985,661113.9008
United Kingdom,GBR,1986,649640.692
United Kingdom,GBR,1987,643500.5381
United Kingdom,GBR,1988,664045.5863
United Kingdom,GBR,1989,641803.3047
United Kingdom,GBR,1990,633659.2418
United Kingdom,GBR,1991,651621.3512
United Kingdom,GBR,1992,636011.8973
United Kingdom,GBR,1993,626255.8503
United Kingdom,GBR,1994,607527.6056
United Kingdom,GBR,1995,571000
United Kingdom,GBR,1996,581000
United Kingdom,GBR,1997,596000
United Kingdom,GBR,1998,565000
United Kingdom,GBR,1999,522000
United Kingdom,GBR,2000,490000
United Kingdom,GBR,2001,465000
United Kingdom,GBR,2002,462000
United Kingdom,GBR,2003,464000
United Kingdom,GBR,2004,475000
United Kingdom,GBR,2005,499000
United Kingdom,GBR,2006,485000
United Kingdom,GBR,2007,487000
United Kingdom,GBR,2008,509000
United Kingdom,GBR,2009,525000
United Kingdom,GBR,2010,548459.5799
United Kingdom,GBR,2011,596247.613
United States,USA,1840,3570000
United States,USA,1850,4520000
United States,USA,1860,5880000
United States,USA,1870,6790000
United States,USA,1880,8920000
United States,USA,1890,9960000
United States,USA,1900,11680000
United States,USA,1910,11770000
United States,USA,1920,10790000
United States,USA,1929,8627000
United States,USA,1930,8441000
United States,USA,1931,8471000
United States,USA,1932,8370000
United States,USA,1933,8438000
United States,USA,1934,8523000
United States,USA,1935,8651000
United States,USA,1936,8544000
United States,USA,1937,8367000
United States,USA,1938,8066000
United States,USA,1939,7810000
United States,USA,1940,7589000
United States,USA,1941,7486000
United States,USA,1942,7341000
United States,USA,1943,7154000
United States,USA,1944,6931000
United States,USA,1945,6766000
United States,USA,1946,6713000
United States,USA,1947,6657000
United States,USA,1948,6625000
United States,USA,1949,6440000
United States,USA,1950,6402000
United States,USA,1951,6022000
United States,USA,1952,5879000
United States,USA,1953,5696000
United States,USA,1954,5713000
United States,USA,1955,5525000
United States,USA,1956,5251000
United States,USA,1957,5010000
United States,USA,1958,4848000
United States,USA,1959,4704000
United States,USA,1960,4531000
United States,USA,1961,4442000
United States,USA,1962,4310000
United States,USA,1963,4079000
United States,USA,1964,3862000
United States,USA,1965,3713000
United States,USA,1966,3432000
United States,USA,1967,3338000
United States,USA,1968,3303000
United States,USA,1969,3193000
United States,USA,1970,3118000
United States,USA,1971,3065000
United States,USA,1972,3116000
United States,USA,1973,3181000
United States,USA,1974,3255000
United States,USA,1975,3191000
United States,USA,1976,3210000
United States,USA,1977,3105000
United States,USA,1978,3158000
United States,USA,1979,3183000
United States,USA,1980,3275000
United States,USA,1981,3260000
United States,USA,1982,3140000
United States,USA,1983,3166000
United States,USA,1984,3074000
United States,USA,1985,2889000
United States,USA,1986,2869000
United States,USA,1987,2932000
United States,USA,1988,2988000
United States,USA,1989,2940000
United States,USA,1990,2930000
United States,USA,1991,2964000
United States,USA,1992,2883000
United States,USA,1993,2935000
United States,USA,1994,2995000
United States,USA,1995,3210000
United States,USA,1996,3154000
United States,USA,1997,3132000
United States,USA,1998,3133000
United States,USA,1999,3171000
United States,USA,2000,3146000
United States,USA,2001,2093000
United States,USA,2002,2098000
United States,USA,2003,2072000
United States,USA,2004,2030000
United States,USA,2005,1992000
United States,USA,2006,2022000
United States,USA,2007,1953000
United States,USA,2008,1945000
United States,USA,2009,1907000
United States,USA,2010,1923000
United States,USA,2011,1962000
United States,USA,2012,1919000
United States,USA,2013,1957000
United States,USA,2014,1947000
United States,USA,2015,2050000
