Entity,Code,Year, (People)
Belgium,BEL,1846,681000
Belgium,BEL,1856,712000
Belgium,BEL,1866,705000
Belgium,BEL,1880,674000
Belgium,BEL,1890,640000
Belgium,BEL,1900,616000
Belgium,BEL,1910,585000
Belgium,BEL,1920,525000
Belgium,BEL,1930,505000
Belgium,BEL,1947,364000
Belgium,BEL,1961,213000
Belgium,BEL,1970,197477.8225
Belgium,BEL,1971,184101.572
Belgium,BEL,1972,172728.0139
Belgium,BEL,1973,165111.1874
Belgium,BEL,1974,160353.8201
Belgium,BEL,1975,155935.2554
Belgium,BEL,1976,147979.635
Belgium,BEL,1977,141885.2497
Belgium,BEL,1978,138862.5693
Belgium,BEL,1979,138367.4551
Belgium,BEL,1980,132237.6211
Belgium,BEL,1981,129056.875
Belgium,BEL,1982,127686.875
Belgium,BEL,1983,127287.875
Belgium,BEL,1984,127051
Belgium,BEL,1985,126152.375
Belgium,BEL,1986,124604.5
Belgium,BEL,1987,122167.625
Belgium,BEL,1988,120207.875
Belgium,BEL,1989,119377
Belgium,BEL,1990,118489.75
Belgium,BEL,1991,117296.25
Belgium,BEL,1992,114539.125
Belgium,BEL,1993,112992.625
Belgium,BEL,1994,110751.125
Belgium,BEL,1995,108951.875
Belgium,BEL,1996,104785.5
Belgium,BEL,1997,102043.75
Belgium,BEL,1998,100278.125
Belgium,BEL,1999,98864.75
Belgium,BEL,2000,94837.625
Belgium,BEL,2001,91850.875
Belgium,BEL,2002,89107.25
Belgium,BEL,2003,86255.25
Belgium,BEL,2004,85034.75
Belgium,BEL,2005,84544.75
Belgium,BEL,2006,84147.625
Belgium,BEL,2007,82858.625
Finland,FIN,1805,702000
Finland,FIN,1880,358000
Finland,FIN,1900,429000
Finland,FIN,1910,897000
Finland,FIN,1920,1032000
Finland,FIN,1930,1107000
Finland,FIN,1940,1158000
Finland,FIN,1950,912000
Finland,FIN,1960,721000
Finland,FIN,1970,471500
Finland,FIN,1971,444900
Finland,FIN,1972,419200
Finland,FIN,1973,394300
Finland,FIN,1974,369900
Finland,FIN,1975,348300
Finland,FIN,1976,336900
Finland,FIN,1977,316500
Finland,FIN,1978,304000
Finland,FIN,1979,306100
Finland,FIN,1980,308600
Finland,FIN,1981,305800
Finland,FIN,1982,310500
Finland,FIN,1983,300500
Finland,FIN,1984,298000
Finland,FIN,1985,281900
Finland,FIN,1986,267800
Finland,FIN,1987,254800
Finland,FIN,1988,243700
Finland,FIN,1989,223700
Finland,FIN,1990,213200
Finland,FIN,1991,202500
Finland,FIN,1992,188000
Finland,FIN,1993,174800
Finland,FIN,1994,170600
Finland,FIN,1995,161400
Finland,FIN,1996,152700
Finland,FIN,1997,149900
Finland,FIN,1998,138800
Finland,FIN,1999,139800
Finland,FIN,2000,136800
Finland,FIN,2001,131400
Finland,FIN,2002,126600
Finland,FIN,2003,124300
Finland,FIN,2004,121800
Finland,FIN,2005,121300
Finland,FIN,2006,121700
Finland,FIN,2007,122000
France,FRA,1856,7305000
France,FRA,1866,7536000
France,FRA,1886,7846000
France,FRA,1896,8501000
France,FRA,1901,8245000
France,FRA,1906,8855000
France,FRA,1911,8572000
France,FRA,1921,9023000
France,FRA,1926,8200000
France,FRA,1931,7704000
France,FRA,1936,7204000
France,FRA,1946,7484000
France,FRA,1954,5195000
France,FRA,1962,3907000
France,FRA,1968,3133000
France,FRA,1970,2842823.419
France,FRA,1971,2699836.65
France,FRA,1972,2553243.488
France,FRA,1973,2425554.341
France,FRA,1974,2319525.058
France,FRA,1975,2227155.572
France,FRA,1976,2143763.904
France,FRA,1977,2063989.497
France,FRA,1978,2002053.295
France,FRA,1979,1950420.626
France,FRA,1980,1890627.592
France,FRA,1981,1822389.621
France,FRA,1982,1757923.365
France,FRA,1983,1698831.12
France,FRA,1984,1642774.112
France,FRA,1985,1585639.773
France,FRA,1986,1534551.128
France,FRA,1987,1476537.629
France,FRA,1988,1420838.517
France,FRA,1989,1363824.989
France,FRA,1990,1300400
France,FRA,1991,1242200
France,FRA,1992,1190400
France,FRA,1993,1134000
France,FRA,1994,1084300
France,FRA,1995,1051100
France,FRA,1996,1026600
France,FRA,1997,1011300
France,FRA,1998,998800
France,FRA,1999,981500
France,FRA,2000,961100
France,FRA,2001,945300
France,FRA,2002,928300
France,FRA,2003,912200
France,FRA,2004,905600
France,FRA,2005,895918.1748
France,FRA,2006,875656.2107
France,FRA,2007,851903.7098
Japan,JPN,1872,14495000
Japan,JPN,1880,16076000
Japan,JPN,1890,17198000
Japan,JPN,1900,17331000
Japan,JPN,1910,16489000
Japan,JPN,1920,14441000
Japan,JPN,1930,14489000
Japan,JPN,1940,15417000
Japan,JPN,1950,17158000
Japan,JPN,1953,17081689.87
Japan,JPN,1954,16569955.6
