Entity,Code,Year,Prefer female boss (%),Prefer male boss (%)
United States,USA,1953,5,66
United States,USA,1975,7,62
United States,USA,1982,12,46
United States,USA,1989,14,48
United States,USA,1993,22,39
United States,USA,1994,16,35
United States,USA,1995,20,46
United States,USA,1999,16,38
United States,USA,2000,22,48
United States,USA,2002,19,31
United States,USA,2006,19,37
United States,USA,2011,22,32
United States,USA,2013,23,35
United States,USA,2014,20,33
United States,USA,2017,21,23
