Entity,Code,Year,,
World,OWID_WRL,1960,65.66626455,
World,OWID_WRL,1961,64.5884763,
World,OWID_WRL,1962,62.08595458,
World,OWID_WRL,1963,63.53524635,
World,OWID_WRL,1964,77.61673278,
World,OWID_WRL,1965,81.04412528,
World,OWID_WRL,1966,71.32426641,
World,OWID_WRL,1967,61.25320406,
World,OWID_WRL,1968,49.45769949,
World,OWID_WRL,1969,40.84428911,
World,OWID_WRL,1970,36.37360542,
World,OWID_WRL,1971,33.82847383,
World,OWID_WRL,1972,43.66204477,
World,OWID_WRL,1973,62.75963278,
World,OWID_WRL,1974,184.1271326,
World,OWID_WRL,1975,118.8818865,
World,OWID_WRL,1976,59.51187416,
World,OWID_WRL,1977,58.62357981,
World,OWID_WRL,1978,55.33333829,
World,OWID_WRL,1979,63.40304717,
World,OWID_WRL,1980,78.44860096,
World,OWID_WRL,1981,75.70729629,
World,OWID_WRL,1982,58.50603455,
World,OWID_WRL,1983,54.51160104,
World,OWID_WRL,1984,65.21158039,
World,OWID_WRL,1985,54.20943112,
World,OWID_WRL,1986,37.81126397,
World,OWID_WRL,1987,37.71346946,
World,OWID_WRL,1988,45.23865374,
World,OWID_WRL,1989,41.84903458,
World,OWID_WRL,1990,43.62449455,
World,OWID_WRL,1991,48.42579344,
World,OWID_WRL,1992,42.82112608,
World,OWID_WRL,1993,34.13376163,
World,OWID_WRL,1994,43.73454125,
World,OWID_WRL,1995,51.40251689,
World,OWID_WRL,1996,53.29779194,
World,OWID_WRL,1997,45.12540385,
World,OWID_WRL,1998,42.23374057,
World,OWID_WRL,1999,39.31740631,
World,OWID_WRL,2000,44.90354596,
World,OWID_WRL,2001,44.06069093,
World,OWID_WRL,2002,44.23110264,
World,OWID_WRL,2003,50.80520375,
World,OWID_WRL,2004,57.45751579,
World,OWID_WRL,2005,66.31290209,
World,OWID_WRL,2006,66.7449146,
World,OWID_WRL,2007,89.51489723,
World,OWID_WRL,2008,196.8453383,
World,OWID_WRL,2009,109.1278462,
World,OWID_WRL,2010,100,
World,OWID_WRL,2011,128.4821251,
World,OWID_WRL,2012,124.8760401,
World,OWID_WRL,2013,103.624252,
World,OWID_WRL,2014,93.00068922,
World,OWID_WRL,2015,97.73844856,97.73844856
World,OWID_WRL,2016,,80.30967479
World,OWID_WRL,2017,,80.12678451
World,OWID_WRL,2018,,79.79277799
World,OWID_WRL,2019,,79.92210526
World,OWID_WRL,2020,,80.08484358
World,OWID_WRL,2021,,80.37483349
World,OWID_WRL,2022,,80.72385101
World,OWID_WRL,2023,,81.09680213
World,OWID_WRL,2024,,81.46869694
World,OWID_WRL,2025,,81.82889714
World,OWID_WRL,2026,,82.17330622
World,OWID_WRL,2027,,82.50066707
World,OWID_WRL,2028,,82.81085314
World,OWID_WRL,2029,,83.10410517
World,OWID_WRL,2030,,83.38071032
