Entity,Code,Year,"Land (crop, pasture) ($)",Protected areas ($),"Fossil energy resources (oil, natural gas, coal) ($)",Metals and minerals ($),Net foreign assets ($),Produced capital ($),"Forest, timber ($)","Forest, non-timber ($)",Human capital ($)
Australia,AUS,2014,11898.89,2034.6,25475.34,89567.19,-31186.74,311442.43,1626.04,50190.04,585737.46
Austria,AUT,1995,7672.95,3096.85,188.6,0,-6034.63,171927.37,845.23,4973.69,348599.19
Austria,AUT,2000,5381.69,2593.42,193.06,0,-9428.24,199895.73,845.63,4974.58,356413.44
Austria,AUT,2005,5163.84,2675.12,303.82,44.15,-10357.31,212560.31,826.81,4860.23,353572.26
Austria,AUT,2010,5329.82,3079.82,379.73,496.72,-4261.59,243213.01,1008.02,4792.62,389435.41
Austria,AUT,2014,5906.8,3704.3,396.36,610.85,-238.98,256743.88,945.82,4701.4,421845.75
Azerbaijan,AZE,1995,4198.13,270.75,5435.21,0,-149.99,12658.6,2.2,143.83,5590.51
Azerbaijan,AZE,2000,3915.29,363.93,3974.24,0,-1319.79,9167.69,1.77,138.93,6020.25
Azerbaijan,AZE,2005,5287.31,722.54,19132.25,0.91,-2681.63,12503.73,2.15,134.07,9238.95
Azerbaijan,AZE,2010,7359.05,1265.59,32174.54,76.35,4964.44,10892.37,0.71,142.83,12200.25
Azerbaijan,AZE,2014,7933.8,1905.06,35811.18,126.94,7383.55,20061.24,8.4,149.74,11960.71
Bahrain,BHR,1995,1187.95,14.14,12011.29,0,24108.39,120853.38,0.56,0.56,157655.61
Bahrain,BHR,2000,817.17,18.26,8800.65,0,18958.17,84454.32,0.5,0.6,164512.09
Bahrain,BHR,2005,361.14,14.56,8361.52,0,17444.04,90039.18,0.29,0.55,162911.64
Bahrain,BHR,2010,345.93,12.67,12523.58,0,17346.31,76034.44,0.27,0.45,147588.95
