Entity,Code,Year,Chemistry,Maths,Science
United States,USA,1957,1.32,1.39,1.3
United States,USA,1982,1.1,1.06,1.08
United States,USA,1992,0.97,1,1.03
United States,USA,2000,0.89,0.99,0.97
United States,USA,1972,,1.26,1.22
