Entity,Code,Year,"Number of people with improved water sources (Per 1,000 population)",Number of people without improved water sources (Percent)
World,OWID_WRL,1990,4039554769,1270112930
World,OWID_WRL,1991,4139608907,1258719846
World,OWID_WRL,1992,4242980610,1242134666
World,OWID_WRL,1993,4339529700,1230515680
World,OWID_WRL,1994,4448544159,1204771734
World,OWID_WRL,1995,4549627361,1185495723
World,OWID_WRL,1996,4650180020,1165212285
World,OWID_WRL,1997,4750000952,1144154153
World,OWID_WRL,1998,4851052995,1120829830
World,OWID_WRL,1999,4952690631,1096514572
World,OWID_WRL,2000,5054308629,1072313492
World,OWID_WRL,2001,5156305581,1048005158
World,OWID_WRL,2002,5260198011,1022103756
World,OWID_WRL,2003,5364611787,996152896.5
World,OWID_WRL,2004,5470895112,968947295.9
World,OWID_WRL,2005,5577315377,942320472.7
World,OWID_WRL,2006,5685429800,914790446.6
World,OWID_WRL,2007,5795046518,886560802
World,OWID_WRL,2008,5904447270,859285608.7
World,OWID_WRL,2009,6015565877,830913643.9
World,OWID_WRL,2010,6125431789,804293254.3
World,OWID_WRL,2011,6234624446,778802605.6
World,OWID_WRL,2012,6351513693,745986760.1
World,OWID_WRL,2013,6467986711,713728427.8
World,OWID_WRL,2014,6579332711,686453234.7
World,OWID_WRL,2015,6686016809,663455290.2
