Entity,Code,Year,Potatoes (tonnes per hectare),Sugar beet (tonnes per hectare)
United Kingdom,GBR,1500,10.5,
United Kingdom,GBR,1501,10.5,
United Kingdom,GBR,1502,10.5,
United Kingdom,GBR,1503,10.5,
United Kingdom,GBR,1504,10.5,
United Kingdom,GBR,1505,10.5,
United Kingdom,GBR,1506,10.5,
United Kingdom,GBR,1507,10.5,
United Kingdom,GBR,1508,10.5,
United Kingdom,GBR,1509,10.5,
United Kingdom,GBR,1510,10.5,
United Kingdom,GBR,1511,10.5,
United Kingdom,GBR,1512,10.5,
United Kingdom,GBR,1513,10.5,
United Kingdom,GBR,1514,10.5,
United Kingdom,GBR,1515,10.5,
United Kingdom,GBR,1516,10.5,
United Kingdom,GBR,1517,10.5,
United Kingdom,GBR,1518,10.5,
United Kingdom,GBR,1519,10.5,
United Kingdom,GBR,1520,10.5,
United Kingdom,GBR,1521,10.5,
United Kingdom,GBR,1522,10.5,
United Kingdom,GBR,1523,10.5,
United Kingdom,GBR,1524,10.5,
United Kingdom,GBR,1525,10.5,
United Kingdom,GBR,1526,10.5,
United Kingdom,GBR,1527,10.5,
United Kingdom,GBR,1528,10.5,
United Kingdom,GBR,1529,10.5,
United Kingdom,GBR,1530,10.5,
United Kingdom,GBR,1531,10.5,
United Kingdom,GBR,1532,10.5,
United Kingdom,GBR,1533,10.5,
United Kingdom,GBR,1534,10.5,
United Kingdom,GBR,1535,10.5,
United Kingdom,GBR,1536,10.5,
United Kingdom,GBR,1537,10.5,
United Kingdom,GBR,1538,10.5,
United Kingdom,GBR,1539,10.5,
United Kingdom,GBR,1540,10.5,
United Kingdom,GBR,1541,10.5,
United Kingdom,GBR,1542,10.5,
United Kingdom,GBR,1543,10.5,
United Kingdom,GBR,1544,10.5,
United Kingdom,GBR,1545,10.5,
United Kingdom,GBR,1546,10.5,
United Kingdom,GBR,1547,10.5,
United Kingdom,GBR,1548,10.5,
United Kingdom,GBR,1549,10.5,
United Kingdom,GBR,1550,10.5,
United Kingdom,GBR,1551,10.5,
United Kingdom,GBR,1552,10.5,
United Kingdom,GBR,1553,10.5,
United Kingdom,GBR,1554,10.5,
United Kingdom,GBR,1555,10.5,
United Kingdom,GBR,1556,10.5,
United Kingdom,GBR,1557,10.5,
United Kingdom,GBR,1558,10.5,
United Kingdom,GBR,1559,10.5,
United Kingdom,GBR,1560,10.5,
United Kingdom,GBR,1561,10.5,
United Kingdom,GBR,1562,10.5,
United Kingdom,GBR,1563,10.5,
United Kingdom,GBR,1564,10.5,
United Kingdom,GBR,1565,10.5,
United Kingdom,GBR,1566,10.5,
United Kingdom,GBR,1567,10.5,
United Kingdom,GBR,1568,10.5,
United Kingdom,GBR,1569,10.5,
United Kingdom,GBR,1570,10.5,
United Kingdom,GBR,1571,10.5,
United Kingdom,GBR,1572,10.5,
United Kingdom,GBR,1573,10.5,
United Kingdom,GBR,1574,10.5,
United Kingdom,GBR,1575,10.5,
United Kingdom,GBR,1576,10.5,
United Kingdom,GBR,1577,10.5,
United Kingdom,GBR,1578,10.5,
United Kingdom,GBR,1579,10.5,
United Kingdom,GBR,1580,10.5,
United Kingdom,GBR,1581,10.5,
United Kingdom,GBR,1582,10.5,
United Kingdom,GBR,1583,10.5,
United Kingdom,GBR,1584,10.5,
United Kingdom,GBR,1585,10.5,
United Kingdom,GBR,1586,10.5,
United Kingdom,GBR,1587,10.5,
United Kingdom,GBR,1588,10.5,
United Kingdom,GBR,1589,10.5,
United Kingdom,GBR,1590,10.5,
United Kingdom,GBR,1591,10.5,
United Kingdom,GBR,1592,10.5,
United Kingdom,GBR,1593,10.5,
United Kingdom,GBR,1594,10.5,
United Kingdom,GBR,1595,10.5,
United Kingdom,GBR,1596,10.5,
United Kingdom,GBR,1597,10.5,
United Kingdom,GBR,1598,10.5,
United Kingdom,GBR,1599,10.5,
United Kingdom,GBR,1600,10.5,
United Kingdom,GBR,1601,10.5,
United Kingdom,GBR,1602,10.5,
United Kingdom,GBR,1603,10.5,
United Kingdom,GBR,1604,10.5,
United Kingdom,GBR,1605,10.5,
United Kingdom,GBR,1606,10.5,
United Kingdom,GBR,1607,10.5,
United Kingdom,GBR,1608,10.5,
United Kingdom,GBR,1609,10.5,
United Kingdom,GBR,1610,10.5,
United Kingdom,GBR,1611,10.5,
United Kingdom,GBR,1612,10.5,
United Kingdom,GBR,1613,10.5,
United Kingdom,GBR,1614,10.5,
United Kingdom,GBR,1615,10.5,
United Kingdom,GBR,1616,10.5,
United Kingdom,GBR,1617,10.5,
United Kingdom,GBR,1618,10.5,
United Kingdom,GBR,1619,10.5,
United Kingdom,GBR,1620,10.5,
United Kingdom,GBR,1621,10.5,
United Kingdom,GBR,1622,10.5,
United Kingdom,GBR,1623,10.5,
United Kingdom,GBR,1624,10.5,
United Kingdom,GBR,1625,10.5,
United Kingdom,GBR,1626,10.5,
United Kingdom,GBR,1627,10.5,
United Kingdom,GBR,1628,10.5,
United Kingdom,GBR,1629,10.5,
United Kingdom,GBR,1630,10.5,
United Kingdom,GBR,1631,10.5,
United Kingdom,GBR,1632,10.5,
United Kingdom,GBR,1633,10.5,
United Kingdom,GBR,1634,10.5,
United Kingdom,GBR,1635,10.5,
United Kingdom,GBR,1636,10.5,
United Kingdom,GBR,1637,10.5,
United Kingdom,GBR,1638,10.5,
United Kingdom,GBR,1639,10.5,
United Kingdom,GBR,1640,10.5,
United Kingdom,GBR,1641,10.5,
United Kingdom,GBR,1642,10.5,
United Kingdom,GBR,1643,10.5,
United Kingdom,GBR,1644,10.5,
United Kingdom,GBR,1645,10.5,
United Kingdom,GBR,1646,10.5,
United Kingdom,GBR,1647,10.5,
United Kingdom,GBR,1648,10.5,
United Kingdom,GBR,1649,10.5,
United Kingdom,GBR,1650,10.5,
United Kingdom,GBR,1651,10.5,
United Kingdom,GBR,1652,10.5,
United Kingdom,GBR,1653,10.5,
United Kingdom,GBR,1654,10.5,
United Kingdom,GBR,1655,10.5,
United Kingdom,GBR,1656,10.5,
United Kingdom,GBR,1657,10.5,
United Kingdom,GBR,1658,10.5,
United Kingdom,GBR,1659,10.5,
United Kingdom,GBR,1660,10.5,
United Kingdom,GBR,1661,10.5,
United Kingdom,GBR,1662,10.5,
United Kingdom,GBR,1663,10.5,
United Kingdom,GBR,1664,10.5,
United Kingdom,GBR,1665,10.5,
United Kingdom,GBR,1666,10.5,
