Entity,Code,Year,14.4.1 - Proportion of fish stocks within biologically sustainable levels (not overexploited) (%) - ER_H2O_FWTL (%)
World,OWID_WRL,1974,90
World,OWID_WRL,1978,91.46
World,OWID_WRL,1979,87.06
World,OWID_WRL,1981,86.5
World,OWID_WRL,1983,83.33
World,OWID_WRL,1985,81.82
World,OWID_WRL,1987,75.39
World,OWID_WRL,1989,73.16
World,OWID_WRL,1990,81.38
World,OWID_WRL,1992,75.23
World,OWID_WRL,1995,72.96
World,OWID_WRL,1997,76.36
World,OWID_WRL,2000,72.56
World,OWID_WRL,2004,75.63
World,OWID_WRL,2006,72.03
World,OWID_WRL,2008,67.01
World,OWID_WRL,2009,70.05
World,OWID_WRL,2011,71.26
World,OWID_WRL,2013,68.64
World,OWID_WRL,2015,66.9
