Entity,Code,Year,
Australia,AUS,1946,31.61
Australia,AUS,1947,33.1
Australia,AUS,1948,32.77
Australia,AUS,1949,32.82
Australia,AUS,1950,31.53
Australia,AUS,1951,26.65
Australia,AUS,1952,26.31
Australia,AUS,1953,26.1
Australia,AUS,1954,25.77
Australia,AUS,1955,25.53
Australia,AUS,1956,25.69
Australia,AUS,1957,23.99
Australia,AUS,1958,29.77
Australia,AUS,1959,28.26
Australia,AUS,1960,28.13
Australia,AUS,1961,28.29
Australia,AUS,1962,28.73
Australia,AUS,1963,28.96
Australia,AUS,1964,28.13
Australia,AUS,1965,27.91
Australia,AUS,1966,27.32
Australia,AUS,1967,27.42
Australia,AUS,1968,27.07
Australia,AUS,1969,26.34
Australia,AUS,1970,26.27
Australia,AUS,1971,26.8
Australia,AUS,1972,26.44
Australia,AUS,1973,25.6
Australia,AUS,1974,24.79
Australia,AUS,1975,24.48
Australia,AUS,1976,24.18
Australia,AUS,1977,24.18
Australia,AUS,1978,24.06
Australia,AUS,1979,24.2
Australia,AUS,1980,24.4
Australia,AUS,1981,24.39
Australia,AUS,1982,24.96
Australia,AUS,1983,24.47
Australia,AUS,1984,24.55
Australia,AUS,1985,25.04
Australia,AUS,1986,25.68
Australia,AUS,1987,27.11
Australia,AUS,1988,27.97
Australia,AUS,1989,26.32
Australia,AUS,1990,26.02
Australia,AUS,1991,26.85
Australia,AUS,1992,27.01
Australia,AUS,1993,27.25
Australia,AUS,1994,27.49
Australia,AUS,1995,27.03
Australia,AUS,1996,26.7
Australia,AUS,1997,27.37
Australia,AUS,1998,27.35
Australia,AUS,1999,28.36
Australia,AUS,2000,28.65
Australia,AUS,2001,27.54
Australia,AUS,2002,28.05
Australia,AUS,2003,27.49
Australia,AUS,2004,27.52
Australia,AUS,2005,27.95
Australia,AUS,2006,28.27
Australia,AUS,2007,27.74
Australia,AUS,2008,27.44
Australia,AUS,2009,28.57
Australia,AUS,2010,28.76
Australia,AUS,2011,28.76
Australia,AUS,2012,29.8
Australia,AUS,2013,30.52
Canada,CAN,1946,37.74
Canada,CAN,1947,38.14
Canada,CAN,1948,36.68
Canada,CAN,1949,38.22
Canada,CAN,1950,38.24
Canada,CAN,1951,36.31
Canada,CAN,1952,36.44
Canada,CAN,1953,37.36
Canada,CAN,1954,38.68
Canada,CAN,1955,38.08
Canada,CAN,1956,37.22
Canada,CAN,1957,37.76
Canada,CAN,1958,38.39
Canada,CAN,1959,38.44
Canada,CAN,1960,38.78
Canada,CAN,1961,39.35
Canada,CAN,1962,37.77
Canada,CAN,1963,37.37
Canada,CAN,1964,37.77
Canada,CAN,1965,37.23
Canada,CAN,1966,36.76
Canada,CAN,1967,37.06
Canada,CAN,1968,37.3
Canada,CAN,1969,37.34
Canada,CAN,1970,37.92
Canada,CAN,1971,37.83
Canada,CAN,1972,37.55
Canada,CAN,1973,37.02
Canada,CAN,1974,37.38
Canada,CAN,1975,37.27
Canada,CAN,1976,36.74
Canada,CAN,1977,36.17
Canada,CAN,1978,35.77
Canada,CAN,1979,35.57
Canada,CAN,1980,36.23
Canada,CAN,1981,35.39
Canada,CAN,1982,36.24
Canada,CAN,1983,36.19
Canada,CAN,1984,35.78
Canada,CAN,1985,35.25
Canada,CAN,1986,35.22
Canada,CAN,1987,35.05
Canada,CAN,1988,35.66
Canada,CAN,1989,36.36
Canada,CAN,1990,35.54
Canada,CAN,1991,36.31
Canada,CAN,1992,36.72
Canada,CAN,1993,37.31
Canada,CAN,1994,37.48
Canada,CAN,1995,37.85
Canada,CAN,1996,38.77
Canada,CAN,1997,39.78
Canada,CAN,1998,40.61
Canada,CAN,1999,41.17
Canada,CAN,2000,42.34
China,CHN,1986,17.37
China,CHN,1987,17.8
China,CHN,1988,19.2
China,CHN,1989,19.74
China,CHN,1990,19.34
China,CHN,1991,19.5
China,CHN,1992,20.63
China,CHN,1993,22.65
China,CHN,1994,23.57
China,CHN,1995,23.3
China,CHN,1996,23.98
China,CHN,1997,24.78
China,CHN,1998,24.72
China,CHN,1999,24.94
China,CHN,2000,25.53
China,CHN,2001,25.91
China,CHN,2002,26.7
China,CHN,2003,27.94
France,FRA,1963,36.41
France,FRA,1964,36.84
France,FRA,1965,37.15
France,FRA,1966,36.46
France,FRA,1967,36.21
France,FRA,1968,34.8
France,FRA,1969,33.96
France,FRA,1970,33.14
France,FRA,1971,33.35
France,FRA,1972,33.03
France,FRA,1973,33.9
France,FRA,1974,33.33
France,FRA,1975,33.41
France,FRA,1976,33.19
France,FRA,1977,31.68
France,FRA,1978,31.38
France,FRA,1979,31.03
France,FRA,1980,30.69
France,FRA,1981,30.73
France,FRA,1982,29.93
France,FRA,1983,30.43
France,FRA,1984,30.52
France,FRA,1985,31.05
France,FRA,1986,31.39
France,FRA,1987,31.73
France,FRA,1988,32.09
France,FRA,1989,32.42
France,FRA,1990,32.64
France,FRA,1991,32.44
France,FRA,1992,32.23
France,FRA,1993,32.22
France,FRA,1994,32.37
France,FRA,1995,32.41
France,FRA,1996,32.04
France,FRA,1997,32.17
France,FRA,1998,32.59
France,FRA,1999,33
France,FRA,2000,33.05
France,FRA,2001,33.09
France,FRA,2002,33.03
France,FRA,2003,33.11
France,FRA,2004,33.45
France,FRA,2005,32.89
France,FRA,2006,32.81
France,FRA,2007,33.12
France,FRA,2008,32.6
France,FRA,2009,31.86
France,FRA,2010,32.29
France,FRA,2011,32.52
France,FRA,2012,32.34
France (pre 1962),,1946,32.87
France (pre 1962),,1947,33.2
France (pre 1962),,1948,32.35
France (pre 1962),,1949,32.2
France (pre 1962),,1950,31.97
France (pre 1962),,1951,32.93
France (pre 1962),,1952,33.19
France (pre 1962),,1953,32.89
France (pre 1962),,1954,33.53
