Entity,Code,Year,Percentage of teachers absent from school (% teachers)
Kenya,KEN,2017,15
Mozambique,MOZ,2017,45
Nigeria,NGA,2017,17
Senegal,SEN,2017,16
Tanzania,TZA,2017,23
Togo,TGO,2017,23
Uganda,UGA,2017,28
