Entity,Code,Year,Total mismanaged plastic waste in 2010 (tonnes)
Albania,ALB,2010,29705
Algeria,DZA,2010,520555
Angola,AGO,2010,62528
Anguilla,AIA,2010,52
Antigua and Barbuda,ATG,2010,1253
Argentina,ARG,2010,157777
Aruba,ABW,2010,372
Australia,AUS,2010,13889
Bahamas,BHS,2010,1333
Bahrain,BHR,2010,4376
Bangladesh,BGD,2010,787327
Barbados,BRB,2010,3483
Belgium,BEL,2010,2743
Belize,BLZ,2010,3892
Benin,BEN,2010,43015
Bermuda,BMU,2010,123
Bosnia and Herzegovina,BIH,2010,12955
Brazil,BRA,2010,471404
British Virgin Islands,VGB,2010,55
Brunei,BRN,2010,93
Bulgaria,BGR,2010,18739
Cambodia,KHM,2010,29686
Cameroon,CMR,2010,27713
Canada,CAN,2010,7959
Cape Verde,CPV,2010,9347
Cayman Islands,CYM,2010,95
Channel Islands,OWID_CIS,2010,281
Chile,CHL,2010,21754
China,CHN,2010,8819717
Christmas Island,CXR,2010,3
Cocos Islands,CCK,2010,1
Colombia,COL,2010,92173
Comoros,COM,2010,58032
Congo,COG,2010,16766
Cook Islands,COK,2010,416
Costa Rica,CRI,2010,42090
Cote d'Ivoire,CIV,2010,194558
Croatia,HRV,2010,16461
Cuba,CUB,2010,90630
Curacao,CUW,2010,268
Cyprus,CYP,2010,1821
Democratic Republic of Congo,COD,2010,15208
Denmark,DNK,2010,1791
Djibouti,DJI,2010,17324
Dominica,DMA,2010,783
Dominican Republic,DOM,2010,118226
Ecuador,ECU,2010,109383
Egypt,EGY,2010,967012
El Salvador,SLV,2010,118732
Equatorial Guinea,GNQ,2010,5977
Eritrea,ERI,2010,16259
Estonia,EST,2010,5979
Faeroe Islands,FRO,2010,93
Falkland Islands,FLK,2010,5
Fiji,FJI,2010,49257
Finland,FIN,2010,4985
France,FRA,2010,24109
French Guiana,GUF,2010,2360
French Polynesia,PYF,2010,1286
Gabon,GAB,2010,6087
Gambia,GMB,2010,19616
Georgia,GEO,2010,14472
Germany,DEU,2010,31239
Ghana,GHA,2010,91571
Gibraltar,GIB,2010,65
Greece,GRC,2010,14229
Greenland,GRL,2010,105
Grenada,GRD,2010,2248
Guadeloupe,GLP,2010,6564
Guam,GUM,2010,393
Guatemala,GTM,2010,91563
Guernsey,GGY,2010,103
Guinea,GIN,2010,18514
Guinea-Bissau,GNB,2010,20240
Guyana,GUY,2010,42002
Haiti,HTI,2010,147389
Honduras,HND,2010,95638
Hong Kong,HKG,2010,28512
Iceland,ISL,2010,598
India,IND,2010,599819
Indonesia,IDN,2010,3216856
Iran,IRN,2010,247403
Iraq,IRQ,2010,15563
Ireland,IRL,2010,11710
Israel,ISR,2010,19007
Italy,ITA,2010,32761
Jamaica,JAM,2010,10019
Japan,JPN,2010,143121
Jordan,JOR,2010,1737
Kenya,KEN,2010,22658
Kiribati,KIR,2010,3045
Kuwait,KWT,2010,11489
Latvia,LVA,2010,10284
Lebanon,LBN,2010,47815
Liberia,LBR,2010,56728
Libya,LBY,2010,52779
Lithuania,LTU,2010,3479
Macao,MAC,2010,698
Madagascar,MDG,2010,34522
Malaysia,MYS,2010,936818
Maldives,MDV,2010,31469
Malta,MLT,2010,2620
Marshall Islands,MHL,2010,3187
Martinique,MTQ,2010,749
Mauritania,MRT,2010,13854
Mauritius,MUS,2010,56051
Mexico,MEX,2010,101343
Micronesia (country),FSM,2010,4794
Monaco,MCO,2010,62
Montenegro,MNE,2010,4416
Montserrat,MSR,2010,38
Morocco,MAR,2010,310126
Mozambique,MOZ,2010,45995
Myanmar,MMR,2010,458269
Namibia,NAM,2010,5480
Nauru,NRU,2010,554
Netherlands,NLD,2010,27700
Netherlands Antilles,ANT,2010,416
New Caledonia,NCL,2010,472
New Zealand,NZL,2010,9286
Nicaragua,NIC,2010,84415
Nigeria,NGA,2010,851493
Niue,NIU,2010,4
Norfolk Island,NFK,2010,68
North Korea,PRK,2010,304328
Northern Mariana Islands,MNP,2010,219
Norway,NOR,2010,8403
